token,bearers,as_given,as_surname,as_married,behaves,patronymic_marker,script,placeholder
Herz/Benedikt,1,0,0,1,married-only,,Latin,
Herz],1,1,0,0,given,,Latin,
Herzbach,1,0,1,0,surname,,Latin,
Herzberger,1,0,1,0,surname,,Latin,
Herzegin,1,0,0,1,married-only,,Latin,
Herzelle,1,0,0,1,married-only,,Latin,
Herzelles,1,0,1,0,surname,,Latin,
Herzfelder,1,0,0,1,married-only,,Latin,
Herzile,1,1,0,0,given,,Latin,
Herzo,1,0,1,0,surname,,Latin,
Herzogenburg,1,0,1,0,surname,,Latin,
Herzveld,1,0,0,1,married-only,,Latin,
Herðlu-Bjarnadóttir,1,0,1,1,surname,-dóttir,Latin,
Hesa,1,1,0,0,given,,Latin,
"Hesbaye,de",1,0,0,1,married-only,,Latin,
Hesbø,1,0,0,1,married-only,,Latin,
Hesceline,1,1,0,0,given,,Latin,
Heschel-Babad,1,0,1,1,surname,,Latin,
Heschel?,1,0,1,0,surname,,Latin,
Heschels,1,0,1,0,surname,,Latin,
Heschil,1,1,0,0,given,,Latin,
Hesdin,1,0,0,1,married-only,,Latin,
Heseke,1,1,0,0,given,,Latin,
Hesel,1,1,0,0,given,,Latin,
Heselis,1,1,0,0,given,,Latin,
Hesepati,1,1,0,0,given,,Latin,
Heshe,1,1,0,0,given,,Latin,
Heshil,1,1,0,0,given,,Latin,
Heshmatollah,1,1,0,0,given,,Latin,
Hesico,1,1,0,0,given,,Latin,
Heskja,1,0,0,1,married-only,,Latin,
Hesleskaug,1,0,1,0,surname,,Latin,
Hesner,1,0,0,1,married-only,,Latin,
Hessa,1,1,0,0,given,,Latin,
Hesse;,1,0,1,0,surname,,Latin,
Hesselberger,1,0,0,1,married-only,,Latin,
Hessen-Brabant,1,0,1,0,surname,,Latin,
Hessen-Homburg,1,0,0,1,married-only,,Latin,
Hessen-Rheinfels-Rotenburg,1,0,0,1,married-only,,Latin,
Hessen-Rotenburg,1,0,1,1,surname,,Latin,
Hessen-Wanfried,1,0,0,1,married-only,,Latin,
Hessenauer,1,0,0,1,married-only,,Latin,
Hessenberg,1,0,1,0,surname,,Latin,
Hesslein,1,0,0,1,married-only,,Latin,
Hessler-Fraenkel,1,0,0,1,married-only,,Latin,
Hestad?,1,0,1,0,surname,,Latin,
Hestakorn,1,0,1,0,surname,,Latin,
Hestegjelder,1,1,0,0,given,,Latin,
Hestehale,1,1,0,0,given,,Latin,
Hesten,1,0,1,0,surname,,Latin,
Hesthamar,1,0,0,1,married-only,,Latin,
Hestnes,1,0,0,1,married-only,,Latin,
Hesya,1,1,0,0,given,,Latin,
Hesychius,1,1,0,0,given,,Latin,
Hetep,1,1,0,0,given,,Latin,
Hetephernebti,1,1,0,0,given,,Latin,
Hetepti,1,1,0,0,given,,Latin,
Heth,1,1,0,0,given,,Latin,
Hetherington,1,0,1,0,surname,,Latin,
Hethersett,1,0,0,1,married-only,,Latin,
Hethul,1,0,0,1,married-only,,Latin,
Hethumen,1,1,0,0,given,,Latin,
Hethun,1,1,0,0,given,,Latin,
Heti,1,1,0,0,given,,Latin,
Hetland-Nedre?,1,0,1,0,surname,,Latin,
Hetlend,1,0,0,1,married-only,,Latin,
Hetlesætter,1,0,0,1,married-only,,Latin,
Hetletveit,1,0,1,1,surname,,Latin,
Heton,1,0,1,1,surname,,Latin,
Hetoum,1,1,0,0,given,,Latin,
Hetschlein,1,0,1,0,surname,,Latin,
Hetshepsut,1,1,0,0,given,,Latin,
Hetta,1,1,0,0,given,,Latin,
Hettie,1,1,0,0,given,,Latin,
Hettita,1,0,1,0,surname,,Latin,
Hetycki),1,0,0,1,married-only,,Latin,
Hetytów,1,0,0,1,married-only,,Latin,
Heu,1,0,1,0,surname,,Latin,
Heugleville,1,0,1,1,surname,,Latin,
Heui,1,1,1,0,both,,Latin,
Heul-Hae,1,1,0,0,given,,Latin,
Heule,1,0,1,0,surname,,Latin,
Heumann,1,0,0,1,married-only,,Latin,
Heung-Deok,1,1,0,0,given,,Latin,
Heung-Kwang,1,1,0,0,given,,Latin,
Heus(Hugo),1,1,0,0,given,,Latin,
Heuser,1,0,1,0,surname,,Latin,
Heusner,1,0,1,1,surname,,Latin,
Heussen,1,0,1,1,surname,-ssen,Latin,
Heustice,1,1,0,0,given,,Latin,
Hevelli-Stodoranska,1,0,1,0,surname,,Latin,
Hevelli-Stodoranski,1,0,1,0,surname,,Latin,
Heverlee,1,0,1,1,surname,,Latin,
Hevor,1,1,0,0,given,,Latin,
Hewan),1,1,0,0,given,,Latin,
Hewele,1,1,0,0,given,,Latin,
Hewett,1,0,0,1,married-only,,Latin,
Hewing,1,0,0,1,married-only,,Latin,
Hewlett,1,0,0,1,married-only,,Latin,
Hewlitt,1,1,0,0,given,,Latin,
Hexstall,1,0,1,0,surname,,Latin,
Hext,1,0,1,0,surname,,Latin,
Hexter,1,0,0,1,married-only,,Latin,
Heyangurs-Björn,1,1,0,0,given,,Latin,
Heyerdahl,1,1,0,0,given,,Latin,
Heyle,1,1,0,0,given,,Latin,
Heymes,1,0,1,0,surname,,Latin,
Heyneman,1,0,0,1,married-only,,Latin,
Heytir,1,1,0,0,given,,Latin,
Heytirsson,1,0,1,1,surname,-sson,Latin,
Heywood,1,0,0,1,married-only,,Latin,
Heyé,1,1,0,0,given,,Latin,
Hezaveh,1,1,0,0,given,,Latin,
Hezchias-Seyoum,1,0,0,1,married-only,,Latin,
Hezechiah,1,1,0,0,given,,Latin,
Hezekiah?,1,0,0,1,married-only,,Latin,
Hezelin,1,1,0,0,given,,Latin,
Hezikiah,1,1,0,0,given,,Latin,
Heßenberg,1,0,1,0,surname,,Latin,
Hg'm,1,1,0,0,given,,Latin,
Hibarni,1,1,0,0,given,,Latin,
Hibasu-hime,1,1,0,0,given,,Latin,
Hibbard,1,1,0,0,given,,Latin,
Hibbs,1,0,0,1,married-only,,Latin,
Hiberia,1,1,0,0,given,,Latin,
Hiberie,1,1,0,0,given,,Latin,
Hicetas,1,1,0,0,given,,Latin,
Hicha,1,1,0,0,given,,Latin,
Hichiro,1,1,0,0,given,,Latin,
Hichiro's,1,1,0,0,given,,Latin,
Hickcok,1,0,0,1,married-only,,Latin,
Hickes,1,0,1,0,surname,,Latin,
Hickman,1,0,0,1,married-only,,Latin,
Hickman-Windsor,1,0,1,0,surname,,Latin,
Hickox,1,0,1,0,surname,,Latin,
Hickson,1,0,1,1,surname,-son,Latin,
Hicterius,1,1,0,0,given,,Latin,
Hictérius,1,1,0,0,given,,Latin,
Hidago,1,0,1,1,surname,,Latin,
Hidajati,1,1,0,0,given,,Latin,
Hidalfo,1,0,0,1,married-only,,Latin,
Hidalgo),1,0,1,0,surname,,Latin,
Hidalgo-Garcia,1,0,1,0,surname,,Latin,
Hidambasura,1,1,0,0,given,,Latin,
Hide,1,0,1,0,surname,,Latin,
Hidehito,1,1,0,0,given,,Latin,
Hideko,1,1,0,0,given,,Latin,
Hidemaro,1,1,0,0,given,,Latin,
Hidenari,1,0,0,1,married-only,,Latin,
Hidesaburo,1,1,0,0,given,,Latin,
Hidesada,1,1,0,0,given,,Latin,
Hidesada's,1,1,0,0,given,,Latin,
Hidetake,1,1,0,0,given,,Latin,
Hidetoki,1,1,0,0,given,,Latin,
Hideung,1,1,0,0,given,,Latin,
Hideyasu,1,1,0,0,given,,Latin,
Hideyoshi秀義,1,1,0,0,given,,mixed:Han+Latin,
Hidir,1,1,0,0,given,,Latin,
Hiedhin,1,0,1,0,surname,,Latin,
Hiempsal,1,1,0,0,given,,Latin,
Hierax,1,1,0,0,given,,Latin,
Hierches,1,0,0,1,married-only,,Latin,
Hierges,1,0,1,1,surname,,Latin,
Hierges-Altavilla,1,0,0,1,married-only,,Latin,
Hierges-Hauteville,1,0,0,1,married-only,,Latin,
Hierley,1,1,0,0,given,,Latin,
Hiermont,1,0,0,1,married-only,,Latin,
Hierocles,1,1,0,0,given,,Latin,
Hieron,1,1,0,0,given,,Latin,
Hieronimus,1,1,0,0,given,,Latin,
Hieronimussen,1,1,0,0,given,-ssen,Latin,
Hierosolimitano,1,1,0,0,given,,Latin,
Hierz,1,1,0,0,given,,Latin,
Hiette,1,1,0,0,given,,Latin,
Hiffan,1,1,0,0,given,,Latin,
Higashi,1,1,0,0,given,,Latin,
Higgons,1,0,1,0,surname,,Latin,
"High-Headed""",1,1,0,0,given,,Latin,
Highwood,1,0,1,1,surname,,Latin,
Higinia,1,1,0,0,given,,Latin,
Higino,1,1,0,0,given,,Latin,
Higo-no-kami,1,1,0,0,given,,Latin,
Higorre,1,0,0,1,married-only,,Latin,
Higredio,1,1,0,0,given,,Latin,
Hiim,1,0,0,1,married-only,,Latin,
Hijacinthe,1,1,0,0,given,,Latin,
Hijazi,1,1,0,0,given,,Latin,
Hijo,1,1,0,0,given,,Latin,
Hijár,1,0,1,1,surname,,Latin,
Hik,1,1,1,0,both,,Latin,
Hikawahime,1,1,0,0,given,,Latin,
Hikkebjerg,1,0,0,1,married-only,,Latin,
Hiko-Osu-no-miko,1,1,0,0,given,,Latin,
Hikohahatsu彦姥津命,1,1,0,0,given,,mixed:Han+Latin,
Hikohohodemi,1,1,0,0,given,,Latin,
Hikoimasunomiko彦坐王,1,1,0,0,given,,mixed:Han+Latin,
Hikoyai-no-mikoto,1,1,0,0,given,,Latin,
Hikoyu,1,1,0,0,given,,Latin,
Hikoyugi,1,1,0,0,given,,Latin,
Hiland,1,1,0,0,given,,Latin,
Hilares,1,0,0,1,married-only,,Latin,
Hilari',1,1,0,0,given,,Latin,
Hildahl,1,0,0,1,married-only,,Latin,
Hildasson,1,0,1,0,surname,-sson,Latin,
Hildbjørg,1,1,0,0,given,,Latin,
Hildeberge,1,1,0,0,given,,Latin,
Hildebjørg,1,1,0,0,given,,Latin,
Hildebold,1,1,0,0,given,,Latin,
Hildebrande,1,1,0,0,given,,Latin,
Hildeburg,1,1,0,0,given,,Latin,
Hildeburgh,1,1,0,0,given,,Latin,
Hildechis,1,1,0,0,given,,Latin,
Hildefrid,1,1,0,0,given,,Latin,
Hildefuns,1,1,0,0,given,,Latin,
Hildegarda,1,1,0,0,given,,Latin,
Hildegarde),1,1,0,0,given,,Latin,
Hildegun,1,1,0,0,given,,Latin,
Hildegunn,1,1,0,0,given,,Latin,
Hildegunna,1,1,0,0,given,,Latin,
Hildegård,1,1,0,0,given,,Latin,
Hildeoc,1,1,0,0,given,,Latin,
Hildeprand,1,1,0,0,given,,Latin,
Hilderic,1,1,0,0,given,,Latin,
Hilderico,1,1,0,0,given,,Latin,
Hilderid,1,1,0,0,given,,Latin,
Hildesheim?,1,0,1,0,surname,,Latin,
Hildeswinde,1,1,0,0,given,,Latin,
Hildewa,1,1,0,0,given,,Latin,
Hildewinde,1,1,0,0,given,,Latin,
Hildgun,1,1,0,0,given,,Latin,
Hildiarde,1,1,0,0,given,,Latin,
Hildiberga,1,1,0,0,given,,Latin,
Hildibrand,1,1,0,0,given,,Latin,
Hildibrandsson,1,0,1,1,surname,-sson,Latin,
Hildinger,1,0,0,1,married-only,,Latin,
Hildir,1,1,0,0,given,,Latin,
Hildisnot,1,1,0,0,given,,Latin,
Hildolf,1,1,0,0,given,,Latin,
Hildora,1,1,0,0,given,,Latin,
Hilduara,1,1,0,0,given,,Latin,
Hildus,1,1,0,0,given,,Latin,
Hildåkleppa,1,0,1,1,surname,,Latin,
Hildéarde,1,1,0,0,given,,Latin,
Hildéric,1,1,0,0,given,,Latin,
Hilf,1,1,0,0,given,,Latin,
Hilge,1,0,0,1,married-only,,Latin,
Hilidir,1,1,0,0,given,,Latin,
Hilkiah,1,1,0,0,given,,Latin,
Hillai,1,1,0,0,given,,Latin,
Hillberger,1,0,1,0,surname,,Latin,
Hillerström,1,0,1,0,surname,,Latin,
Hillestad,1,0,0,1,married-only,,Latin,
Hillesum,1,0,0,1,married-only,,Latin,
Hilletje,1,1,0,0,given,,Latin,
Hillgun,1,1,0,0,given,,Latin,
Hilliard,1,1,0,0,given,,Latin,
Hillie,1,1,0,0,given,,Latin,
Hillman,1,0,1,0,surname,,Latin,
Hilman,1,0,0,1,married-only,,Latin,
Hilmann,1,0,0,1,married-only,,Latin,
Hilmarson,1,1,0,0,given,-son,Latin,
Hilmir,1,1,0,0,given,,Latin,
Hilprando,1,1,0,0,given,,Latin,
Hilradt,1,1,0,0,given,,Latin,
Hilsheim,1,0,0,1,married-only,,Latin,
Hiltiburg,1,1,0,0,given,,Latin,
Hiltrud,1,1,0,0,given,,Latin,
Hiltrudis,1,1,0,0,given,,Latin,
Himavān,1,0,0,1,married-only,,Latin,
Himawan,1,1,0,0,given,,Latin,
Himbar,1,1,0,0,given,,Latin,
Himbataruno,1,1,0,0,given,,Latin,
Himemiko,1,1,0,0,given,,Latin,
Himerius,1,1,0,0,given,,Latin,
Himetataraisuzu-hime,1,1,0,0,given,,Latin,
Himileigsson,1,1,0,0,given,-sson,Latin,
Himiltrud,1,1,0,0,given,,Latin,
Himm,1,0,1,1,surname,,Latin,
Himmeltrude,1,1,0,0,given,,Latin,
Himmifrieda,1,1,0,0,given,,Latin,
Himming,1,0,0,1,married-only,,Latin,
Himmler,1,0,1,0,surname,,Latin,
Himnerith,1,1,0,0,given,,Latin,
Himpun,1,1,0,0,given,,Latin,
Himtey,1,1,0,0,given,,Latin,
Himuk,1,1,0,0,given,,Latin,
Himyar,1,1,0,0,given,,Latin,
Himālayas,1,1,0,0,given,,Latin,
Hin-3,1,1,0,0,given,,Latin,
Hinb,1,1,0,0,given,,Latin,
Hindche(n),1,1,0,0,given,,Latin,
Hindel-Hindle,1,1,0,0,given,,Latin,
Hindela,1,1,0,0,given,,Latin,
Hinderson,1,0,1,0,surname,-son,Latin,
Hinderåker,1,0,1,0,surname,,Latin,
Hindhe,1,1,0,0,given,,Latin,
Hindin,1,1,0,0,given,,Latin,
Hindley,1,1,0,0,given,,Latin,
Hindlé,1,1,0,0,given,,Latin,
Hindmarsh,1,1,0,0,given,,Latin,
Hindrich,1,1,0,0,given,,Latin,
Hindricsdotter,1,0,1,0,surname,-sdotter,Latin,
Hindriksdotter,1,0,1,1,surname,-sdotter,Latin,
Hindriksson,1,0,1,0,surname,-sson,Latin,
Hindrohapsono,1,1,0,0,given,,Latin,
Hindu,1,1,0,0,given,,Latin,
Hindun,1,1,0,0,given,,Latin,
Hing,1,1,0,0,given,,Latin,
Hingilda,1,1,0,0,given,,Latin,
Hingkang,1,1,0,0,given,,Latin,
Hingle,1,0,0,1,married-only,,Latin,
Hinitz,1,0,0,1,married-only,,Latin,
"Hinkende""",1,1,0,0,given,,Latin,
Hinlen,1,1,0,0,given,,Latin,
Hinlin,1,1,0,0,given,,Latin,
Hinlé,1,1,0,0,given,,Latin,
Hinnelet,1,1,0,0,given,,Latin,
Hinnen,1,1,0,0,given,,Latin,
Hinricusdatter,1,1,0,0,given,-sdatter,Latin,
Hinrik,1,1,0,0,given,,Latin,
Hinsbergen/Heyenberg,1,0,1,0,surname,,Latin,
Hinstin,1,0,0,1,married-only,,Latin,
Hintam,1,1,0,0,given,,Latin,
Hintché,1,1,0,0,given,,Latin,
Hinten,1,1,0,0,given,,Latin,
Hintgen,1,1,0,0,given,,Latin,
Hintlé,1,1,0,0,given,,Latin,
Hinzikinus,1,1,0,0,given,,Latin,
Hiob,1,1,0,0,given,,Latin,
Hiori,1,0,1,0,surname,,Latin,
Hiorolf,1,1,0,0,given,,Latin,
Hiort,1,0,0,1,married-only,,Latin,
Hiparchus,1,1,0,0,given,,Latin,
Hippocratides,1,1,0,0,given,,Latin,
Hippolyt,1,1,0,0,given,,Latin,
Hipponensis,1,1,0,0,given,,Latin,
Hippostratos,1,1,0,0,given,,Latin,
Hipwell,1,0,1,0,surname,,Latin,
Hirafu,1,0,1,1,surname,,Latin,
Hirah,1,1,0,0,given,,Latin,
Hirai,1,0,0,1,married-only,,Latin,
Hiramatsu,1,1,0,0,given,,Latin,
Hiranmayan,1,1,0,0,given,,Latin,
Hiranya,1,1,0,0,given,,Latin,
Hiranyaksha,1,1,0,0,given,,Latin,
Hiranyanabha,1,1,0,0,given,,Latin,
Hiranyaretas,1,1,0,0,given,,Latin,
Hirao,1,0,1,0,surname,,Latin,
Hirawan-Butuh,1,1,0,0,given,,Latin,
Hiriart,1,0,0,1,married-only,,Latin,
Hirman,1,1,0,0,given,,Latin,
Hirohito,1,1,0,0,given,,Latin,
Hiroki,1,1,0,0,given,,Latin,
Hirokimi,1,0,1,1,surname,,Latin,
Hiroko,1,1,0,0,given,,Latin,
Hironobu,1,1,0,0,given,,Latin,
Hirosawa,1,0,1,0,surname,,Latin,
Hirosawa廣澤僧都,1,0,0,1,married-only,,mixed:Han+Latin,
Hirose,1,0,0,1,married-only,,Latin,
Hiroshi,1,1,0,0,given,,Latin,
Hirotsuna廣綱,1,1,0,0,given,,mixed:Han+Latin,
Hiroyoshi,1,1,0,0,given,,Latin,
Hirrus,1,1,0,0,given,,Latin,
Hirsch-Kann,1,0,0,1,married-only,,Latin,
Hirsch-Reinshagen,1,0,0,1,married-only,,Latin,
Hirschberg-Sulzbach,1,0,1,1,surname,,Latin,
Hirsche,1,0,0,1,married-only,,Latin,
Hirsche(Hillier),1,0,0,1,married-only,,Latin,
Hirschell,1,1,0,0,given,,Latin,
Hirscher-Oradea,1,0,1,1,surname,,Latin,
Hirscher-Siebenburgen,1,0,1,1,surname,,Latin,
Hirscher-Znojmo,1,0,1,1,surname,,Latin,
Hirschlaff,1,0,1,0,surname,,Latin,
Hirschler,1,0,0,1,married-only,,Latin,
Hirschorn,1,0,0,1,married-only,,Latin,
Hirsh/Hertz,1,0,1,0,surname,,Latin,
Hirshel,1,1,0,0,given,,Latin,
Hirshfeld,1,0,1,0,surname,,Latin,
Hirst,1,0,1,1,surname,,Latin,
Hirsz,1,1,0,0,given,,Latin,
Hirum,1,1,0,0,given,,Latin,
Hirz-Herz,1,1,0,0,given,,Latin,
Hirzel,1,0,0,1,married-only,,Latin,
Hirzen,1,0,0,1,married-only,-zen,Latin,
His,1,0,0,1,married-only,,Latin,
Hisaakira,1,1,0,0,given,,Latin,
Hisah,1,1,0,0,given,,Latin,
Hisam,1,1,0,0,given,,Latin,
Hisamichi,1,1,0,0,given,,Latin,
Hisamitsu,1,1,0,0,given,,Latin,
Hisamoto,1,1,0,0,given,,Latin,
Hisanori,1,1,0,0,given,,Latin,
Hisashi,1,1,0,0,given,,Latin,
Hisatada,1,1,0,0,given,,Latin,
Hisatsugu,1,1,0,0,given,,Latin,
Hisbullah,1,1,0,0,given,,Latin,
"Hisdal,(Haugen)",1,0,0,1,married-only,,Latin,
Hisina,1,1,0,0,given,,Latin,
Hisingh,1,0,0,1,married-only,,Latin,
Hiskiasz,1,1,0,0,given,,Latin,
Hiskjo,1,0,0,1,married-only,,Latin,
Hismatupa,1,1,0,0,given,,Latin,
Hisn,1,1,0,0,given,,Latin,
Hissel,1,1,0,0,given,,Latin,
Histoire,1,0,1,0,surname,,Latin,
Hitam,1,0,0,1,married-only,,Latin,
Hitchens,1,0,0,1,married-only,,Latin,
Hitchings,1,0,0,1,married-only,,Latin,
Hitelé,1,1,0,0,given,,Latin,
Hiteng,1,1,0,0,given,,Latin,
Hiter,1,1,0,0,given,,Latin,
Hitmann,1,1,0,0,given,,Latin,
Hito,1,1,0,0,given,,Latin,
Hitoki,1,1,0,0,given,,Latin,
Hitosada's,1,1,0,0,given,,Latin,
Hitosada仁貞,1,1,0,0,given,,mixed:Han+Latin,
Hitzil,1,1,0,0,given,,Latin,
Hitzle,1,1,0,0,given,,Latin,
Hiu,1,1,0,0,given,,Latin,
Hixson,1,0,0,1,married-only,-son,Latin,
Hizam,1,1,0,0,given,,Latin,
Hizar,1,1,0,0,given,,Latin,
Hizecha,1,1,0,0,given,,Latin,
Hizel,1,1,0,0,given,,Latin,
Hizkiyahu,1,1,0,0,given,,Latin,
Hizl,1,1,0,0,given,,Latin,
Hizoa,1,1,0,0,given,,Latin,
Hizr,1,1,0,0,given,,Latin,
Hiéronyme,1,1,0,0,given,,Latin,
Hjald,1,1,0,0,given,,Latin,
Hjaldur,1,1,0,0,given,,Latin,
Hjall,1,1,0,0,given,,Latin,
Hjallson,1,1,0,0,given,-son,Latin,
Hjalmtier,1,1,0,0,given,,Latin,
Hjalmtiersson,1,0,1,1,surname,-sson,Latin,
Hjalmy,1,1,0,0,given,,Latin,
Hjalp,1,1,0,0,given,,Latin,
Hjalpreksson,1,1,0,0,given,-sson,Latin,
Hjaltadottir,1,0,0,1,married-only,-dottir,Latin,
Hjaltadóttir,1,0,1,0,surname,-dóttir,Latin,
Hjalti,1,1,0,0,given,,Latin,
Hjar,1,0,1,0,surname,,Latin,
Hjarande,1,1,0,0,given,,Latin,
Hjarandsen,1,1,0,0,given,-sen,Latin,
Hjarandson,1,1,0,0,given,-son,Latin,
Hjarmann,1,1,0,0,given,,Latin,
Hjarrande,1,1,0,0,given,,Latin,
Hjelle,1,0,1,0,surname,,Latin,
Hjelmsäter,1,0,1,1,surname,,Latin,
Hjelte,1,0,1,0,surname,,Latin,
Hjelte/Gjelten/Gjellen,1,0,0,1,married-only,,Latin,
Hjelvik,1,0,0,1,married-only,,Latin,
Hjertnes,1,0,0,1,married-only,,Latin,
Hjertrud,1,1,0,0,given,,Latin,
Hjervard,1,1,0,0,given,,Latin,
Hjoer,1,1,0,0,given,,Latin,
Hjolman,1,0,1,1,surname,,Latin,
Hjordvardson,1,0,0,1,married-only,-son,Latin,
Hjordvarson,1,0,0,1,married-only,-son,Latin,
Hjorleifsson,1,0,0,1,married-only,-sson,Latin,
Hjorleiv,1,0,1,1,surname,,Latin,
Hjorleivsson,1,0,1,1,surname,-sson,Latin,
Hjornevik,1,0,1,0,surname,,Latin,
Hjort-Olsen,1,0,0,1,married-only,-sen,Latin,
Hjortås,1,0,1,0,surname,,Latin,
Hjorteland,1,0,1,0,surname,,Latin,
Hjorthorn,1,0,1,0,surname,,Latin,
Hjorvardsen,1,0,0,1,married-only,-sen,Latin,
Hjorvardson,1,1,0,0,given,-son,Latin,
Hjorvardsson,1,0,1,0,surname,-sson,Latin,
Hjovardsson,1,0,1,0,surname,-sson,Latin,
Hjul,1,0,0,1,married-only,,Latin,
Hjulhammar,1,0,0,1,married-only,,Latin,
Hjulstad,1,0,0,1,married-only,,Latin,
Hjálmholt,1,0,1,0,surname,,Latin,
Hjálmthér,1,1,0,0,given,,Latin,
Hjálmthérsson,1,0,1,1,surname,-sson,Latin,
Hjálp,1,1,0,0,given,,Latin,
Hjärne,1,0,0,1,married-only,,Latin,
Hjör,1,1,0,0,given,,Latin,
Hjörleifsson,1,0,1,1,surname,-sson,Latin,
Hjörr,1,1,0,0,given,,Latin,
Hjør,1,1,0,0,given,,Latin,
Hjørleif,1,1,0,0,given,,Latin,
Hjørleifson,1,1,0,0,given,-son,Latin,
Hjørleifsson,1,0,1,1,surname,-sson,Latin,
Hjørnerud,1,0,1,0,surname,,Latin,
Hjørson,1,1,1,1,both,-son,Latin,
Hjørvarth,1,1,0,0,given,,Latin,
Hjøvardsson,1,1,0,0,given,-sson,Latin,
Hlada,1,0,0,1,married-only,,Latin,
Hlaðgerðr,1,1,0,0,given,,Latin,
Hler-Ægi,1,1,0,0,given,,Latin,
Hlif,1,1,0,0,given,,Latin,
Hlifarsson,1,1,0,0,given,-sson,Latin,
Hliv,1,1,0,0,given,,Latin,
Hlivarsson,1,0,0,1,married-only,-sson,Latin,
Hlodr,1,1,0,0,given,,Latin,
Hlodve,1,1,0,0,given,,Latin,
Hlodvesson,1,0,1,1,surname,-sson,Latin,
Hlodvisdatter,1,0,0,1,married-only,-sdatter,Latin,
Hlodvisson,1,0,1,1,surname,-sson,Latin,
Hlothar,1,1,0,0,given,,Latin,
Hlothere,1,1,0,0,given,,Latin,
Hlér,1,1,0,0,given,,Latin,
Hlíðarenda,1,0,0,1,married-only,,Latin,
Hlöðver,1,1,0,0,given,,Latin,
Hlöðversdóttur,1,0,1,0,surname,,Latin,
Hlöðvir,1,1,0,0,given,,Latin,
Hnabi,1,1,0,0,given,,Latin,
Hnake,1,1,0,0,given,,Latin,
Ho),1,0,0,1,married-only,,Latin,
Hoag,1,0,0,1,married-only,,Latin,
Hoakari天火明命,1,1,0,0,given,,mixed:Han+Latin,
Hoan,1,1,0,0,given,,Latin,
Hoar,1,0,0,1,married-only,,Latin,
Hobah,1,1,0,0,given,,Latin,
Hobberdstad,1,0,1,0,surname,,Latin,
Hobbs,1,0,1,0,surname,,Latin,
Hobn,1,0,1,0,surname,,Latin,
Hobson,1,0,0,1,married-only,-son,Latin,
Hoburger,1,0,0,1,married-only,,Latin,
Hoca,1,1,0,0,given,,Latin,
Hochberg,1,0,1,1,surname,,Latin,
Hochgelehrter,1,0,0,1,married-only,,Latin,
Hochgelernter,1,0,0,1,married-only,,Latin,
Hochherr,1,0,0,1,married-only,,Latin,
Hochmann,1,0,0,1,married-only,,Latin,
Hochmeister,1,0,1,0,surname,,Latin,
Hochstaden/de,1,0,1,0,surname,,Latin,
Hochster,1,0,0,1,married-only,,Latin,
Hochwärter,1,0,1,0,surname,,Latin,
Hocken,1,1,0,0,given,,Latin,
Hockstader,1,0,1,0,surname,,Latin,
Hodaiah,1,1,0,0,given,,Latin,
Hodaviah,1,1,0,0,given,,Latin,
Hodawiasz,1,1,0,0,given,,Latin,
Hoday-qol,1,0,1,0,surname,,Latin,
Hodbrodd,1,1,0,0,given,,Latin,
Hodbroddsdotter,1,1,0,0,given,-sdotter,Latin,
Hodbrodsson,1,0,1,0,surname,-sson,Latin,
Hodd,1,0,1,1,surname,,Latin,
Hoderi,1,1,0,0,given,,Latin,
Hodge-Crow,1,0,0,1,married-only,,Latin,
Hodgetts,1,0,0,1,married-only,,Latin,
Hodgman,1,0,1,0,surname,,Latin,
Hodiah,1,1,0,0,given,,Latin,
Hodic,1,0,0,1,married-only,,Latin,
Hodierna,1,1,0,0,given,,Latin,
Hodir,1,1,0,0,given,,Latin,
Hodkevich,1,0,1,0,surname,-evich,Latin,
Hodko,1,0,0,1,married-only,,Latin,
Hodleston,1,0,1,1,surname,,Latin,
Hodnaland,1,0,0,1,married-only,,Latin,
Hodo,1,1,0,0,given,,Latin,
Hodsdon,1,0,0,1,married-only,,Latin,
Hodukha-Bekhi,1,1,0,0,given,,Latin,
Hodzha,1,1,0,0,given,,Latin,
Hodža,1,1,0,0,given,,Latin,
Hoedan,1,1,0,0,given,,Latin,
Hoedi,1,1,0,0,given,,Latin,
Hoedjer,1,1,0,0,given,,Latin,
Hoedlyw,1,0,0,1,married-only,,Latin,
Hoedowikarta,1,1,0,0,given,,Latin,
Hoeegh,1,0,0,1,married-only,,Latin,
Hoegaerden,1,0,0,1,married-only,,Latin,
Hoeij,1,1,0,0,given,,Latin,
Hoelių,1,0,1,0,surname,,Latin,
Hoelun-Eke,1,1,0,0,given,,Latin,
Hoeng,1,1,0,0,given,,Latin,
Hoepojo,1,1,0,0,given,,Latin,
Hoeppner,1,0,1,0,surname,,Latin,
Hoernley,1,0,0,1,married-only,,Latin,
Hoeschen,1,0,1,0,surname,,Latin,
Hoesni,1,1,0,0,given,,Latin,
Hoesniah,1,1,0,0,given,,Latin,
Hoeun,1,1,0,0,given,,Latin,
Hoffman-Uddgren,1,0,0,1,married-only,,Latin,
Hoflund,1,0,0,1,married-only,,Latin,
Hofni,1,0,0,1,married-only,,Latin,
Hofrat,1,1,0,0,given,,Latin,
Hofvenius,1,0,0,1,married-only,,Latin,
Hogan,1,0,0,1,married-only,,Latin,
Hoggard/Haggard,1,1,0,0,given,,Latin,
Hognesdatter,1,0,1,1,surname,-sdatter,Latin,
Hogue,1,0,0,1,married-only,,Latin,
Hoh,1,0,1,0,surname,,Latin,
