geni_id	our_name	qid	candidate_name	slot	via	sex	shared_words
6000000000300259036		Q75371154	Q75371154	child	Venceslao Spalletti Trivelli Conte	M	
6000000000307243713	Francis Joseph Leopold Frederick Teck	Q5641192	Prince Francis of Teck	child	Francis Paul Charles Louis Alexander von Hohenstein 1st Duke of Teck, Count of Hohenstein	M	1st duke teck
6000000000307252374		Q75381797	Q75381797	child	Maria Kirillovna Leiningen	F	emich leiningen
6000000000307254966	Karl Anton Friedrich Wilhelm Ludwig von Hohenzollern-Sigmaringen Prinz	Q572135	Prince Karl Anton of Hohenzollern	child	Antónia María Fernanda Micaela Gabriela Rafaela Francisca de Assis Ana Gonzaga Silvéria Júlia Augusta de Saxe-Coburgo e Bragança Princess of Portugal, Duchess of Hohenzollern-Sigmaringen	M	ferdinand leopold
6000000000307271844	Vittorio Amedeo Francesco di Savoia	Q209579	Q209579	child	Maria Jeanne Baptiste de Saboya-Nemours	M	
6000000000307280647	Theutberga d'Arles	Q271770	Q271770	child	Boson d'Arles comte de Turin, Valois & d'Italie	F	
6000000000307282637		Q6530115	Q6530115	child	Georg Wilhelm Ernst August Friederich Axel von Hannover	F	georg sophie wilhelm
6000000000310547582	Ine	Q451580	Ine	child	Coenred	M	
6000000000315586103	Flavius Eusebius Consul	Q716670	Q716670	child	Flavius Eusebius	M	
6000000000317457020	Justin Ioustinos I Eastern Roman Emperor	Q183445	Q183445	sibling	Vigilantia	M	euphemia vigilantia
6000000000321089091	Rumetrada	Q76298795	Q76298795	child	Tato re dei Longobardi	F	tato
6000000000350871528	Dietrich von Kleve	Q75292216	Q75292216	child	Johann I von von Kleve	M	
6000000000350888818	Eadgyth	Q1566214	Eadburh of Winchester	sibling	Æthelstan Šlovingasis	F	
6000000000350893121	Infant	Q75384753	Q75384753	child	John of Lancaster 1st Duke of Bedford	F	
6000000000352428930	Elizabeth Constable	Q76303236	Q76303236	child	Thomas Darcy	F	
6000000000352513757	Ida Mary Elizabeth Agnes Bellingham	Q75271855	Q75271855	child	Constance Julia Eleanor Georgiana Bellingham	F	
6000000000352562675	Anne Constantia Beresford	Q75277410	Q75277410	child	Anna Antoinette Du Ligondes	F	anna antoinette ligonds
6000000000384779646	Rokas Konstantinas Zubovas	Q7359962	Q7359962	child	Kastytis Kastytis Zubovas	M	
6000000000419522511	Ursula Pole, Baroness Stafford	Q7901273	Q7901273	child	Margaret	F	1st baron dorothy henry montagu pole stafford
6000000000424806681	Duncan	Q18527741	Q18527741	sibling	Aufrica	M	
6000000000434517206	María de Castilla	Q96075848	Q96075848	child	Teresa Gómez de Ayala	F	
6000000000436874018	Richard Ferrers	Q99177615	Q99177615	child	Margaret Ferrers	M	margaret
6000000000436967349	Robert De Fiennes	Q1786825	Q1786825	child	Giles de Fiennes Knight	M	
6000000000437159576	Talorcen	Q2363513	Q2363513	child	Eanfrith	M	
6000000000437178567	Adela de Bretagne	Q75384599	Q75384599	child	Geoffrey I de Rennes	F	geoffrey
6000000000437188168	Baudoin de Flandre	Q75291485	Q75291485	child	Theoderic	M	
6000000000437189947	Isabel de Craon	Q52046055	Clémence de Mayenne	child	Isabelle de Craon dame de Mayenne, dame de Craon	F	isabelle
6000000000437339172	Étiennette de Bourgogne-Ivrea	Q2210747	Q2210747	child	Guillaume I de Bourgogne Comte de Bourgogne	F	burgundy count reginald
6000000000437546093	Coenwalh	Q75451572	Q75451572	child	Pybba	M	pybba
6000000000437846134	Agnes Levett	Q104471702	Alice Garneys	child	Elizabeth Garneys	F	
6000000000437969821	Gerberge de Bourgogne et de Franconia	Q76299698	Q76299698	child	Richemer d'Orleans	F	
6000000000438182318	Anna Maria ‘Mary’ Gill	Q92109977	Q92109977	child	Oliver Mainwaring, the Gentleman	F	
6000000000438212091	Alexander Graham	Q76113335	Q76113335	child	Alexander Graham Knight	M	
6000000000440483976	Eglon van der Neer	Q874770	Q874770	child	Aert van der Neer	M	maria wagensvelt
6000000000452943236	Paul Chemnitz	Q100268453	Martin Chemnitz	child	Martinus I. Chemnitz	M	chemnitz martin
6000000000460101717	Elise Behmer	Q137544164	Luise Engelhard	child	Magdalene Philippine Engelhard	F	
6000000000473879966	Jan van Horne heer van Hondschote	Q2751899	Q2751899	child	Johanna van Hondeschote	M	hondeschote johanna van
6000000000505699915	Carlo III di Tocco	Q3659482	Q3659482	child	Milica di Tocco	M	leonardo tocco
6000000000512469636		Q75304997	Q75304997	child	Irma Christiane Maximiliana Egona Huberta Maria Hugo Hohenlohe-Weikersheim	F	
6000000000537041885	Isabeau de Cayeu	Q116004149	Jeanne d'Ailly	child	Marie Marguerite d'Ailly le haut clocher	F	dailly iii jeanne marguerite robert senarpont
