qid,classes,mul,en,ja,zh,ko,ar,he,ru,de,fr,es,pt,it,nl,sv,nb,da,fi,pl
Q21449451,Q101352,Ravel,Ravel,ラヴェル,拉威尔,,,,Равель,Ravel,Ravel,Ravel,Ravel,Ravel,Ravel,Ravel,Ravel,Ravel,Ravel,Ravel
Q21449515,Q101352,Bertillon,Bertillon,,贝蒂荣,,,,Бертильон,Bertillon,Bertillon,Bertillon,Bertillon,Bertillon,Bertillon,Bertillon,Bertillon,Bertillon,Bertillon,Bertillon
Q21449547,Q101352,,Bampton,,,,,,,Bampton,Bampton,Bampton,Bampton,Bampton,Bampton,Bampton,Bampton,Bampton,Bampton,Bampton
Q21449563,Q101352,Purvis,Purvis,パーヴィス,珀维斯,,,,Пёрвис,Purvis,Purvis,Purvis,Purvis,Purvis,Purvis,Purvis,Purvis,Purvis,Purvis,Purvis
Q21449579,Q101352,Савин,Savin,サビン,萨文,,,,Савин,Sawin,Savin,Savin,Savin,Savin,Savin,Savin,,,,Sawin
Q21449595,Q101352,Rotter,Rotter,ロッター,罗特,,,רוטר,Роттер,Rotter,Rotter,Rotter,Rotter,Rotter,Rotter,Rotter,Rotter,Rotter,Rotter,Rotter
Q21449611,Q101352,Silliman,Silliman,,,,,בנג'מין סילימן,,Silliman,Silliman,Silliman,Silliman,Silliman,Silliman,Silliman,Silliman,Silliman,Silliman,Silliman
Q21449627,Q101352,Rutter,Rutter,ラッター,,,روتر,,Раттер,Rutter,Rutter,Rutter,Rutter,Rutter,Rutter,Rutter,Rutter,Rutter,Rutter,Rutter
Q21449675,Q101352,Дьяченко,Dyachenko,,亚琴科,,دياتشينكو,,Дьяченко,Djatschenko,Diatchenko,Diachenko,,,Dyachenko,,,,,
Q21449691,Q101352,Eley,Eley,,,,,,,Eley,Eley,Eley,Eley,Eley,Eley,Eley,Eley,Eley,Eley,Eley
Q21449707,Q101352,Pettus,Pettus,ペトゥス,,,,,,Pettus,Pettus,Pettus,Pettus,Pettus,Pettus,Pettus,Pettus,Pettus,Pettus,Pettus
