qid,geni_id,label,in_universe,wikidata_degree,wd_bure_in_component,wd_nearest_bure_hops,tree_bure_in_component,tree_nearest_bure_hops
Q5959493,6000000007885223091,Jonas Petri Linnerius,1,7,231,2,250,2
Q5960165,6000000007511893155,Carolus Nicolai Lithman,1,7,231,1,250,1
Q5975022,6000000000047190401,Lars August Mannerheim,1,8,231,1,250,2
Q5976894,6000000044191693814,Gabriel Hansson Marklin,1,2,1,,250,8
Q5977879,6000000020984646082,Hugo Wilhelm Martin,1,5,231,2,250,3
Q5978038,1386522,Roland Martin,1,7,231,2,250,3
Q5983613,6000000018625012640,Daniel Melanderhielm,1,4,231,3,250,3
Q6001555,6000000006127542348,Carl Claes Mörner af Morlanda,1,7,231,8,250,4
Q6001589,6000000011399399424,Carl Stellan Mörner af Morlanda,1,11,231,1,250,1
Q6001608,6000000006127550611,Hampus Elof Mörner af Morlanda,1,9,231,1,250,2
Q6014779,6000000001609127338,Otto Henrik Nordenskiöld,1,6,231,1,250,2
Q6015181,6000000012736122012,Carl Johan af Nordin,1,5,231,2,250,3
Q6034157,6000000008988776807,Carl Otto Palmstierna,1,7,231,9,250,3
Q6045829,4983826543490109811,Johan Teodor Petré,1,7,231,9,250,5
Q6057321,6000000001208426544,Olof Andersson Pryss,1,5,231,1,250,2
Q6060350,6000000023896755915,Lars Georg Rabenius,1,5,3,1,250,1
Q6060365,6000000017425518359,Olof Ingelsson Rabenius,1,6,3,1,250,1
Q6066129,6000000026434836045,Johan Martin Reftelius,1,3,231,4,250,4
Q6070068,6000000004310057362,Fredrik Ribbing,1,8,231,1,250,1
Q6079124,6000000015119243250,Axel Pontus von Rosen,1,9,231,1,250,1
Q6079275,6000000013143783109,Gustaf Fredrik von Rosen,1,11,231,1,250,1
Q6079637,6000000006127907129,Elof Rosenblad,1,9,231,1,250,2
Q6079648,6000000006127526943,Nils Eberhardsson Rosenblad,1,10,231,1,250,2
Q6080164,6000000009855557161,Nils Rosén von Rosenstein,1,3,231,2,250,3
Q6082455,6000000003580303855,Thure Gustaf Rudbeck,1,6,231,2,250,2
Q6082697,6000000007985537209,Torsten Rudenschöld,1,7,231,3,250,4
Q6092385,6000000026306044337,Axel Gösta* Fabian Sandels,1,5,231,2,250,3
Q6092396,6000000036292089942,Karl Knutsson Sandels,1,2,231,2,250,3
Q6092404,6000000011634551625,Samuel August Sandels,1,7,231,2,250,2
Q6145888,6000000002309876747,Göran Ludvig von Köhler,1,4,231,1,250,2
Q6158199,6000000006783102821,Erik Odelstierna,1,5,1,,250,3
Q6161733,6000000001883008064,Carl Fredrik Piper,1,8,231,1,250,1
Q6166560,6000000009889929969,Åke Claesson Rålamb,1,6,231,4,250,6
Q6170263,6000000007400284855,Fredrik Bogislaus von Schwerin,1,8,231,2,250,3
Q6175446,6000000012044161205,Anders Sidner,1,10,1,,250,8
Q6175928,6000000006127570851,Aron Gustaf Silfversparre,1,3,231,4,250,4
Q6175942,6000000007510100335,David Wilhelm Silfverstolpe,1,6,231,3,250,3
Q6175945,6000000019324978972,Fredrik Otto Silfverstolpe,1,4,231,6,250,4
Q6184896,6000000010894303789,Grev Carl Georg Georg Sparre af Söfdeborg,1,7,231,1,250,2
Q6184934,6000000006127346098,Erik Samuel Sparre af Söfdeborg,1,7,231,1,250,2
Q6185927,6000000008649800582,Jakob Vilhelm Wilhelm Sprengtporten,1,4,231,2,250,3
Q6188777,6000000004594967673,Arvid Nils Gustafsson Stenbock,1,6,231,2,250,2
Q6190771,6000000000840156453,Carl Emil Knut Карлов Stjernvall-Walleen,1,5,231,1,250,2
Q6193512,6000000008650680292,Fredrik Georg Strömfelt,1,8,231,1,250,1
Q6197780,6000000019361833914,Vilhelm Erik Svedelius,1,2,231,2,250,2
Q6206392,6000000013400608577,Fredrik Tersmeden,1,8,231,1,250,2
Q6206408,6000000013175234469,Jacob Johan Tersmeden,1,3,231,1,250,1
Q6206421,6000000013175221906,Lars Gustaf Tersmeden,1,12,231,1,250,1
Q6206425,6000000007441921037,Per Reinhold Tersmeden,1,6,231,1,250,2
Q6218068,6000000007858436950,Carl Peter Peter Törnebladh,1,2,231,9,250,6
Q6218214,6000000002933418844,Michaël Törnflycht till Hässelbyholm,1,5,231,1,250,2
Q6218220,6000000012056738350,Olof Olofsson Törnflycht,1,7,231,1,250,2
Q6229400,6000000007675744536,Elias von Walcker,1,5,231,3,250,3
Q6235986,1552522,Carl Gustaf Wennerstedt,1,10,231,2,250,2
Q6240337,6000000009585266046,Per Henrik Widmark RVO,1,11,1,,250,7
