qid	label	geni_ids	in_corpus	shape	detail
Q105826023	Thomas Curzon, of Croxall	6000000023526111222;6000000029029007369	0	neither profile is in our corpus	
Q105866974	Jan Kazimierz Massalski	6000000006705147255;6000000201220230884	0	neither profile is in our corpus	
Q105881918	Elizabeth Smith	6000000004212157120;6000000041105474501	0	neither profile is in our corpus	
Q106191774	Elżbieta Tyzenhauz	6000000021419183037;6000000025308252774	0	neither profile is in our corpus	
Q106351939	Paweł Oskierka	6000000007377845421;6000000211747864838	0	neither profile is in our corpus	
Q106351943	Franciszka Jeleńska	6000000007377664685;6000000211748379824	0	neither profile is in our corpus	
Q106351955	Aleksander Jerzy Puzyna	6000000011716648926;6000000023422138197	0	neither profile is in our corpus	
Q106382103	Karoline Wilhelmine Lüdolf	6000000004318496552;6000000205347856947	0	neither profile is in our corpus	
Q106460535	Krystyna Abramowicz	6000000024304152318;6000000082668228120	0	neither profile is in our corpus	
Q1064692	Charles H. Percy	6000000003087510006;6000000015048521331	0	neither profile is in our corpus	
Q106478192	Cynthia Amanda Page	6000000042686631270;6000000075865107927	0	neither profile is in our corpus	
Q106509630	Anna Rawle	6000000011429357309;6000000109376077840	0	neither profile is in our corpus	
Q106532607	Lucy Garnett Herndon	6000000009561923010;6000000024183759773	0	neither profile is in our corpus	
Q106647913	Jan Giza	6000000020360576700;6000000206005211823	0	neither profile is in our corpus	
Q106694791	Ignacy Oskierka	6000000037376153485;6000000142413539127	0	neither profile is in our corpus	
Q106694926	Zofia Teresa Wołłowicz	6000000037376199063;6000000212038921822	0	neither profile is in our corpus	
Q106730195	Alice Trumbull Silliman	6000000018572774172;6000000186915922876	0	neither profile is in our corpus	
Q106762334	Marcin Madaliński	6000000108890409833;6000000188794601822	0	neither profile is in our corpus	
Q106804957	Stanisław Święcicki	6000000044502202088;6000000215284689821	0	neither profile is in our corpus	
Q106804962	Brygida Zawisza-Kieżgajło	6000000015184858799;6000000044501824254	0	neither profile is in our corpus	
Q106805834	Konstancja Połubińska	6000000016681782587;6000000215454974821	0	neither profile is in our corpus	
Q106806254	Kazimiera Wołłowicz	6000000002659223438;6000000025430151997;6000000214767518862	0	neither profile is in our corpus	
Q106806993	Onufry Zabiełło	6000000015824764589;6000000214314504822	0	neither profile is in our corpus	
Q106813785	Konstancja Chodkiewicz	6000000014980887004;6000000215425646822	0	neither profile is in our corpus	
Q106814136	Eustachy Wołłowicz	6000000103377869920;6000000214941943828	0	neither profile is in our corpus	
Q106814189	Julia Breza	6000000002659217405;6000000214943031821	0	neither profile is in our corpus	
Q107014942	Eugène de Courten	6000000113894179872;6000000119925195838	0	neither profile is in our corpus	
Q107140876	Lady Sophia Hervey	6000000001299359741;6000000081776719728	0	neither profile is in our corpus	
Q107350882	Канстанцыя Лазовая	6000000020181732643;6000000022976940629	0	neither profile is in our corpus	
Q107370439	Ежы Фартунат Шэмет	6000000180851641821;6000000214686790825	0	neither profile is in our corpus	
Q107370444	Людвіка Мікульская	6000000180850896865;6000000214686782821	0	neither profile is in our corpus	
Q107518835	Mary Cogswell Kinney	6000000157334639835;6000000160911265843	0	neither profile is in our corpus	
Q107633517	Адам Стравінскі	6000000024400313768;6000000214711218822	0	neither profile is in our corpus	
Q107643627	Constantia Valadkovich	6000000015754676556;6000000197125929908	0	neither profile is in our corpus	
Q107643634	Michael Günther of Hildesheim	6000000015754364432;6000000197126905849	0	neither profile is in our corpus	
Q107671283	James Fenner Lee	6000000003772757760;6000000203965544825	0	neither profile is in our corpus	
Q108030036	Niewidana Sanguszko	6000000013765607448;6000000019775230371	0	neither profile is in our corpus	
Q108261713	Samuel Dunn	6000000003939362503;6000000013040604079	0	neither profile is in our corpus	
Q108286288	Jacob H. Ten Eyck	6000000000954670549;6000000096340824948	0	neither profile is in our corpus	
Q108332209	Władysław Antoni Kierdej	6000000015346397836;6000000083821502945	0	neither profile is in our corpus	
Q1083403	Dan Uggla	6000000000404619437;6000000127979078940	0	neither profile is in our corpus	
Q108399059	Samuel Phillips Savage	6000000002946629110;6000000088404487904	0	neither profile is in our corpus	
Q108400922	Lemuel Hayward	6000000010144468400;6000000097706215851	0	neither profile is in our corpus	
Q108414424	Robert Farley	6000000006439906408;6000000063447563851	0	neither profile is in our corpus	
Q108476148	Knud Pedersen	6000000007232248146;6000000155935103822	0	neither profile is in our corpus	
Q108477758	Wilhelmina Anheuser	6000000012420921951;6000000143781498834	0	neither profile is in our corpus	
Q108631695	Mary Scott	6000000000875606282;6000000195583791828	0	neither profile is in our corpus	
Q108678434	Lieutenant Silas Sears	6000000006453247409;6000000137358462866	0	neither profile is in our corpus	
Q108682572	Estelle Bayliss	6000000007667093371;6000000031292039612	0	neither profile is in our corpus	
Q108687793	Charlotte Matilda Rogers	6000000006330053107;6000000021517339025	0	neither profile is in our corpus	
Q108705487	Gustaf Emil Höjer	6000000182413968826;6000000183587679847	0	neither profile is in our corpus	
Q108723194	Mikhail Jughashvili	6000000005808072005;6000000052997257113	0	neither profile is in our corpus	
Q108781880	Олександра Капустянка	6000000006603373726;6000000215431456827	0	neither profile is in our corpus	
Q108814758	Fitzwilliam Thomas Pollok	3043761;6000000001700653612	0	neither profile is in our corpus	
Q108887098	Susan Tucker Whittier	6000000014496137259;6000000094068138949	0	neither profile is in our corpus	
Q108909136	David Ingersoll	2132604;6000000002896850632	0	neither profile is in our corpus	
Q108909137	Sarah Ingersoll	6000000002860672546;6000000002896941827	0	neither profile is in our corpus	
Q108916088	Henry Townsend Martin	6000000000280496608;6000000000371177966	0	neither profile is in our corpus	
Q10919002	Wu Qian	6000000074705547053;6000000074745818169	0	neither profile is in our corpus	
Q109221621	Тэрэза з Кемпскіх	6000000022451058856;6000000039086735125	0	neither profile is in our corpus	
Q109319731	Sarah Parkman Cushing	6000000003937961999;6000000021395672115	0	neither profile is in our corpus	
Q109335397	Torben Axel Monberg	6000000035834196059;6000000185775576830	0	neither profile is in our corpus	
Q109350494	Samuel Torrey	6000000007454446740;6000000029361675303	0	neither profile is in our corpus	
Q109352793	William Ward	6000000074447188280;6000000179752830941	0	neither profile is in our corpus	
Q10944218	Kong Lingyi	6000000011251031259;6000000075508560021	0	neither profile is in our corpus	
