qid	wikidata_label	geni_id	geni_name	verdict	our_father	our_mother	anchor_father	anchor_mother	decisive	withheld_because	one_is_the_other_parent	decided_by
Q102157541	Sarah Josephine Williams	6000000052322512972		UNKNOWN (not in our tree)			6000000020328698553		no		no	
Q102158711	James Coggeshall Easton	6000000017767584877		UNKNOWN (not in our tree)			380181190500013187	380181393830013172	no		no	
Q102158711	James Coggeshall Easton	6000000055340096950		UNKNOWN (not in our tree)			380181190500013187	380181393830013172	no		no	
Q102163860	Gershom Moore	6000000021829012200		UNKNOWN (not in our tree)			4286695454430046287		no		no	
Q102163860	Gershom Moore	6000000033304877460		UNKNOWN (not in our tree)			4286695454430046287		no		no	
Q102228062	Robert Lawrence Stearns	6000000001915109394		UNKNOWN (not in our tree)			6000000077191209713	6000000077193743810	no		no	
Q102228062	Robert Lawrence Stearns	6000000077367935005		UNKNOWN (not in our tree)			6000000077191209713	6000000077193743810	no		no	
Q102252824	Abigail Goss	6000000003634754431		UNKNOWN (not in our tree)			4007577767060127325		no		no	
Q102252824	Abigail Goss	6000000006733558941		UNKNOWN (not in our tree)			4007577767060127325		no		no	
Q102389354	"Susannah ""Susan"" Kittredge Field"	6000000050706637157		UNKNOWN (not in our tree)			6000000004098119382	6000000004097844904	no		no	
Q102389354	"Susannah ""Susan"" Kittredge Field"	6000000076697533706		UNKNOWN (not in our tree)			6000000004098119382	6000000004097844904	no		no	
Q102398405	Martha Sherman Greene	6000000051921039217		UNKNOWN (not in our tree)			6000000003147049435	6000000003147049428	no		no	
Q102398405	Martha Sherman Greene	6000000150678389837		UNKNOWN (not in our tree)			6000000003147049435	6000000003147049428	no		no	
Q102400723	Ebenezer Draper	6000000000452693639		UNKNOWN (not in our tree)			6000000002904630076	6000000006210430025	no		no	
Q102400723	Ebenezer Draper	6000000006969743922		UNKNOWN (not in our tree)			6000000002904630076	6000000006210430025	no		no	
Q102400726	Dorothy Draper	6000000000452806237		UNKNOWN (not in our tree)			6000000006802888885		no		no	
Q102400726	Dorothy Draper	6000000004548397739		UNKNOWN (not in our tree)			6000000006802888885		no		no	
Q102402448	Мацвей Васілевіч Чацвярцінскі	6000000014069067503		UNKNOWN (not in our tree)			6000000014068877177		no		no	
Q102402448	Мацвей Васілевіч Чацвярцінскі	6000000081277796957		UNKNOWN (not in our tree)			6000000014068877177		no		no	
Q102417262	Stanisław Wołłowicz	6000000022877198431		UNKNOWN (not in our tree)			6000000037376776940	6000000032053856103	no		no	
Q102417262	Stanisław Wołłowicz	6000000032053972914		UNKNOWN (not in our tree)			6000000037376776940	6000000032053856103	no		no	
Q102417560	Юзаф Слізень	6000000009403304982		UNKNOWN (not in our tree)			6000000038134753176		no		no	
Q102417560	Юзаф Слізень	6000000038134418659		UNKNOWN (not in our tree)			6000000038134753176		no		no	
Q102536628	Petronela Wołodkowicz	6000000024782378925		UNKNOWN (not in our tree)			6000000015346596111		no		no	
Q102536628	Petronela Wołodkowicz	6000000036997569010		UNKNOWN (not in our tree)			6000000015346596111		no		no	
Q102825194	Gilbert V Motier de La Fayette, Seigneur de St.Romain	6000000003493396031	Gilbert Motier de La Fayette seigneur de Pontgibault	CONFIRMED	6000000000571789779	6000000003493392891			yes		yes	dates (no parent anchor; kin proves one id is wrong)
Q102825194	Gilbert V Motier de La Fayette, Seigneur de St.Romain	6000000003493396117	Antoine Motier	CONTRADICTED	6000000003493396031	6000000017184392185			yes		yes	dates (no parent anchor; kin proves one id is wrong)
Q102942382	Nadezhda Gagarina	6000000009189346638		UNKNOWN (not in our tree)			6000000006767923260	6000000006767748360	no		no	
Q102942382	Nadezhda Gagarina	6000000157681677948		UNKNOWN (not in our tree)			6000000006767923260	6000000006767748360	no		no	
Q103056725	Daniel Frydrychowicz Puzyna	6000000024948366049		UNKNOWN (not in our tree)			6000000014713681307		no		no	
Q103056725	Daniel Frydrychowicz Puzyna	6000000192281757854		UNKNOWN (not in our tree)			6000000014713681307		no		no	
Q1031989	Louisa Burnaby	6000000007324593339		UNKNOWN (not in our tree)			6000000003455215838	6000000002459871428	no		no	
Q1031989	Louisa Burnaby	6000000088532016868		UNKNOWN (not in our tree)			6000000003455215838	6000000002459871428	no		no	
Q10332262	Li Liang	6000000021289863161		CONFIRMED	6000000007513339285	6000000037997172878	6000000007513339285		no		no	
Q10332262	Li Liang	6000000075399132050		UNKNOWN (not in our tree)			6000000007513339285		no		no	
Q10332683	Li Yuanyi	6000000021240804155		CONTRADICTED	6000000002188101188	6000000021240267493	6000000075059949348		no		no	
Q10332683	Li Yuanyi	6000000075060910838		UNKNOWN (not in our tree)			6000000075059949348		no		no	
Q10338468	Li Ai	6000000021163973241		CONTRADICTED	6000000007969920676		6000000075059722174		no		no	
Q10338468	Li Ai	6000000075061063879		UNKNOWN (not in our tree)			6000000075059722174		no		no	
Q103554590	Imogen Hawthorne	6000000022712632137		UNKNOWN (not in our tree)			5260753336480036621		no		no	
Q103554590	Imogen Hawthorne	6000000048721957857		UNKNOWN (not in our tree)			5260753336480036621		no		no	
Q103765961	Martha Kingsbury	6000000007269610446		UNKNOWN (not in our tree)				6000000002870133269	no		no	
Q103765961	Martha Kingsbury	6000000027652562439		UNKNOWN (not in our tree)				6000000002870133269	no		no	
Q103768923	Ephraim Kingsbury	6000000007268878697		UNKNOWN (not in our tree)			6000000003502101326	6000000002969920320	no		no	
Q103768923	Ephraim Kingsbury	6000000027652282460		UNKNOWN (not in our tree)			6000000003502101326	6000000002969920320	no		no	
Q103811236	Henrietta Foster	6000000014437907504		UNKNOWN (not in our tree)			6000000004152686088	6000000004328418845	no		no	
Q103811236	Henrietta Foster	6000000073137207941		UNKNOWN (not in our tree)			6000000004152686088	6000000004328418845	no		no	
Q103819215	Michał Frąckiewicz-Radzimiński	6000000024757887164		UNKNOWN (not in our tree)			6000000045889298821	6000000045889233881	no		no	
Q103819215	Michał Frąckiewicz-Radzimiński	6000000045888454989		UNKNOWN (not in our tree)			6000000045889298821	6000000045889233881	no		no	
Q103819224	Антанела Друцкая-Горская	6000000015151679024		UNKNOWN (not in our tree)			6000000015346506663	6000000015346551263	no		no	
Q103819224	Антанела Друцкая-Горская	6000000082673313933		UNKNOWN (not in our tree)			6000000015346506663	6000000015346551263	no		no	
Q103899525	Barbara Sapieha	6000000014947264951		UNKNOWN (not in our tree)			6000000014947889571	6000000014948003051	no	candidates share a name - may be one person	no	
Q103899525	Barbara Sapieha	6000000028265875155	Barbara Sapieha h. Lis	CONTRADICTED	6000000014947742577		6000000014947889571	6000000014948003051	no	candidates share a name - may be one person	no	
Q103903312	Franciszka Chałecka	6000000083820194298		UNKNOWN (not in our tree)			6000000086596748928	6000000021332706370	no		no	
Q103903312	Franciszka Chałecka	6000000130989090257		UNKNOWN (not in our tree)			6000000086596748928	6000000021332706370	no		no	
Q103942821	Mariya Shuvalova	6000000013548621899		UNKNOWN (not in our tree)				6000000008447715866	no		no	
Q103942821	Mariya Shuvalova	6000000190090630168		UNKNOWN (not in our tree)				6000000008447715866	no		no	
Q103954861	Wawrzyniec Rudomina Dusiacki	6000000028265674829		UNKNOWN (not in our tree)			6000000015042737755		no		no	
Q103954861	Wawrzyniec Rudomina Dusiacki	6000000084632491886		UNKNOWN (not in our tree)			6000000015042737755		no		no	
Q103955273	Zofia Felicja Wołłowicz	6000000020070655734		UNKNOWN (not in our tree)			6000000025358859110	6000000025358602644	no		no	
Q103955273	Zofia Felicja Wołłowicz	6000000028265657861		UNKNOWN (not in our tree)			6000000025358859110	6000000025358602644	no		no	
Q104006932	Elizabeth Minor	6000000003650750011		UNKNOWN (not in our tree)			6000000002477065818		no		no	
Q104006932	Elizabeth Minor	6000000165166267854		UNKNOWN (not in our tree)			6000000002477065818		no		no	
Q104033368	Joseph Warren Goddard	6000000017753201083		UNKNOWN (not in our tree)			6000000094651325162		no		no	
Q104033368	Joseph Warren Goddard	6000000094651325115		UNKNOWN (not in our tree)			6000000094651325162		no		no	
Q104033369	Abijah Warren Goddard	6000000033329766475		UNKNOWN (not in our tree)			6000000094652274851		no		no	
Q104033369	Abijah Warren Goddard	6000000094651325162		UNKNOWN (not in our tree)			6000000094652274851		no		no	
Q104033370	Joseph Goddard	6000000017753202049		UNKNOWN (not in our tree)			6000000017884349104	6000000094652274837	no		no	
Q104033370	Joseph Goddard	6000000094652274851		UNKNOWN (not in our tree)			6000000017884349104	6000000094652274837	no		no	
Q104128340	Ezra Kellogg	6000000003939689160		UNKNOWN (not in our tree)			6000000002588928519	6000000003939689095	no		no	
Q104128340	Ezra Kellogg	6000000008997648244		UNKNOWN (not in our tree)			6000000002588928519	6000000003939689095	no		no	
