char,codepoint,unicode_name,script_word,occurrences,top_tags,sample
տ,U+057F,ARMENIAN SMALL LETTER TIWN,ARMENIAN,36,NAME:20; GIVN:13; NICK:2; NSFX:1,Տիգրան Առաջին // արքան Հայաստան
±,U+00B1,PLUS-MINUS SIGN,PLUS-MINUS,36,TITL:33; OCCU:1; PLAC:1; NICK:1,Mathilde de Penthièvre (± 1098-1135) » Lynn Family Tree » Genealogie Online
騰,U+9A30,CJK UNIFIED IDEOGRAPH-9A30,CJK,36,NAME:20; GIVN:14; NICK:1; _MARNM:1,騰雲院殿隆厳長越大居士
伝,U+4F1D,CJK UNIFIED IDEOGRAPH-4F1D,CJK,36,NAME:20; GIVN:10; OCCU:3; PLAC:1,伝香寺
旗,U+65D7,CJK UNIFIED IDEOGRAPH-65D7,CJK,36,OCCU:27; NAME:4; GIVN:4; NICK:1,旗本
鵜,U+9D5C,CJK UNIFIED IDEOGRAPH-9D5C,CJK,36,NAME:22; _MARNM:10; NICK:2; OCCU:1,天津日高日子波限建鵜草葺不合命
印,U+5370,CJK UNIFIED IDEOGRAPH-5370,CJK,36,NAME:13; GIVN:11; NICK:4; _MARNM:4,御眞木入日子印恵命 /崇神天皇/
冠,U+51A0,CJK UNIFIED IDEOGRAPH-51A0,CJK,36,NAME:16; GIVN:12; NICK:7; OCCU:1,大紫冠
祇,U+7947,CJK UNIFIED IDEOGRAPH-7947,CJK,36,NAME:22; GIVN:12; OCCU:2,祇子 /藤原/
晧,U+6667,CJK UNIFIED IDEOGRAPH-6667,CJK,36,NAME:21; GIVN:14; OCCU:1,晧月院 /土井/
昊,U+660A,CJK UNIFIED IDEOGRAPH-660A,CJK,36,NAME:19; GIVN:15; TITL:2,玄囂/少昊
暁,U+6681,CJK UNIFIED IDEOGRAPH-6681,CJK,36,NAME:20; GIVN:13; OCCU:3,？(松平忠暁の娘) /松平/
タ,U+30BF,KATAKANA LETTER TA,KATAKANA,36,NAME:18; GIVN:16; NICK:2,マルタ /小西/
萃,U+8403,CJK UNIFIED IDEOGRAPH-8403,CJK,36,NAME:23; GIVN:11; _MARNM:2,Chén Rǔcuì /陳汝萃/
库,U+5E93,CJK UNIFIED IDEOGRAPH-5E93,CJK,36,NAME:18; SURN:18,"元英 字天觉，号香叟 /广东香县山县库充乡/ 126, 85, 38, 3, 2世"
琪,U+742A,CJK UNIFIED IDEOGRAPH-742A,CJK,36,NAME:21; GIVN:14; NICK:1,"Qí Xīng 琪兴, 56G"
仰,U+4EF0,CJK UNIFIED IDEOGRAPH-4EF0,CJK,36,NAME:20; GIVN:13; NICK:2; OCCU:1,忠仰 /酒井/
體,U+9AD4,CJK UNIFIED IDEOGRAPH-9AD4,CJK,36,NAME:23; GIVN:13,寳體院 /溝口/
邽,U+90BD,CJK UNIFIED IDEOGRAPH-90BD,CJK,36,NAME:18; SURN:18,/隴西上邽/
祺,U+797A,CJK UNIFIED IDEOGRAPH-797A,CJK,36,NAME:21; GIVN:15,"Qí 祺 /Chén 陳/ 133, 93, 46, 9"
羡,U+7FA1,CJK UNIFIED IDEOGRAPH-7FA1,CJK,36,NAME:19; GIVN:15; NICK:2,羡 /子姓/
ྲ,U+0FB2,TIBETAN SUBJOINED LETTER RA,TIBETAN,36,NAME:25; GIVN:10; NSFX:1,Mongsa Chinjam / མོང་བཟའ་ཁྲི་ལནྕམ།
遘,U+9058,CJK UNIFIED IDEOGRAPH-9058,CJK,36,NAME:22; GIVN:14,遘 得聖 /蘭陵/
褚,U+891A,CJK UNIFIED IDEOGRAPH-891A,CJK,36,_MARNM:24; NAME:10; SURN:2,褚
재,U+C7AC,HANGUL SYLLABLE JAE,HANGUL,36,NAME:18; GIVN:16; PLAC:2,고 재 /고/
熟,U+719F,CJK UNIFIED IDEOGRAPH-719F,CJK,36,NAME:18; SURN:16; GIVN:2,崇 希元 /蘇州常熟/
陟,U+965F,CJK UNIFIED IDEOGRAPH-965F,CJK,36,NAME:20; GIVN:16,陟明 /杭州錢塘/
嘏,U+560F,CJK UNIFIED IDEOGRAPH-560F,CJK,35,NAME:19; GIVN:16,嘏 含茂 /陳郡陽夏/
邈,U+9088,CJK UNIFIED IDEOGRAPH-9088,CJK,35,NAME:19; GIVN:16,邈 /陳郡陽夏/
諧,U+8AE7,CJK UNIFIED IDEOGRAPH-8AE7,CJK,35,NAME:21; GIVN:13; NICK:1,陳汝諧 /Chan/
龙,U+9F99,CJK UNIFIED IDEOGRAPH-9F99,CJK,35,NAME:21; GIVN:10; NICK:2; _MARNM:1,龙 /黃/
،,U+060C,ARABIC COMMA,ARABIC,35,TITL:11; NAME:10; GIVN:7; NICK:5,سادات سجادی تفرش - ویکی_پدیا، دانشنامهٔ آزاد.pdf
軫,U+8EEB,CJK UNIFIED IDEOGRAPH-8EEB,CJK,35,NAME:19; GIVN:14; NICK:2,軫 /陳/
乳,U+4E73,CJK UNIFIED IDEOGRAPH-4E73,CJK,35,NAME:20; GIVN:9; OCCU:6,池田恒利正室のち織田信長乳母のち織田信秀側室
譽,U+8B7D,CJK UNIFIED IDEOGRAPH-8B7D,CJK,35,NAME:19; GIVN:13; NICK:3,崇源院殿昌譽和興仁淸大禪定尼
薫,U+85AB,CJK UNIFIED IDEOGRAPH-85AB,CJK,35,NAME:22; GIVN:11; OCCU:2,薫子 円台院 /泰宮/
笥,U+7B25,CJK UNIFIED IDEOGRAPH-7B25,CJK,35,NAME:20; _MARNM:6; SURN:5; OCCU:4,光重継室 /櫛笥/
推,U+63A8,CJK UNIFIED IDEOGRAPH-63A8,CJK,35,NAME:19; GIVN:13; _MARNM:2; NICK:1,額田部 /推古天皇/
祝,U+795D,CJK UNIFIED IDEOGRAPH-795D,CJK,35,NAME:20; GIVN:11; NICK:1; OCCU:1,信祝 /松平/
給,U+7D66,CJK UNIFIED IDEOGRAPH-7D66,CJK,35,OCCU:12; NAME:12; NICK:6; _MARNM:2,大給松平家乗正室
候,U+5019,CJK UNIFIED IDEOGRAPH-5019,CJK,35,NAME:22; GIVN:11; OCCU:2,総候 /石川/
唯,U+552F,CJK UNIFIED IDEOGRAPH-552F,CJK,35,NAME:20; GIVN:11; OCCU:3; NICK:1,一唯室 /小出/
柯,U+67EF,CJK UNIFIED IDEOGRAPH-67EF,CJK,35,NAME:20; GIVN:15,滋柯 /藤原/
煜,U+715C,CJK UNIFIED IDEOGRAPH-715C,CJK,35,NAME:20; GIVN:15,"Chén Déyù 陳德煜, 146, 105, 58, 23 (德)"
黑,U+9ED1,CJK UNIFIED IDEOGRAPH-9ED1,CJK,35,NAME:21; GIVN:13; _MARNM:1,黑 /趙/
括,U+62EC,CJK UNIFIED IDEOGRAPH-62EC,CJK,35,NAME:19; GIVN:16,括 /趙/
昉,U+6609,CJK UNIFIED IDEOGRAPH-6609,CJK,35,NAME:21; GIVN:14,氏昉 /北条/
論,U+8AD6,CJK UNIFIED IDEOGRAPH-8AD6,CJK,35,NAME:15; GIVN:11; NICK:6; TITL:3,論 /施/
雙,U+96D9,CJK UNIFIED IDEOGRAPH-96D9,CJK,35,NAME:19; GIVN:13; PLAC:2; NICK:1,雙悟 /Chén 陳/
만,U+B9CC,HANGUL SYLLABLE MAN,HANGUL,35,NAME:18; GIVN:14; _MARNM:3,만
심,U+C2EC,HANGUL SYLLABLE SIM,HANGUL,35,NAME:15; GIVN:14; NICK:5; SURN:1,원나라 초대 고려 심양왕
濤,U+6FE4,CJK UNIFIED IDEOGRAPH-6FE4,CJK,35,NAME:19; GIVN:13; TITL:3,濤 /陳/
佺,U+4F7A,CJK UNIFIED IDEOGRAPH-4F7A,CJK,35,NAME:21; GIVN:14,佺 /汴州開封/
璬,U+74AC,CJK UNIFIED IDEOGRAPH-74AC,CJK,35,NAME:21; GIVN:14,玄璬 /弘農華陰/
΄,U+0384,GREEK TONOS,GREEK,34,NAME:13; NICK:12; GIVN:9,Μιχαήλ Ζ΄ /Δούκας/ Αυτοκράτορας του Βυζαντίου
ө,U+04E9,CYRILLIC SMALL LETTER BARRED O,CYRILLIC,34,NICK:18; NAME:9; GIVN:5; _MARNM:2,Бөртэ Ужин
哀,U+54C0,CJK UNIFIED IDEOGRAPH-54C0,CJK,34,NAME:23; GIVN:5; NICK:4; _MARNM:1,哀子 /陳/
臼,U+81FC,CJK UNIFIED IDEOGRAPH-81FC,CJK,34,NAME:20; GIVN:10; OCCU:2; _MARNM:1,"Xuān Gōng Chǔjiù 宣公杵臼 /Chén 陳/ 52, 44, 11G"
🧬,U+1F9EC,DNA DOUBLE HELIX,DNA,34,TITL:31; NAME:2; NICK:1,🧬 Estefania 'Diego' Porcallo Hernandez De Montemayor
被,U+88AB,CJK UNIFIED IDEOGRAPH-88AB,CJK,34,NAME:21; GIVN:11; OCCU:2,Pei 被  /NG/ 14gen.
斡,U+65A1,CJK UNIFIED IDEOGRAPH-65A1,CJK,34,NAME:15; SURN:12; GIVN:3; _MARNM:3,阿抡郭斡
歌,U+6B4C,CJK UNIFIED IDEOGRAPH-6B4C,CJK,34,NAME:16; GIVN:10; OCCU:4; NICK:2,踏歌節会外弁
膳,U+81B3,CJK UNIFIED IDEOGRAPH-81B3,CJK,34,NAME:15; GIVN:7; OCCU:6; NICK:5,従五位上主膳正
類,U+985E,CJK UNIFIED IDEOGRAPH-985E,CJK,34,NAME:21; GIVN:12; NICK:1,類
苗,U+82D7,CJK UNIFIED IDEOGRAPH-82D7,CJK,34,NAME:18; GIVN:10; OCCU:5; PLAC:1,美濃国苗木城
阜,U+961C,CJK UNIFIED IDEOGRAPH-961C,CJK,34,NAME:14; STAE:6; SURN:6; GIVN:5,岐阜市
幕,U+5E55,CJK UNIFIED IDEOGRAPH-5E55,CJK,34,NAME:15; PLAC:7; GIVN:7; OCCU:5,江戸幕府
梶,U+68B6,CJK UNIFIED IDEOGRAPH-68B6,CJK,34,NAME:22; GIVN:10; NICK:1; _MARNM:1,梶 英勝院 /太田/
尭,U+5C2D,CJK UNIFIED IDEOGRAPH-5C2D,CJK,34,NAME:21; GIVN:12; OCCU:1,尭尊 /伏見宮/
紫,U+7D2B,CJK UNIFIED IDEOGRAPH-7D2B,CJK,34,NAME:21; GIVN:8; OCCU:2; _MARNM:1,大紫冠
　,U+3000,IDEOGRAPHIC SPACE,IDEOGRAPHIC,34,OCCU:19; NAME:6; NICK:6; SURN:2,正三位　参議
尤,U+5C24,CJK UNIFIED IDEOGRAPH-5C24,CJK,34,NAME:20; GIVN:9; SURN:4; _MARNM:1,丘浮尤鞮單于 Chupunoti
乞,U+4E5E,CJK UNIFIED IDEOGRAPH-4E5E,CJK,34,NAME:18; GIVN:16,階 乞珍 /遼西/
告,U+544A,CJK UNIFIED IDEOGRAPH-544A,CJK,34,NAME:21; GIVN:11; OCCU:2,忠告 /酒井/
彤,U+5F64,CJK UNIFIED IDEOGRAPH-5F64,CJK,34,NAME:20; GIVN:13; _MARNM:1,彤魚氏
屈,U+5C48,CJK UNIFIED IDEOGRAPH-5C48,CJK,34,NAME:19; _MARNM:7; GIVN:4; SURN:4,Qǐ Qū /HUANG 黄起屈 45A/
楫,U+696B,CJK UNIFIED IDEOGRAPH-696B,CJK,34,NAME:20; GIVN:14,小楫 /紀/
銓,U+9293,CJK UNIFIED IDEOGRAPH-9293,CJK,34,NAME:20; GIVN:14,廣銓 敬貽 /湖南湘鄉/
온,U+C628,HANGUL SYLLABLE ON,HANGUL,34,NAME:17; GIVN:15; _MARNM:1; PLAC:1,On-Jo 온 /부여/
錡,U+9321,CJK UNIFIED IDEOGRAPH-9321,CJK,34,TITL:14; NAME:12; GIVN:8,禎錡(奎熙) /胡/
曠,U+66E0,CJK UNIFIED IDEOGRAPH-66E0,CJK,34,NAME:19; GIVN:15,曠 /Zēng 曾/
攸,U+6538,CJK UNIFIED IDEOGRAPH-6538,CJK,34,NAME:18; GIVN:16,攸 大猷 /河內溫縣/
겸,U+ACB8,HANGUL SYLLABLE GYEOM,HANGUL,34,NAME:17; GIVN:15; _MARNM:1; SURN:1,인겸 /김/
형,U+D615,HANGUL SYLLABLE HYEONG,HANGUL,34,NAME:17; GIVN:16; _MARNM:1,형
騫,U+9A2B,CJK UNIFIED IDEOGRAPH-9A2B,CJK,34,NAME:18; GIVN:14; TITL:2,騫 /琅邪臨沂/
泌,U+6CCC,CJK UNIFIED IDEOGRAPH-6CCC,CJK,34,NAME:20; GIVN:14,泌 /開封/
據,U+64DA,CJK UNIFIED IDEOGRAPH-64DA,CJK,33,NAME:18; GIVN:13; NICK:2,據 /陳郡陽夏/
招,U+62DB,CJK UNIFIED IDEOGRAPH-62DB,CJK,33,NAME:17; GIVN:15; NICK:1,招 /陳/
斗,U+6597,CJK UNIFIED IDEOGRAPH-6597,CJK,33,NAME:18; GIVN:11; NICK:2; _MARNM:1,陳斗山 /Chan/
̣,U+0323,COMBINING DOT BELOW,COMBINING,33,NAME:16; GIVN:12; _MARNM:3; NICK:1,??? /bat Ṣemaḥ ben Paltoi/
ї,U+0457,CYRILLIC SMALL LETTER YI,CYRILLIC,33,NAME:9; CITY:6; OCCU:5; TITL:4,"Генріх IV, імператор Священної Римської імперії"
╪,U+256A,BOX DRAWINGS VERTICAL SINGLE AND HORIZONTAL DOUBLE,BOX,33,PLAC:32; OCCU:1,"Kragerup, ╪rslev, Holbaek, Danmark"
了,U+4E86,CJK UNIFIED IDEOGRAPH-4E86,CJK,33,NAME:20; GIVN:10; NICK:3,見性寺正誉英厳了盛
曇,U+66C7,CJK UNIFIED IDEOGRAPH-66C7,CJK,33,NAME:17; GIVN:14; _MARNM:1; NICK:1,雲岳聖朝 /曇華院/
み,U+307F,HIRAGANA LETTER MI,HIRAGANA,33,NICK:27; NAME:4; GIVN:2,みかさのみや たかひとしんのう
般,U+822C,CJK UNIFIED IDEOGRAPH-822C,CJK,33,NAME:18; GIVN:13; OCCU:2,久般正室 /池田/
籌,U+7C4C,CJK UNIFIED IDEOGRAPH-7C4C,CJK,33,NAME:20; GIVN:12; OCCU:1,忠籌正室 /松浦/
蒔,U+8494,CJK UNIFIED IDEOGRAPH-8494,CJK,33,NAME:20; _MARNM:4; SURN:4; OCCU:3,蒔田定則室 /稲葉/
侶,U+4FB6,CJK UNIFIED IDEOGRAPH-4FB6,CJK,33,NAME:19; GIVN:12; OCCU:2,僧侶
贵,U+8D35,CJK UNIFIED IDEOGRAPH-8D35,CJK,33,NAME:21; GIVN:12,贵甫 /Chén 陳/
狐,U+72D0,CJK UNIFIED IDEOGRAPH-72D0,CJK,33,NAME:22; SURN:7; GIVN:2; _MARNM:2,狐鹿姑 /攣鞮/
阳,U+9633,CJK UNIFIED IDEOGRAPH-9633,CJK,33,TITL:16; NAME:9; GIVN:3; SURN:3,Gao Yang 高阳
腾,U+817E,CJK UNIFIED IDEOGRAPH-817E,CJK,33,NAME:21; GIVN:12,林腾 /第9世长林衍派/
鋭,U+92ED,CJK UNIFIED IDEOGRAPH-92ED,CJK,33,NAME:20; GIVN:13,鋭固 Ruì Gù /HUÁNG 黃/
紓,U+7D13,CJK UNIFIED IDEOGRAPH-7D13,CJK,33,NAME:20; GIVN:13,紓 Shū /HUÁNG 黃/
需,U+9700,CJK UNIFIED IDEOGRAPH-9700,CJK,33,NAME:20; GIVN:12; OCCU:1,忠需 /西尾/
奭,U+596D,CJK UNIFIED IDEOGRAPH-596D,CJK,33,NAME:20; GIVN:13,奭 /劉/
俌,U+4FCC,CJK UNIFIED IDEOGRAPH-4FCC,CJK,33,NAME:19; GIVN:14,俌 /曾/
ར,U+0F62,TIBETAN LETTER RA,TIBETAN,33,NAME:20; GIVN:11; NICK:2,རྒྱ་མོ་བཟའ་
ཙ,U+0F59,TIBETAN LETTER TSA,TIBETAN,33,NAME:23; GIVN:10,གུང་སྲོང་གུང་བཙན། / Gungsong Gungzän
曉,U+66C9,CJK UNIFIED IDEOGRAPH-66C9,CJK,33,NAME:19; GIVN:14,曉 /陳/
俛,U+4FDB,CJK UNIFIED IDEOGRAPH-4FDB,CJK,33,NAME:20; GIVN:13,俛 /陳/
伷,U+4F37,CJK UNIFIED IDEOGRAPH-4F37,CJK,33,NAME:19; GIVN:14,伷 /子姓/
나,U+B098,HANGUL SYLLABLE NA,HANGUL,33,NAME:11; PLAC:9; GIVN:6; NICK:5,신라대왕을 지나
림,U+B9BC,HANGUL SYLLABLE RIM,HANGUL,33,NAME:15; GIVN:8; _MARNM:4; PLAC:3,계림국대부인 김씨
돈,U+B3C8,HANGUL SYLLABLE DON,HANGUL,33,NAME:16; GIVN:14; _MARNM:3,돈
풍,U+D48D,HANGUL SYLLABLE PUNG,HANGUL,33,NAME:20; PLAC:11; _MARNM:1; NICK:1,1세 풍월주 위화랑
옥,U+C625,HANGUL SYLLABLE OG,HANGUL,33,NAME:16; GIVN:11; PLAC:4; _MARNM:2,김 옥 /위/
沔,U+6C94,CJK UNIFIED IDEOGRAPH-6C94,CJK,33,NAME:18; GIVN:12; NICK:2; OCCU:1,湖北沔陽莊 /陳/
滂,U+6EC2,CJK UNIFIED IDEOGRAPH-6EC2,CJK,33,NAME:19; GIVN:14,滂 /撫州臨川/
‌,U+200C,ZERO WIDTH NON-JOINER,ZERO,32,NAME:13; GIVN:13; TITL:5; NICK:1,علی‌ سجاد //
™,U+2122,TRADE MARK SIGN,TRADE,32,TITL:32,♾Gagaksipat®↑™
强,U+5F3A,CJK UNIFIED IDEOGRAPH-5F3A,CJK,32,NAME:18; GIVN:14,强餘 /Gui 媯/
ṣ,U+1E63,LATIN SMALL LETTER S WITH DOT BELOW,LATIN,32,NAME:12; GIVN:10; NICK:7; _MARNM:3,Šelomṣiyōn
״,U+05F4,HEBREW PUNCTUATION GERSHAYIM,HEBREW,32,NAME:17; NSFX:8; SURN:4; GIVN:3,"Shimon II haZaken /ben Gamliel/ President of the Sanhedrin, הי״ד"
筑,U+7B51,CJK UNIFIED IDEOGRAPH-7B51,CJK,32,NAME:14; _MARNM:5; GIVN:4; OCCU:3,羽柴筑前守
め,U+3081,HIRAGANA LETTER ME,HIRAGANA,32,NAME:18; GIVN:12; NICK:2,めここ
供,U+4F9B,CJK UNIFIED IDEOGRAPH-4F9B,CJK,32,NAME:19; GIVN:10; OCCU:3,御供衆
曽,U+66FD,CJK UNIFIED IDEOGRAPH-66FD,CJK,32,NAME:19; GIVN:6; _MARNM:4; SURN:3,大曽色別命
隼,U+96BC,CJK UNIFIED IDEOGRAPH-96BC,CJK,32,NAME:18; GIVN:10; OCCU:3; NICK:1,隼総別皇子
چ,U+0686,ARABIC LETTER TCHEH,ARABIC,32,NAME:14; GIVN:11; _MARNM:3; PLAC:1,"جزیره شاهی در دریاچه ارومیه یا قلعهٔ تلا در مراغه Maragheh, Azarbaijan"
遼,U+907C,CJK UNIFIED IDEOGRAPH-907C,CJK,32,NAME:19; SURN:9; GIVN:4,遼肅祖 耶律耨里思
瑚,U+745A,CJK UNIFIED IDEOGRAPH-745A,CJK,32,NAME:19; GIVN:13,"Hú 瑚 /Chén 陳/ 115, 74, 27"
癸,U+7678,CJK UNIFIED IDEOGRAPH-7678,CJK,32,NAME:16; GIVN:14; NICK:2,妣癸
愉,U+6109,CJK UNIFIED IDEOGRAPH-6109,CJK,32,NAME:17; GIVN:15,愉 /河南洛陽/
마,U+B9C8,HANGUL SYLLABLE MA,HANGUL,32,NAME:20; GIVN:8; PLAC:4,원순종 다르마발라
愚,U+611A,CJK UNIFIED IDEOGRAPH-611A,CJK,32,NAME:18; GIVN:11; NICK:3,愚門 /織田/
頌,U+980C,CJK UNIFIED IDEOGRAPH-980C,CJK,32,NAME:18; GIVN:10; OCCU:4,頌子
瓜,U+74DC,CJK UNIFIED IDEOGRAPH-74DC,CJK,32,NAME:16; SURN:14; GIVN:2,蘭 /瓜爾佳/
胄,U+80C4,CJK UNIFIED IDEOGRAPH-80C4,CJK,32,NAME:18; GIVN:14,Hóng Zhòu 宏胄 /Zhāng 張/
冑,U+5191,CJK UNIFIED IDEOGRAPH-5191,CJK,32,NAME:19; GIVN:13,子冑 /張/
暐,U+6690,CJK UNIFIED IDEOGRAPH-6690,CJK,32,NAME:18; GIVN:14,暐 景茂 /慕容/
瑕,U+7455,CJK UNIFIED IDEOGRAPH-7455,CJK,32,NAME:19; GIVN:13,瑕 /姬姓/
亶,U+4EB6,CJK UNIFIED IDEOGRAPH-4EB6,CJK,32,NAME:17; GIVN:12; NICK:3,Gǔ Gōng Dǎn Fù 古公亶父 /Jī 姬/
揆,U+63C6,CJK UNIFIED IDEOGRAPH-63C6,CJK,32,NAME:18; GIVN:14,毓揆 /曾/
寀,U+5BC0,CJK UNIFIED IDEOGRAPH-5BC0,CJK,32,NAME:18; GIVN:14,衍寀 /湖南湘鄉/
崗,U+5D17,CJK UNIFIED IDEOGRAPH-5D17,CJK,32,NAME:17; GIVN:12; PLAC:3,崗公 /Tan 陳/
調,U+8ABF,CJK UNIFIED IDEOGRAPH-8ABF,CJK,32,NAME:18; GIVN:13; NICK:1,調公 /Tan 陳/
浙,U+6D59,CJK UNIFIED IDEOGRAPH-6D59,CJK,32,NAME:19; GIVN:12; OCCU:1,"陳子提 (浙江),118, 110, 77, 30, 17"
叱,U+53F1,CJK UNIFIED IDEOGRAPH-53F1,CJK,32,NAME:16; SURN:9; _MARNM:5; GIVN:2,/叱奴/
歆,U+6B46,CJK UNIFIED IDEOGRAPH-6B46,CJK,32,NAME:18; GIVN:14,歆 叔道 /譙國龍亢/
반,U+BC18,HANGUL SYLLABLE BAN,HANGUL,32,NAME:18; GIVN:9; SURN:3; _MARNM:2,반
봉,U+BD09,HANGUL SYLLABLE BONG,HANGUL,32,PLAC:16; NAME:9; SURN:4; GIVN:3,고구려 14대 봉상왕
임,U+C784,HANGUL SYLLABLE IM,HANGUL,32,NAME:18; SURN:11; GIVN:3,임 /임/
湜,U+6E5C,CJK UNIFIED IDEOGRAPH-6E5C,CJK,32,NAME:18; GIVN:12; NICK:2,湜 正叔 /平江崑山/
欒,U+6B12,CJK UNIFIED IDEOGRAPH-6B12,CJK,32,NAME:16; SURN:16,份 /趙州欒城/
緱,U+7DF1,CJK UNIFIED IDEOGRAPH-7DF1,CJK,32,NAME:16; SURN:16,論 /河南緱氏/
颗,U+9897,CJK UNIFIED IDEOGRAPH-9897,CJK,32,NAME:16; GIVN:16,": Soo Pang (屿房)(5)颗馒等公家谱(槟城) /141, 129, 76, 72, 37, 16世/"
馒,U+9992,CJK UNIFIED IDEOGRAPH-9992,CJK,32,NAME:16; GIVN:16,": Soo Pang (屿房)(5)颗馒等公家谱(槟城) /141, 129, 76, 72, 37, 16世/"
槟,U+69DF,CJK UNIFIED IDEOGRAPH-69DF,CJK,32,NAME:16; GIVN:16,": Soo Pang (屿房)(5)颗馒等公家谱(槟城) /141, 129, 76, 72, 37, 16世/"
黨,U+9EE8,CJK UNIFIED IDEOGRAPH-9EE8,CJK,31,NAME:16; GIVN:10; SURN:3; _MARNM:1,伯黨 /京兆萬年/
Ρ,U+03A1,GREEK CAPITAL LETTER RHO,GREEK,31,TITL:12; NAME:9; GIVN:4; NSFX:3,Ανδρόνικος Δ´ /Παλαιολόγος/ Αυτοκράτορας των Ρωμαίων
陆,U+9646,CJK UNIFIED IDEOGRAPH-9646,CJK,31,NAME:18; GIVN:8; SURN:3; _MARNM:1,南陆 /黃/
柄,U+67C4,CJK UNIFIED IDEOGRAPH-67C4,CJK,31,NAME:18; GIVN:12; NICK:1,霸柄 /陳/
隠,U+96A0,CJK UNIFIED IDEOGRAPH-96A0,CJK,31,OCCU:12; NAME:12; GIVN:3; _MARNM:2,正五位上隠岐守
視,U+8996,CJK UNIFIED IDEOGRAPH-8996,CJK,31,NAME:20; GIVN:10; NICK:1,義視 /足利/
陛,U+965B,CJK UNIFIED IDEOGRAPH-965B,CJK,31,NAME:17; NSFX:7; GIVN:6; OCCU:1,美智子 /正田/ 陛下
杼,U+677C,CJK UNIFIED IDEOGRAPH-677C,CJK,31,NAME:17; GIVN:12; NICK:2,袁本杼命
冶,U+51B6,CJK UNIFIED IDEOGRAPH-51B6,CJK,31,NAME:16; _MARNM:5; SURN:5; GIVN:3,興久 /塩冶/
寮,U+5BEE,CJK UNIFIED IDEOGRAPH-5BEE,CJK,31,NAME:18; GIVN:10; OCCU:2; NICK:1,禰津御寮人 /武田/
壱,U+58F1,CJK UNIFIED IDEOGRAPH-58F1,CJK,31,NAME:20; GIVN:10; OCCU:1,壱志
կ,U+056F,ARMENIAN SMALL LETTER KEN,ARMENIAN,31,NAME:16; GIVN:13; SURN:1; NSFX:1,Արտավազդ Երկրորդ
ե,U+0565,ARMENIAN SMALL LETTER ECH,ARMENIAN,31,NAME:18; GIVN:12; NICK:1,Սբ. Վրթանես Ա. Պարթև
ǜ,U+01DC,LATIN SMALL LETTER U WITH DIAERESIS AND GRAVE,LATIN,31,NAME:17; SURN:7; _MARNM:6; GIVN:1,? /耶律 (Yélǜ) Елюй/
张,U+5F20,CJK UNIFIED IDEOGRAPH-5F20,CJK,31,NAME:18; _MARNM:5; SURN:4; GIVN:4,/张/
嚳,U+56B3,CJK UNIFIED IDEOGRAPH-56B3,CJK,31,NAME:16; GIVN:10; NICK:3; TITL:2,嚳 /高辛氏/
殊,U+6B8A,CJK UNIFIED IDEOGRAPH-6B8A,CJK,31,NAME:16; GIVN:14; PLAC:1,清殊院 /本多/
樺,U+6A3A,CJK UNIFIED IDEOGRAPH-6A3A,CJK,31,NAME:18; GIVN:10; _MARNM:3,広久 /樺山/
鰭,U+9C2D,CJK UNIFIED IDEOGRAPH-9C2D,CJK,31,NAME:18; _MARNM:5; SURN:5; OCCU:3,河鰭実文妻
琢,U+7422,CJK UNIFIED IDEOGRAPH-7422,CJK,31,NAME:18; GIVN:12; NICK:1,琢如 /九条/
赵,U+8D75,CJK UNIFIED IDEOGRAPH-8D75,CJK,31,NAME:17; GIVN:8; _MARNM:4; SURN:2,林皋(周显王时任赵相) /第15世长林衍派/
舊,U+820A,CJK UNIFIED IDEOGRAPH-820A,CJK,31,NAME:17; GIVN:13; _MARNM:1,Yōng Jiù /HUANG 黄雍舊 92A/
朋,U+670B,CJK UNIFIED IDEOGRAPH-670B,CJK,31,NAME:16; GIVN:13; OCCU:1; NICK:1,信朋養女 /内藤/
仔,U+4ED4,CJK UNIFIED IDEOGRAPH-4ED4,CJK,31,NAME:18; GIVN:13,仔肩 /曾/
聘,U+8058,CJK UNIFIED IDEOGRAPH-8058,CJK,31,NAME:18; GIVN:12; NICK:1,聞聘 /曾/
ི,U+0F72,TIBETAN VOWEL SIGN I,TIBETAN,31,NAME:21; GIVN:9; NSFX:1,Mongsa Chinjam / མོང་བཟའ་ཁྲི་ལནྕམ།
阮,U+962E,CJK UNIFIED IDEOGRAPH-962E,CJK,31,NAME:13; _MARNM:11; SURN:5; GIVN:2,Ruǎn /阮氏/
詧,U+8A67,CJK UNIFIED IDEOGRAPH-8A67,CJK,31,NAME:17; GIVN:14,詧 理孫 /南蘭陵/
징,U+C9D5,HANGUL SYLLABLE JING,HANGUL,31,NAME:16; GIVN:13; _MARNM:2,우징 /김/
설,U+C124,HANGUL SYLLABLE SEOL,HANGUL,31,NAME:17; GIVN:8; SURN:6,설 /설/
黯,U+9EEF,CJK UNIFIED IDEOGRAPH-9EEF,CJK,30,NAME:17; GIVN:12; NICK:1,黯 /陳/
Υ,U+03A5,GREEK CAPITAL LETTER UPSILON,GREEK,30,TITL:28; NICK:2,Αγία Υπομονή
カ,U+30AB,KATAKANA LETTER KA,KATAKANA,30,NAME:13; GIVN:12; NICK:4; NSFX:1,テムジンジンギスカン //
维,U+7EF4,CJK UNIFIED IDEOGRAPH-7EF4,CJK,30,TITL:12; NAME:11; GIVN:7,陳维新 /Chan/
