token	ja	ja_count	zh	zh_count
Miccichè	ミッチケ	2		0
Micha		0	米查	2
Michael	マイケル	330	迈克尔	202
Michaela	ミカエラ	4	米凯拉	2
Michaelis	ミカエリス	3		0
Michaels	マイケルズ	9	迈克尔斯	6
Michaelson	マイケルソン	2		0
Michail		0	米哈伊尔	3
Michal	ミハル	4	迈克尔	3
Michalka	ミシェルカ	3		0
Michał	ミハウ	26	米哈乌	10
Michałowski	ミハウォフスキ	2		0
Michel	ミシェル	75	米歇尔	48
Michela		0	米凯拉	2
Michelangelo	ミケランジェロ	6	米开朗基罗	2
Michele	ミケーレ	27	米歇尔	13
Michelet		0	米什莱	2
Micheli	ミケーリ	2		0
Michelin	ミシュラン	3	米什兰	2
Micheline	ミシュリーヌ	3	米舍利娜	2
Michelis		0	米凯利斯	2
Michell	ミッチェル	4	米切尔	2
Michelle	ミシェル	26	米歇尔	21
Michels		0	米歇尔斯	2
Michelsen	ミケルセン	3	米切尔森	3
Micheál	マイケル	2		0
Michie		0	米奇	2
Michiel	ミヒール	3	米希尔	2
Michnikowski		0	米赫尼科夫斯基	2
Michy		0	米奇	2
Michèle	ミシェル	2	米歇尔	2
Mick	ミック	8	米克	5
Micke	ミッケ	2		0
Mickel	ミッケル	2		0
Mickey	ミッキー	17	米奇	7
Mickie	ミッキー	2		0
Micky	ミッキー	6	米奇	3
Mico		0	米科	2
Micol		0	米科尔	2
Middlecott	ミドルコット	2		0
Middleton	ミドルトン	14	米德尔顿	4
Midge	ミッジ	2		0
Mieczysław	ミェチスワフ	5	米奇斯瓦夫	2
Miehe		0	米克	2
Mieli		0	米利	3
Miep	ミープ	2	梅普	2
Miers	マイヤーズ	2		0
Mies	ミエス	2		0
Mifflin	ミフリン	3		0
Miftah		0	米夫塔赫	2
Migliacci		0	米利亚卡奇	2
Mignon	ミニョン	4	米扬	2
Mignonette	ミニョネット	2		0
Miguel	ミゲル	48	米格尔	40
Miguela	ミゲラ	2		0
Miha		0	米哈	3
Mihaela		0	米哈埃拉	2
Mihai	ミハイ	3	米哈伊	3
Mihail		0	米哈伊尔	5
Mihailo	ミハイロ	2		0
Mihara		0	三原	2
Mihkel		0	米克尔	2
Mihnea	ミフネア	3		0
Miho	美保	2		0
Mihály	ミハーイ	2	米哈伊	2
Miika	ミーカ	2	米卡	2
Miina	ミーナ	2		0
Miisa		0	米萨	2
Mijatović		0	米亚托维奇	2
Mika	ミカ	13	米卡	9
Mikael	ミカエル	4		0
Mikail	ミカイル	2		0
Mikalojus		0	米卡洛尤斯	2
Mikan		0	迈肯	3
Mike	マイク	82	迈克	36
Mikel	ミケル	4	米克尔	3
Mikey	マイキー	4	米奇	3
Mikhail	ミハイル	90	米哈伊尔	41
Mikhailova		0	米哈伊洛娃	2
Mikhailovich	ミハイロヴィチ	4	米哈伊洛维奇	6
Mikhalkov	ミハルコフ	4	米哈尔科夫	5
Mikhalkova	ミハルコワ	2	米哈尔科娃	3
Mikhaylovich	ミハイロヴィチ	5	米哈伊洛维奇	3
Miki	美貴	2	三木	2
Mikis	ミキス	2	米基斯	2
Mikita		0	米基塔	2
Mikk	ミック	3	米克	3
Mikke	ミッケ	2		0
Mikkel	ミッケル	3		0
Mikkelsen	ミケルセン	4	米科尔森	3
Mikko	ミッコ	5	米科	6
Mikkola	ミッコラ	2	米科拉	2
Miklos	ミクロス	2		0
Miklós	ミクローシュ	3	米克洛什	3
Miko	ミコ	3	米科	2
Mikola	ミコラ	2	米科拉	2
Mikoyan	ミコヤン	3	米高扬	3
Mikołaj	ミコワイ	19	米科瓦伊	6
Mikuláš	ミクラーシュ	2	米库拉什	2
Mila	ミラ	5	米拉	4
Milad		0	米拉德	2
Milada	ミラダ	2		0
Milan	ミラン	9	米兰	11
Milana	ミラーナ	2	米拉纳	2
Milani	ミラーニ	6		0
Milano	ミラノ	2		0
Milanov		0	米拉诺夫	2
Milans		0	米兰斯	2
Milazzo		0	米拉佐	2
Milbank	ミルバンク	2		0
Milbanke	ミルバンク	2		0
Milborne		0	米尔伯恩	3
Milburn	ミルバーン	4		0
Milch	ミルヒ	3		0
Milchan	ミルチャン	2		0
Milda	ミルダ	2		0
Mildmay	マイルドメイ	18	米尔德梅	3
Mildred	ミルドレッド	15	米尔德里德	8
Mile	ミレ	2		0
Milena	ミレナ	4	米莱娜	3
Miles	マイルズ	31	迈尔斯	12
Milestone		0	迈尔斯通	2
Mileta	ミレタ	2		0
Mileva	ミレヴァ	2		0
Miley		0	麦莉	2
Milford	ミルフォード	2	米尔福德	2
Milhaud	ミヨー	2		0
Milhous	ミルハウス	2		0
Milia	ミリア	2		0
Milian	ミリアン	2		0
Miliband	ミリバンド	4	米利班德	4
Milicent	ミリセント	3		0
Milinaire	ミリネア	3		0
Milka	ミルカ	3	米尔卡	2
Milko	ミルコ	3		0
Mill	ミル	6	密尔	2
Milla	ミラ	2	米拉	3
Millaire		0	米莱尔	2
Millais	ミレー	3		0
Millar	ミラー	3	米勒	2
Millard	ミラード	13	米勒德	5
Mille		0	米勒	4
Milledge	ミレッジ	3		0
Millepied	ミルピエ	2	米派德	2
Miller	ミラー	103	米勒	63
Millerand		0	米勒兰	2
Milles	ミレス	2		0
Millet	ミレー	2	米勒	3
Millett	ミレット	3		0
Milley	ミリー	2		0
Millicent	ミリセント	5		0
Millie	ミリー	5	米莉	2
Milligan	ミリガン	4		0
Millikan	ミリカン	3	密立根	5
Milliken	ミリケン	2		0
Millikin	ミリキン	2		0
Milling		0	米林	2
Millington	ミリントン	2	米林顿	2
Million		0	米利安	2
Mills	ミルズ	31	米尔斯	14
Millson	ミルソン	2	米尔森	2
Milly	ミリー	4	米丽	2
Milman	ミルマン	2	米爾曼	3
Milne	ミルン	9	米恩	3
Milner	ミルナー	7	米尔纳	6
Milnes	ミルンズ	3		0
Milo	ミロ	7	米洛	4
Milone	ミローネ	2		0
Milorad	ミロラド	2	米洛拉德	2
Miloslav	ミロスラフ	3	米洛斯拉夫	2
Milosz	ミロシュ	2		0
Milovan	ミロヴァン	2		0
Miloš	ミロシュ	3	米洛什	5
Milošević		0	米洛舍维奇	2
Milt	ミルト	4	米爾特	2
Miltiades	ミルティアデス	3		0
Milton	ミルトン	30	米尔顿	15
Miluše		0	缪尔斯	2
Milyutin	ミリューチン	3		0
Milà		0	米拉	3
Milá		0	米拉	2
Milán		0	米兰	2
Mimar	ミマール	2		0
Mimi	ミミ	11	米米	5
Mimmi	ミンミ	2		0
Mimmo		0	米莫	2
Mimms	ミムズ	2		0
Min	ミン	8	민	2
Mina	ミナ	11	米娜	6
Minaj		0	米娜	2
Minami	南	2		0
Minardi	ミナルディ	2		0
Minchin	ミンチン	3		0
Minda	ミンダ	2		0
Mindy	ミンディ	3		0
Miner	マイナー	6	敏纳	2
Minerva	ミネルヴァ	2		0
Minetti	ミネッティ	3		0
Ming	ミン	5	明	3
Minghella	ミンゲラ	3	明格拉	2
Mingo	ミンゴ	2		0
Mingrui	明瑞	2	明瑞	3
Mingus	ミンガス	3	明格斯	2
Mingzhi		0	明志	2
Minh	ミン	3		0
Mini	ミニ	3		0
Mink	ミンク	2		0
Minkowski	ミンコフスキー	5	闵可夫斯基	3
Minkus	ミンクス	3	明库斯	2
Minna	ミンナ	6	明娜	3
Minnelli	ミネリ	2	明内利	2
Minnie	ミニー	14	米妮	4
Mino	ミーノ	3		0
Minogue	ミノーグ	3	米诺格	3
Minor	マイナー	4	米諾	2
Minos		0	米诺斯	2
Minot	マイノット	4	迈诺特	2
Minou		0	米努	2
Minsky		0	闵斯基	2
Minter	ミンター	3		0
Minturn	ミンターン	5		0
Minucci	ミニッツィ	2	米努奇	2
Mio		0	米奥	2
Miodrag		0	米奥德拉格	2
Miou	ミュウ	2		0
Miquel	ミケル	3	米克尔	4
Mira	ミラ	3	米拉	7
Mirabal	ミラバル	2		0
Mirabeau	ミラボー	2		0
Mirabella	ミラベッラ	2		0
Miranda	ミランダ	16	米兰达	9
Miravete		0	米拉维特	2
Mircea	ミルチャ	3	米尔恰	2
Mireille	ミレイユ	3	米蕾叶	2
Mirek		0	米雷克	2
Miremont		0	米尔蒙特	2
Mirga		0	米尔加	2
Miriam	ミリアム	20	米瑞安	2
Mirian	ミリアン	2		0
Miriani	ミリアーニ	2		0
Mirisch		0	米里施	2
Mirja		0	米哈	2
Mirjana	ミリャナ	2		0
Mirka	ミルカ	2	米尔卡	3
Mirko	ミルコ	4	米爾科	3
Mirna		0	米尔娜	2
Miro	ミロ	3	米罗	2
Miron	ミロン	5	米龙	2
Miroslav	ミロスラヴ	4	米罗斯拉夫	4
Miroslava	ミロスラヴァ	2		0
Mirosław	ミロスワフ	2	米罗斯瓦夫	2
Mirra	ミラ	4	米拉	4
Mirren		0	米伦	2
Mirrielees	ミリリーズ	3		0
Mirrlees	マーリーズ	3		0
Mirta		0	米尔塔	2
Mirza	ミールザー	17	米尔扎	8
Misaki	岬	2		0
Misato	美郷	2		0
Mischa	ミーシャ	2	米沙	3
Mises	ミーゼス	2	米塞斯	2
Misha		0	米沙	2
Mishra	ミシュラ	2		0
Missoni		0	米索尼	2
Missy	ミッシー	3	米西	2
Mistral	ミストラル	2	米斯特拉尔	2
Mistry	ミストリー	2		0
Mistrík	ミストリーク	2		0
Mitch	ミッチ	8	米奇	6
Mitchel	ミッチェル	9	米切尔	3
Mitchell	ミッチェル	52	米切尔	28
Mitchison	ミチスン	2	密契森	6
Mitchum	ミッチャム	7	米彻姆	6
Mitford	ミットフォード	8	米特福德	3
Mitis		0	米蒂斯	2
Mitja		0	米蒂亚	2
Mito	ミト	2		0
Mitra	ミトラ	3		0
Mitre	ミトレ	2		0
Mitscherlich	ミッチェルリヒ	2	米切利希	2
Mitsos	ミトソス	3		0
Mitsotakis	ミツォタキス	3	米佐塔基斯	6
Mitsou	ミツ	2		0
Mitsuboshi		0	三星	2
Mitsui		0	三井	3
Mitsuki	美月	2		0
Mitsumura		0	三村	2
Mitt	ミット	2		0
Mittermaier		0	密特迈尔	3
Mitterrand	ミッテラン	4	密特朗	5
Mitzi	ミッツィ	2		0
Miura	ミウラ	3	缪拉	2
Miwa	みわ	2		0
Mix	ミックス	2		0
Miyabi	雅	2		0
Miyagi		0	宮城	2
Miyazato		0	宮里	2
Mizrahi	ミズラヒ	2		0
Mizuki	水城	2	水月	2
Mizuta	水田	2	水田	2
Mizutani		0	水谷	2
Miéville	ミエヴィル	2		0
Miłosz		0	米沃什	3
Mladen		0	姆拉登	2
Mladenov		0	姆拉德诺夫	2
Mnouchkine	ムヌーシュキン	2	莫虛金	2
Mnuchin	ムニューシン	3		0
Mo	モー	2	莫	5
Moa	モア	2		0
Moakler		0	莫克勒	2
Moan		0	莫恩	2
Moberg		0	莫伯格	2
Moberly	モーバリー	2		0
Mockenhaupt	モッケンハウプト	2		0
Moctezuma		0	蒙特苏马	3
Model	モーデル	2		0
Modena	モデナ	2		0
Modersohn	モーダーゾーン	2	莫德松	2
Modest	モデスト	4	莫杰斯特	2
Modesto		0	莫德斯托	2
Modi	モディ	2	莫迪	2
Modiano	モディアノ	3	莫迪亚诺	2
Modigliani	モディリアーニ	4		0
Modine		0	莫迪恩	3
Modrić	モドリッチ	2		0
Modugno	モドゥーニョ	2	莫杜尼奥	2
Modzelewski	モゼレフスキ	2		0
Moe	モー	7	莫伊	2
Moeller		0	莫勒	3
Moen	モーエン	2		0
Moench	メンヒ	2		0
Moffat	モファット	6	莫法特	5
Moffett	モフェット	4	莫菲特	2
Mogens	モーエンス	2	莫根斯	2
Mogensen	モーエンセン	2		0
Mogg		0	莫格	3
Mogilevsky	モギレフスキー	2		0
Mohamad	モハマド	2	莫哈末	3
Mohamed	モハメド	6	穆罕默德	5
Mohammad	ムハンマド	7	穆罕默德	9
Mohammadi	モハンマーディ	2	穆罕默迪	2
Mohammed	ムハンマド	18	穆罕默德	4
Mohan	モハン	5	莫汉	3
Mohand		0	莫汉德	2
Mohanlal		0	莫汉尔	2
Mohl	モール	3	莫尔	2
Mohn	モーン	2		0
Mohnish	モニシュ	2		0
Moholy	モホリ	2		0
Mohorovičić	モホロビチッチ	2		0
Mohr	モーア	3	莫尔	3
Mohri	モーリ	2		0
Moira	モイラ	6	莫伊拉	2
Moisei	モイセイ	2		0
Moises		0	莫伊塞斯	2
Moishe	モイシェ	2		0
Moje		0	莫杰	2
Mokiejewski		0	莫基耶夫斯基	2
Mokronowski		0	莫克罗诺夫斯基	2
Mol	モル	3	摩尔	3
Mola	モラ	3		0
Molesworth	モールズワース	28	莫尔斯沃思	4
Moli	モリ	2		0
Molina	モリーナ	9	莫利纳	4
Molinari	モリナーリ	3	莫利纳里	3
Molinié		0	莫利涅	2
Moll	モル	4	莫尔	2
Moller	モラー	2	莫勒	2
Mollie	モリー	3		0
Mollo	モロ	2		0
Molloy	モロイ	2		0
Molly	モリー	12	莫莉	10
Molson	モルソン	2	莫爾森	3
Moltke	モルトケ	20	莫尔特克	5
Molvig		0	莫维格	2
Molwynog	モルゥイノグ	2		0
Molyneux	モリニュー	4	莫利纽克斯	2
Mommsen	モムゼン	4	莫姆森	2
Momo	モモ	2		0
Momoa		0	莫玛	3
Momsen	モンセン	2		0
Mon	モン	2		0
Mona	モナ	13	莫娜	7
Monaco	モナコ	7	摩纳哥	2
Monagas	モナガス	2	莫納加斯	2
Monaghan	モナハン	2	莫纳汉	2
Monash		0	莫纳什	3
Moncada	モンカダ	5	蒙卡达	2
Monck	マンク	2		0
Monckton	モンクトン	25	蒙克顿	3
Moncure	モンキュア	2		0
Mond	モンド	3	蒙德	2
Mondadori	モンダドーリ	5	蒙达多里	2
Mondaini		0	蒙达尼	2
Mondale	モンデール	4	蒙代尔	3
Mondo	モンド	2		0
Mondragón		0	蒙德拉贡	2
Monem		0	莫内姆	2
Monet	モネ	5	莫奈	3
Moneta	モネータ	2		0
Money	マニー	8	莫尼	12
Monia		0	莫尼亚	2
Monica	モニカ	17	莫妮卡	14
Monicelli	モニチェッリ	3	莫尼切利	4
Monier	モニエル	2		0
Monika	モニカ	2	莫妮卡	2
Monique	モニーク	5	莫妮克	6
Moniz	モニツ	3	莫尼兹	2
Monk	モンク	3		0
Monnier	モニエ	3		0
Monod	モノ	3	莫诺	3
Monrad		0	蒙拉德	3
Monro	モンロー	6	门罗	2
Monroe	モンロー	14	门罗	8
Mons	モンス	2		0
Monson	モンソン	4		0
Monssen		0	蒙森	2
Mont		0	蒙特	2
Montagne		0	蒙塔涅	3
Montagnier	モンタニエ	5		0
Montagu	モンタギュー	47	蒙塔古	26
Montague	モンタギュー	17	蒙塔古	6
Montalbán	モンタルバン	3		0
Montaldo	モンタルド	2		0
Montalto	モンタルト	2		0
Montalvo		0	蒙塔尔沃	2
Montan	モンタン	2		0
Montana	モンタナ	2	蒙塔纳	3
Montanelli	モンタネッリ	2		0
Montano		0	蒙塔诺	5
Montbret	モンブレ	2		0
Monte	モンテ	9	蒙特	4
Montealegre		0	蒙特阿萊格雷	2
Montefeltro	モンテフェルトロ	6	蒙特費爾特羅	8
Monteiro	モンテイロ	2	蒙泰罗	3
Monteith	モンティース	3		0
Montelius	モンテリウス	2	蒙特利乌斯	2
Montell	モンテル	2		0
Montelongo		0	蒙特隆戈	2
Montenegro	モンテネグロ	5		0
Montenuovo	モンテヌーヴォ	2		0
Monterey	モントレー	2		0
Montero	モンテロ	3	蒙特罗	4
Monteros	モンテロス	2		0
Montesquieu		0	孟德斯鸠	2
Montesquiou	モンテスキュー	5	孟德斯鸠	3
Monteux	モントゥー	2		0
Monteverdi	モンテヴェルディ	3		0
Montez	モンテス	3	蒙特兹	4
Montezemolo		0	蒙特泽莫罗	2
Montferrat	モンフェラート	5		0
Montfort	モンフォール	5		0
Montgomerie	モンゴメリー	29		0
Montgomery	モンゴメリー	40	蒙哥马利	18
Montholon	モントロン	2		0
Monti	モンティ	7	蒙蒂	4
Montigny		0	蒙蒂尼	3
Montmorency	モンモランシー	6	蒙莫朗西	8
Montolivo		0	蒙托利沃	2
Montour	モントゥアー	3		0
Montoya	モントーヤ	3		0
Montserrat	モンセラート	5	蒙特塞拉特	3
Montt	モント	4	蒙特	2
Monty	モンティ	5	蒙蒂	5
Monvel	モンヴェル	2		0
Mony		0	莫尼	2
Monzón	モンソン	2		0
Moody	ムーディー	7	穆迪	8
Moog	モーグ	2		0
Moon	ムーン	10	穆恩	6
Mooney	ムーニー	3	穆尼	2
Moore	ムーア	100	摩爾	28
Moorehead	ムーアヘッド	2		0
Moorer		0	穆勒	2
Moorsom	ムーサム	3	莫森	3
Moose	ムース	2	穆斯	3
Mora	モーラ	3	莫拉	7
Moraczewski	モラチェフスキ	3		0
Moraes	モラエス	3	莫赖斯	3
Moraga		0	莫拉加	2
Morais	モライス	2		0
Morales	モラレス	9	莫拉莱斯	13
Moran	モラン	13	莫蘭	7
Morand		0	毛杭	2
Morandi	モランディ	3	莫兰迪	3
Morange	モランジュ	2		0
Morante	モランテ	3	莫兰特	2
Moratti	モラッティ	2	莫拉蒂	2
Morawiecki	モラヴィエツキ	3	莫拉维茨基	2
Moray		0	马里	2
Mordaunt	モーダント	4		0
Mordecai	モルデカイ	5	末底改	2
Mordechai	モルデハイ	3	莫迪凯	3
More	モア	7	莫尔	15
Moreau	モロー	6	莫罗	5
Morehead	モアヘッド	4	莫尔黑德	4
Morehouse	モアハウス	2		0
Morein	モレイン	2		0
Moreira	モレイラ	3	莫雷拉	9
Morell	モレル	3	莫雷尔	2
Morella	モレッラ	2		0
Morelli	モレッリ	2	莫雷利	2
Morello	モレロ	2	莫雷洛	2
Morena		0	莫雷纳	4
Moreno	モレノ	6	莫雷诺	9
Morera	モレラ	2	莫雷拉	2
Moresby		0	莫尔兹比	2
Moreschi	モレスキ	2		0
Moret		0	莫雷特	2
Moreton	モートン	2		0
Moretti	モレッティ	6	莫雷蒂	7
Morey	モーリー	2		0
Morgado		0	莫尔加多	2
Morgan	モーガン	63	摩根	51
Morgane		0	摩尔加恩	2
Morgans	モーガンズ	4		0
Morgenstern	モルゲンシュテルン	5	莫根施特恩	3
Morgenthau	モーゲンソウ	3	摩根索	2
Mori	モリ	2	莫里	2
Moriarty	モリアーティ	2	莫里亚蒂	3
Morice	モーリス	2	莫里斯	2
Morikawa		0	森川	2
Morillo	モリーヨ	2	莫里略	2
Morimoto		0	森本	2
Morin	モラン	2		0
Morison	モリソン	7	莫里森	4
Morisot	モリゾ	3	莫里索	3
Morissette	モリセット	3		0
Morita	モリタ	2		0
Moritz	モーリッツ	28	莫里茨	13
Moriz		0	莫里兹	2
Morizet	モリゼ	5	莫里泽	4
Morland	モーランド	5		0
Morley	モーリー	10	莫利	6
Morny	モルニー	2		0
Moro	モーロ	3	莫罗	3
Morocco	ムハンマド	2		0
Moroni	モローニ	2		0
Moros	モロス	2		0
Moroz		0	莫罗兹	3
Morozov	モロゾフ	4	莫罗佐夫	5
Morozova	モロゾワ	2	莫罗佐娃	5
Morpurgo	モーパーゴ	3		0
Morrell	モレル	3		0
Morres	モレス	2		0
Morricone	モリコーネ	3	莫里科内	2
Morrill	モリル	3	莫瑞爾	2
Morris	モリス	56	莫里斯	37
Morrish		0	莫里什	2
Morrison	モリソン	24	莫里森	13
Morrissey	モリシー	2	莫里西	3
Morrow	モロー	8	莫罗	5
Morse	モース	11	莫尔斯	6
Morsi	ムルシー	2		0
Morsztyn	モルシュティン	2		0
Mort	モート	7	莫特	4
Mortara	モルターラ	3		0
Mortemart	モルトマール	2	莫特马尔	2
Morten	モーテン	2	莫滕	6
Mortensen	モーテンセン	3		0
Mortimer	モーティマー	19	莫蒂默	9
Morton	モートン	37	莫顿	13
Morvillo	モルヴィッロ	2		0
Mory	モーリー	2		0
Morán	モラン	2	莫兰	2
Mosby		0	莫斯比	2
Moscati	モスカーティ	2		0
Moscheles	モシェレス	2		0
Moseholm		0	莫斯霍尔姆	2
Moseley	モーズリー	5	莫斯利	3
Moser	モーザー	9	莫泽	3
Moses	モーゼス	25	摩西	22
Moshe	モーシェ	7	摩西	12
Mosheim	モースハイム	2		0
Moshé	モーシェ	2		0
Moskovitz		0	莫斯科维茨	2
Moskowitz		0	莫斯科维茨	2
Mosley	モズレー	9	莫斯利	6
Mosquera	モスケラ	2		0
Moss	モス	10	莫斯	6
Mosse	モッセ	2	莫賽	2
Mossell		0	莫塞尔	2
Mossy		0	莫西	3
Most	モスト	3	莫斯特	2
Mostafa	モスタファ	2		0
Mostel	モステル	2		0
Mosti	モスティ	3		0
Mostyn	モスティン	9		0
Moszkowicz	モスコヴィッツ	2	莫什科维奇	2
Moszkowski	モシュコフスキ	2		0
Moszyński	モシンスキ	3		0
Mothe	モート	2		0
Mothersbaugh	マザーズボー	4		0
Motherwell		0	马瑟韦尔	2
Motley	モトリー	2	莫特利	2
Motohiro	もとひろ	2		0
Motoki		0	本木	2
Mott	モット	8	莫特	4
Motta	モッタ	4	莫塔	2
Motte	モット	5		0
Mottelson	モッテルソン	2		0
Mottola		0	莫托拉	3
Mou		0	Mou	2
Mouat	ムアット	2		0
Moulton	モールトン	5		0
Mounir		0	穆尼尔	2
Mount	マウント	4		0
Mountain	マウンテン	2		0
Mountbatten	マウントバッテン	8	蒙巴頓	4
Mountfort		0	芒福特	2
Mountstuart	マウントステュアート	2		0
Moura		0	莫拉	2
Mourousi	ムルーシ	2	穆鲁西	3
Moussa		0	穆萨	2
Moustakas		0	穆斯塔卡斯	2
Moustapha		0	穆斯塔法	2
Mouton	ムートン	3		0
Movilă	モヴィリャ	2	莫维勒	4
Movsisyan		0	莫夫西相	2
Mowry		0	莫瑞	2
Moya	モヤ	2		0
Moyal	モヤル	2		0
Moyer	モイヤー	3	莫耶	3
Moylan		0	莫伊伦	2
Moyle		0	莫伊尔	2
Moyne	モワン	2		0
Moynihan	モイニハン	5	莫伊尼汉	4
Moyse	モイーズ	2		0
Moyses	モイセス	2		0
Mozart	モーツァルト	10	莫扎特	6
Mozes	モーゼス	3		0
Mozzi		0	莫齐	3
Moïse		0	莫伊兹	2
Mpho		0	姆福	2
Mrnjavčević		0	姆尔尼亚夫切维奇	2
Mstislav	ムスチスラフ	10	姆斯季斯拉夫	3
Mstislavich	ムスチスラヴィチ	8	姆斯季斯拉维奇	4
Mu	木	2	木	2
Muammar		0	穆阿迈尔	2
Mubarak	ムバラク	2	穆巴拉克	2
Muccino	ムッチーノ	2	穆奇诺	4
Mucha	ミュシャ	3		0
Mucius	ムキウス	4	穆修斯	4
Muckleroy	マックルロイ	2		0
Mudge	マッジ	3		0
Mueller	ミュラー	3	米勒	3
Mugabe	ムガベ	3	穆加贝	2
Mugica		0	穆希卡	3
Muhammad	ムハンマド	31	穆罕默德	30
Muhammed		0	穆罕默德	2
Muhlenberg	ミューレンバーグ	2	米伦伯格	2
Muhsin	ムフシン	5	穆赫辛	2
Muikku		0	穆伊库	2
Muir	ミュア	4	缪尔	5
Muirhead	ミュアヘッド	6	缪尔黑德	2
Mujica	ムヒカ	2	穆希卡	2
Mukerji		0	穆科吉	2
Mukherjee	ムカルジー	4		0
Mukhraneli	ムフラネリ	2		0
Mulay	ムーレイ	2		0
Muldaur	マルダー	3		0
Mulder		0	穆尔德	2
Muldoon		0	马尔登	2
Mulford	マルフォード	2		0
Mulhall	マルホール	2		0
Mull	マル	2		0
Mullen	ミューレン	2	马伦	2
Mullens	マレンズ	3		0
Muller		0	穆勒	5
Mulligan	マリガン	7	马利根	3
Mullins	マリンズ	3		0
Mulready	マルレディ	2		0
Mulroney	マルルーニー	3	馬爾羅尼	2
Mumford	マンフォード	4	芒福德	3
Mumy	マミー	3	穆米	2
Munari	ムナーリ	2		0
Muncey	マンシー	2		0
Munch	ムンク	6	蒙克	4
Munda	ムンダ	2		0
Mundell	マンデル	3	芒德尔	2
Mundt	ムント	2		0
Mundy	マンディ	6		0
Munekiyo	宗清	2		0
Mungall	まンゴール	3		0
Mungo	ムンゴ	4		0
Munio	ムニオ	2		0
Munir		0	穆尼尔	2
Munk	ムンク	6	蒙克	3
Munn	マン	5		0
Munro	マンロー	14	芒罗	4
Munson	マンソン	3	蒙森	2
Munthe	ムンテ	3	蒙特	2
Muntz	ムンツ	3		0
Munzarová		0	蒙扎罗娃	2
Muqrin		0	穆克林	2
Mura	ムーラ	2		0
Murad	ムラド	2		0
Murakami		0	村上	2
Murat	ミュラ	6	穆拉特	4
Muratov	ムラトフ	2	穆拉托夫	2
Muravyov	ムラヴィヨフ	2	穆拉维约夫	2
Murchison	マーチソン	4		0
Murdoch	マードック	19	默多克	13
Murdock	マードック	6		0
Mure	ミュア	3	繆爾	2
Murena	ムレナ	2		0
Muriel	ミュリエル	14	穆里尔	4
Murillo		0	穆里略	2
Murilo		0	莫里奥	2
Murkowski	マーカウスキー	2		0
Murom	(ムーロム公)	3		0
Murphy	マーフィー	21	墨菲	20
Murray	マレー	51	默里	25
Murry	マリー	2	默里	3
Murs	マーズ	2		0
Murtaza	ムルタザ	2		0
Murty	ムルティー	2		0
Murúa	ムルア	2		0
Musa	ムーサー	2	穆萨	5
Musatti	ムザッティ	3		0
Muscatblatt	ムスカットブラット	5		0
Musgrave	マスグレイヴ	11	马斯格雷夫	2
Musgrove	マスグローヴ	3		0
Musil	ムージル	2		0
Musk	マスク	12	马斯克	15
Muskie		0	马斯基	2
Muslim	ムスリム	3		0
Musso	ムッソ	2		0
Mussolini	ムッソリーニ	12	墨索里尼	8
Mustafa	ムスタファ	8	穆斯塔法	7
Mustaine	ムステイン	2	马斯泰恩	2
Mustapha	ムスタファ	3	穆斯塔法	3
Musy	ムジー	4	穆西	3
Muti	ムーティ	4	穆蒂	5
Mutsumi	むつみ	2		0
Mutt	ムット	2	穆特	3
Muzaffar		0	穆扎法尔	2
Muzio	ムツィオ	3		0
Muñoz	ムニョス	7	穆尼奥斯	13
Mychal	マイカル	2		0
Myddelton	ミドルトン	7		0
Myeong		0	명	2
Myer	マイヤー	4	迈尔	5
Myers	マイヤーズ	10	迈尔斯	3
Myerson		0	梅尔森	2
Mygdal		0	米格达尔	2
Mygind		0	迈金德	2
Mykhailo	ムィハーイロ	2	米哈伊洛	5
Mykola	ミコラ	3	尼古拉	3
Mykolas	ミコラス	3	米科拉斯	4
Myles	マイルズ	7	迈尔斯	4
Mylène	ミレーヌ	3		0
Myne	マイン	2		0
Mynors	マイナーズ	5		0
Mynster		0	明斯特	3
Myra	マイラ	6	迈拉	4
Myriam	ミリアム	2	米里亚姆	2
Myrna	マーナ	3		0
Myron	マイロン	8	迈伦	5
Myrta	ミルタ	2		0
Myrtle	マートル	2	麦特	2
Mytton	ミトン	4	米頓	2
Mária	マリア	2	玛丽亚	2
Mário	マリオ	4	马里奥	6
Márk		0	马克	2
Márkus		0	马库斯	2
Márquez	マルケス	2	马克斯	2
Márta	マールタ	3		0
Márton	マールトン	2	马顿	2
Máté	マーテー	2		0
Máximo		0	马克西莫	3
Mäe		0	梅	2
Mäkelä		0	迈凯莱	2
Mäkinen	マキネン	3		0
Mäkiniemi	マキニエミ	2	麦基聂米	2
Märt	マルト	2	马特	4
Märta	メルタ	2	玛尔塔	2
Måns	モンス	2		0
Mårtenson	モールテンソン	4		0
Méjean		0	梅让	2
Mélanie	メラニー	3		0
Méliès	メリエス	2		0
Ménard	メナール	2		0
Méndez	メンデス	6	门德斯	3
Mérimée	メリメ	2		0
Mérode	メロード	5	梅洛德	3
Mérovée		0	梅罗维	2
Mì	秘	2	秘	2
Mìng	命	2	命	2
Mí	弥	2	弥	2
Mónica	モニカ	4	莫妮卡	5
Mór	ムール	2	莫尔	2
Móricz		0	莫里兹	2
Möbius	メビウス	2	莫比乌斯	2
Möllendorff	メレンドルフ	3		0
Möller	メッレル	2		0
Mörike	メーリケ	2	莫里克	2
Mølby		0	默尔比	2
