han	corpus_count	ko	ja_kana_candidate	ja_romaji_candidate	zh_pinyin
銀	10	은	ぎん	gin	yín
陀	10	타	だ	da	tuó
隼	10	준	はやぶさ	hayabusa	sǔn
壱	10	일	いち	ichi	yī
続	10	속	ぞく	zoku	xù
薄	10	박	はく	haku	báo bó
祝	10	축	しゅく	shuku	zhù
被	10	피	ひ	hi	bèi
耶	10	야	や	ya	yé
鬱	10	울	うつ	utsu	yù
忻	10	흔	きん	kin	xīn
賞	10	상	しょう	shou	shǎng
告	10	고	こく	koku	gào
亘	10	긍 선	こう	kou	gèn
類	10	유 류	るい	rui	lèi
尻	10	고	しり	shiri	kāo
蒔	10	시	じ	ji	shí
努	10	노	つとむ	tsutomu	nǔ
翠	10	취	すい	sui	cuì
瑀	10	우			yǔ
驥	10	기	き	ki	jì
釗	10	쇠 소			zhāo
琚	10	거			jū
聡	10	총	さとし	satoshi	cōng
愉	10	유	ゆ	yu	yú
旻	10	민	びん	bin	mín
誦	10	송	しょう	shou	sòng
凱	10	개	がい	gai	kǎi
帶	10	대	おび	obi	dài
鰭	10	기	ひれ	hire	qí
昉	10	방			fǎng
培	10	배	ばい	bai	péi
并	10	병	へい	hei	bìng
夔	10	기			kuí
午	10	오	うま	uma	wǔ
瓜	10	과	うり	uri	guā
朋	10	붕	とも	tomo	péng
祜	10	호			hù
邽	10	규			guī
擢	10	탁	てき	teki	zhuó
戎	10	융	じゅう	juu	róng
貽	10	이	い	i	yí
瑕	10	하	きず	kizu	xiá
倬	10	탁	たく	taku	zhuō
勛	10	훈			xūn
佩	10	패	はい	hai	pèi
濰	10	유			wéi
亦	10	역	また	mata	yì
詧	10	찰			chá
謩	10	모			mó
雙	10	쌍	そう	sou	shuāng
观	10	관			guān
邃	10	수	すい	sui	suì
抗	10	항	こう	kou	kàng
淄	10	치			zī
惕	10	척			tì
李	10	이			
邈	9	막			miǎo
詠	9	영	えい	ei	yǒng
招	9	초	しょう	shou	zhāo
帖	9	첩	ちょう	chou	tiē
满	9	만			mǎn
洙	9	수	しゅ	shu	zhū
軫	9	진	しん	shin	zhěn
染	9	염	そめ	some	rǎn
築	9	축	ちく	chiku	zhú
迦	9	가	か	ka	jiā
衝	9	충	しょう	shou	chōng
財	9	재	ざい	zai	cái
額	9	액	ひたい	hitai	é
菟	9	도	うさぎ	usagi	tù
杼	9	저	ひ	hi	zhù
非	9	비	ひ	hi	fēi
身	9	신	み	mi	shēn
歳	9	세	とし	toshi	suì
油	9	유	あぶら	abura	yóu
縫	9	봉	ほう	hou	fèng
舎	9	사	しゃ	sha	shè
籌	9	주	ちゅう	chuu	chóu
費	9	비	ひ	hi	fèi
张	9	장			zhāng
賜	9	사	たまもの	tamamono	cì
蓋	9	개	ふた	futa	gài
遍	9	편	へん	hen	biàn
参	9	참	さん	san	cān
議	9	의	ぎ	gi	yì
空	9	공	そら	sora	kōng
哉	9	재	や	ya	zāi
概	9	개	おおむね	oomune	gài
堪	9	감	かん	kan	kān
歌	9	가	うた	uta	gē
授	9	수	じゅ	ju	shòu
虬	9	규			qiú
暄	9	훤	けん	ken	xuān
达	9	체			dá
璞	9	박	はく	haku	pú
柿	9	시	かき	kaki	shì
琢	9	탁	たく	taku	zuó
狐	9	호	きつね	kitsune	hú
添	9	첨	そえ	soe	tiān
銘	9	명	めい	mei	míng
楫	9	즙 집	しゅう	shuu	jí
蓁	9	진	しん	shin	zhēn
侶	9	여 려	りょ	ryo	lǚ
冑	9	주	ちゅう	chuu	zhòu
拯	9	증	じょう	jou	zhěng
涉	9	섭			shè
暐	9	위			wěi
廓	9	확 곽	かく	kaku	kuò
衞	9	위	まもる	mamoru	wèi
買	9	매	ばい	bai	mǎi
冠	9	관	かん	kan	guān
疾	9	질	しつ	shitsu	jí
突	9	돌	とつ	totsu	tū
鉉	9	현	けん	ken	xuàn
臻	9	진	しん	shin	zhēn
劍	9	검	つるぎ	tsurugi	jiàn
俌	9	보			fǔ
苑	9	원	えん	en	yuàn
萃	9	췌	すい	sui	cuì
敘	9	서	じょ	jo	xù
璡	9	진			jìn
譽	9	예	よ	yo	yù
炅	9	경			jiǒng
玠	9	개			jiè
緣	9	연	へり	heri	yuán
曖	9	애	あい	ai	ài
鐘	9	종	かね	kane	zhōng
叱	9	질	しつ	shitsu	chì
讳	9	휘			huì
廙	9	이			yì
劭	9	초 소	しょう	shou	shào
歆	9	흠			xīn
沔	9	면			miǎn
騫	9	건	けん	ken	qiān
洵	9	순	じゅん	jun	xún
注	9	주	ちゅう	chuu	zhù
喻	9	유			yù
豹	9	표	ひょう	hyou	bào
珽	9	정			tǐng
綝	9	침			chēn
弈	9	혁			yì
據	8	거	きょ	kyo	jù
覽	8	남 람	らん	ran	lǎn
嘏	8	하 가			gǔ
黯	8	암	あん	an	àn
誥	8	고	こう	kou	gào
倚	8	의	い	i	yǐ
颜	8	안			yán
应	8	응			yīng
要	8	요	よう	you	yào
陆	8	육			lù
引	8	인	ひき	hiki	yǐn
蟜	8	교			jiǎo
顓	8	전			zhuān
斡	8	알	あつ	atsu	wò
刻	8	각	こく	koku	kè
溶	8	용	よう	you	róng
婦	8	부	ふ	fu	fù
背	8	배	せ	se	bèi
茅	8	모	め	me	máo
杵	8	저	きね	kine	chǔ
的	8	적	てき	teki	de
軍	8	군	ぐん	gun	jūn
茨	8	자	いばら	ibara	cí
推	8	추	すい	sui	tuī
采	8	채	さい	sai	cǎi
臼	8	구	うす	usu	jiù
契	8	계 글 설	けい	kei	qì
説	8	설	せつ	setsu	shuō
紇	8	흘			hé
乞	8	걸	きつ	kitsu	qǐ
晧	8	호	こう	kou	hào
策	8	책	さく	saku	cè
候	8	후	そうろう	sourou	hòu
宦	8	환	かん	kan	huàn
記	8	기	き	ki	jì
殊	8	수	しゅ	shu	shū
刑	8	형	けい	kei	xíng
頂	8	정	いただき	itadaki	dǐng
歐	8	구	おう	ou	ōu
馨	8	형	かおる	kaoru	xīn
瑚	8	호	ご	go	hú
煜	8	욱			yù
仍	8	잉	じょう	jou	réng
窪	8	와	くぼ	kubo	wā
楠	8	남	くすのき	kusunoki	nán
薩	8	살	さつ	satsu	sà
剌	8	날 랄	らつ	ratsu	là
愚	8	우	ぐ	gu	yú
探	8	탐	たん	tan	tàn
逞	8	영 령	てい	tei	chěng
紘	8	굉	こう	kou	hóng
奭	8	석			shì
邯	8	감 한	かん	kan	hán
鄲	8	단 다	たん	tan	dān
佶	8	길	きつ	kitsu	jí
柱	8	주	はしら	hashira	zhù
羨	8	선	せん	sen	xiàn
訢	8	흔 은			xīn
奐	8	환	かん	kan	huàn
歡	8	환	かん	kan	huān
喇	8	나 라	らつ	ratsu	lǎ
涵	8	함	かん	kan	hán
鑄	8	주	い	i	zhù
感	8	감	かん	kan	gǎn
洸	8	광	こう	kou	guāng
崧	8	숭			sōng
璪	8	조			zǎo
眾	8	중			zhòng
習	8	습	しゅう	shuu	xí
遁	8	둔	とん	ton	dùn
瓘	8	관			guàn
泗	8	사	し	shi	sì
俛	8	면	ふ	fu	fǔ
諭	8	유	さとし	satoshi	yù
棠	8	당	とう	tou	táng
聿	8	율	いつ	itsu	yù
撝	8	휘			huī
亶	8	단	たん	tan	dǎn
逖	8	적	てき	teki	tì
攸	8	유	ゆう	yuu	yōu
緄	8	곤			gǔn
瑋	8	위			wěi
兢	8	긍	きょう	kyou	jīng
調	8	조 주	ちょう	chou	diào
冰	8	빙	こおり	koori	bīng
滂	8	방	ぼう	bou	pāng
泌	8	비 필	ひ	hi	mì
涓	8	연	けん	ken	juān
湜	8	식			shí
綬	8	수	ひも	himo	shòu
璬	8	교			jiǎo
欒	8	난 란	らん	ran	luán
埈	8	준			jùn
棣	8	체	てい	tei	dì
琯	8	관			guǎn
鄞	8	은			yín
謇	8	건	けん	ken	jiǎn
紓	8	서			shū
璥	8	경			jǐng
祺	8	기	き	ki	qí
玢	8	분			bīn
緱	8	구			gōu
萇	7	장	ちょう	chou	cháng
龙	7	용			lóng
锦	7	금			jǐn
祈	7	기	れい	rei	qí
沅	7	원			yuán
辉	7	휘			huī
免	7	면	めん	men	miǎn
胥	7	서	しょ	sho	xū
儿	7	인	にん	nin	ér
塙	7	고	はなわ	hanawa	què
樵	7	초	しょう	shou	qiáo
糸	7	멱 사	いと	ito	mì
印	7	인	いん	in	yìn
産	7	산	さん	san	chǎn
飽	7	포	ほう	hou	bǎo
綺	7	기	き	ki	qǐ
播	7	파	ばん	ban	bō
氷	7	빙	こおり	koori	bīng
爪	7	조	つめ	tsume	zhǎo
場	7	장	ば	ba	chǎng
寮	7	요 료	りょう	ryou	liáo
防	7	방	ぼう	bou	fáng
讚	7	찬	さん	san	zàn
削	7	삭	さく	saku	xuē
支	7	지	し	shi	zhī
竈	7	조	かまど	kamado	zào
聴	7	청	ちょう	chou	tīng
般	7	반	はん	han	bān
莒	7	거	きょ	kyo	jǔ
対	7	대	つい	tsui	duì
怤	7	부			fū
俗	7	속	ぞく	zoku	sú
猗	7	의 아	き	ki	yī
揖	7	읍	ゆう	yuu	yī
懌	7	역	えき	eki	yì
給	7	급	きゅう	kyuu	gěi
讃	7	찬	さん	san	zàn
禔	7	제 시 지			zhī
鮮	7	선	せん	sen	xiān
昊	7	호	こう	kou	hào
蜷	7	권	にな	nina	quán
郊	7	교	こう	kou	jiāo
寘	7	치			zhì
懸	7	현	けん	ken	xuán
車	7	차 거	くるま	kuruma	chē
答	7	답	こたえ	kotae	dá
舍	7	사	しゃ	sha	shě shè
鼐	7	내			nài
珎	7	진	ちん	chin	zhēn
癸	7	계	き	ki	guǐ
渥	7	악	あく	aku	wò
醇	7	순	じゅん	jun	chún
燮	7	섭	しょう	shou	xiè
杲	7	고 호	こう	kou	gǎo
陣	7	진	じん	jin	zhèn
赵	7	조			zhào
暠	7	고			gǎo
仰	7	앙	ぎょう	gyou	yǎng
拉	7	납 랍	らつ	ratsu	lā
宴	7	연	うたげ	utage	yàn
瑰	7	괴	かい	kai	guī
罗	7	나			luó
囊	7	낭	のう	nou	náng
牙	7	아	きば	kiba	yá
怀	7	부			huái
縯	7	연			yǎn
璜	7	황	こう	kou	huáng
姞	7	길			jí
班	7	반	はん	han	bān
頎	7	기			qí
葆	7	보	ほ	ho	bǎo
遙	7	요	はるか	haruka	yáo
哈	7	합	ごう	gou	hā
噶	7	갈			gá
葵	7	규	あおい	aoi	kuí
蕙	7	혜			huì
舊	7	구	きゅう	kyuu	jiù
迅	7	신	じん	jin	xùn
芹	7	근	せり	seri	qín
寀	7	채			cǎi
鍔	7	악	つば	tsuba	è
祉	7	지	し	shi	zhǐ
淇	7	기	き	ki	qí
億	7	억	おく	oku	yì
聪	7	총			cōng
樸	7	박	ぼく	boku	pǔ
荀	7	순	じゅん	jun	xún
札	7	찰	さつ	satsu	zhá
屈	7	굴	くつ	kutsu	qū
珉	7	민			mín
諧	7	해	かい	kai	xié
珏	7	각			jué
伷	7	주			zhòu
圃	7	포	ほ	ho	pǔ
遘	7	구	こう	kou	gòu
拙	7	졸	せつ	setsu	zhuō
晚	7	만			wǎn
蒼	7	창	あお	ao	cāng
趨	7	추	すう	suu	qū
翔	7	상	しょう	shou	xiáng
贵	7	귀			guì
举	7	거			jǔ
憺	7	담	たん	tan	dàn
耽	7	탐	たん	tan	dān
冤	7	원	えん	en	yuān
赫	7	혁	せき	seki	hè
崗	7	강	こう	kou	gǎng
袞	7	곤	こん	kon	gǔn
刘	7	유			liú
迥	7	형	けい	kei	jiǒng
佺	7	전			quán
琪	7	기			qí
慤	7	각			què
岫	7	수	しゅう	shuu	xiù
瑒	7	창			chàng
晊	7	질			zhì
辭	7	사	じ	ji	cí
璲	7	수			suì
愻	7	손			xùn
瑊	7	감			jiān
獎	7	장	しょう	shou	jiǎng
確	7	확	かく	kaku	què
庇	7	비	ひさし	hisashi	bì
混	6	혼	こん	kon	hùn
叶	6	협	かのう	kanou	yè
冕	6	면	べん	ben	miǎn
卷	6	권	かん	kan	juǎn
凤	6	봉			fèng
奢	6	사	しゃ	sha	shē
准	6	준	じゅん	jun	zhǔn
齢	6	영	れい	rei	líng
鞍	6	안	くら	kura	ān
底	6	저	そこ	soko	dǐ
咋	6	사	さく	saku	zǎ
甕	6	옹	かめ	kame	wèng
泊	6	박	はく	haku	pō
反	6	반	はん	han	fǎn
嬪	6	빈	ひん	hin	pín
計	6	계	けい	kei	jì
檜	6	회	ひのき	hinoki	guì
幕	6	막	まく	maku	mù
繇	6	요			yáo
壁	6	벽	かべ	kabe	bì
蕤	6	유			ruí
訶	6	가	か	ka	hē
潢	6	황			huáng
伐	6	벌	ばつ	batsu	fá
什	6	십 집	しる	shiru	shén
馭	6	어	ぎょ	gyo	yù
也	6	야	や	ya	yě
旅	6	여 려	たび	tabi	lǚ
段	6	단	だん	dan	duàn
屯	6	둔	とん	ton	tún
囂	6	효	ごう	gou	xiāo
聚	6	취	じゅ	ju	jù
旧	6	구	きゅう	kyuu	jiù
楓	6	풍	もみじ	momiji	fēng
彤	6	동			tóng
榎	6	가	えのき	enoki	jiǎ
兕	6	시			sì
鱗	6	인 린	うろこ	uroko	lín
妍	6	연	けん	ken	yán
曼	6	만	まん	man	màn
聽	6	청	ちょう	chou	tīng
図	6	도	ず	zu	tú
岌	6	급	きゅう	kyuu	jí
旨	6	지	むね	mune	zhǐ
隗	6	외	かい	kai	wěi
勲	6	훈	いさお	isao	xūn
篁	6	황	たかむら	takamura	huáng
梧	6	오	ご	go	wú
经	6	경			jīng
圉	6	어	ぎょ	gyo	yǔ
奎	6	규	けい	kei	kuí
鋭	6	예	えい	ei	ruì
艾	6	애 예	がい	gai	ài
舘	6	관	かん	kan	guǎn
棋	6	기	き	ki	qí
移	6	이	い	i	yí
仇	6	구	あだ	ada	chóu
雨	6	우	あめ	ame	yǔ
愨	6	각	かく	kaku	què
銑	6	선	せん	sen	xiǎn
勸	6	권	かん	kan	quàn
頃	6	경	ごろ	goro	qǐng
贏	6	영	えい	ei	yíng
詩	6	시	し	shi	shī
絪	6	인			yīn
鑾	6	난 란	すず	suzu	luán
奮	6	분	ふん	fun	fèn
異	6	이 리	い	i	yì
霞	6	하	かすみ	kasumi	xiá
詞	6	사	し	shi	cí
輯	6	집	しゅう	shuu	jí
淙	6	종	そう	sou	cóng
荷	6	하	か	ka	hé
萼	6	악	はなぶさ	hanabusa	è
盟	6	맹	めい	mei	méng
焜	6	혼	ろう	rou	kūn
鏞	6	용			yōng
詔	6	조	みことのり	mikotonori	zhào
瑶	6	요	よう	you	yáo
彊	6	강	きょう	kyou	jiàng
鄖	6	운			yún
皙	6	석	せき	seki	xī
霄	6	소	しょう	shou	xiāo
閻	6	염	えん	en	yán
遹	6	휼			yù
論	6	논 론	ろん	ron	lùn
阮	6	완 원	がん	gan	ruǎn
寰	6	환	かん	kan	huán
薦	6	천	せん	sen	jiàn
晤	6	오	ご	go	wù
璀	6	최			cuǐ
玲	6	영 령	れい	rei	líng
巡	6	순	じゅん	jun	xún
璨	6	찬			càn
胄	6	주	ちゅう	chuu	zhòu
裒	6	부			póu
寡	6	과	か	ka	guǎ
袤	6	무	ぼう	bou	mào
贛	6	공			gàn
漼	6	최			cuǐ
汉	6	한			hàn
吕	6	여			lǚ
諮	6	자	し	shi	zī
遲	6	지	ち	chi	chí
毖	6	비			bì
玩	6	완	がん	gan	wán
諷	6	풍	ふう	fuu	fěng fèng
鎬	6	호	こう	kou	hào
似	6	사	じ	ji	sì
咎	6	구	とが	toga	jiù
溧	6	율 률			lì
伍	6	오	ご	go	wǔ
庠	6	상	しょう	shou	xiáng
鵬	6	붕	おおとり	ootori	péng
緖	6	서			xù
夤	6	인			yín
邉	6	변	へん	hen	biān
兰	6	난			lán
澶	6	전			chán
盱	6	우			xū
係	6	계	かかり	kakari	xì
浮	6	부	ふ	fu	fú
澣	6	한	かん	kan	huàn
侹	6	정			tǐng
銛	6	섬	せん	sen	xiān
繕	6	선	ぜん	zen	shàn
佚	6	일	いつ	itsu	yì
虯	6	규			qiú
宀	6	면	べん	ben	mián
皆	6	개	みな	mina	jiē
鄺	6	광			kuàng
乔	5	교			qiáo
彩	5	채	さい	sai	cǎi
禄	5	녹	ろく	roku	lù
义	5	의			yì
臯	5	고			gāo
接	5	접	せつ	setsu	jiē
悼	5	도	とう	tou	dào
塔	5	탑	とう	tou	tǎ
椎	5	추	しい	shii	zhuī
俸	5	봉	ほう	hou	fèng
荘	5	장	そう	sou	zhuāng
雀	5	작	すずめ	suzume	què
俣	5	오	また	mata	yǔ
蹈	5	도	とう	tou	dǎo
瀛	5	영	えい	ei	yíng
隅	5	우	すみ	sumi	yú
酢	5	초	す	su	zuò
胆	5	단	たん	tan	dǎn
料	5	요 료	りょう	ryou	liào
楯	5	순	たて	tate	dùn shǔn
幻	5	환	まぼろし	maboroshi	huàn
虫	5	훼 충	むし	mushi	chóng
食	5	식	しょく	shoku	shí
拾	5	습 십	しゅう	shuu	shí
懽	5	환	かん	kan	huān
仏	5	불	ほとけ	hotoke	fó
托	5	탁	たく	taku	tuō
嘎	5	알			gā
炬	5	거	きょ	kyo	jù
戊	5	무	つちのえ	tsuchinoe	wù
燾	5	도			dào
犍	5	건			jiān
辨	5	변	べん	ben	biàn
枚	5	매	まい	mai	méi
蝶	5	접	ちょう	chou	dié
迢	5	초	ちょう	chou	tiáo
賛	5	찬	さん	san	zàn
嚳	5	곡			kù
慰	5	위	い	i	wèi
緩	5	완	かん	kan	huǎn
裳	5	상	も	mo	shang
鞠	5	국	まり	mari	jū
兌	5	태	だ	da	duì
隠	5	은	いん	in	yǐn
菫	5	근	すみれ	sumire	jǐn
胜	5	성 정			shèng
紅	5	홍	くれない	kurenai	hóng
旋	5	선	せん	sen	xuán
瑨	5	진			jìn
壯	5	장	そう	sou	zhuàng
沾	5	첨	せん	sen	zhān
迴	5	회	かい	kai	huí
酆	5	풍			fēng
窓	5	창	まど	mado	chuāng
語	5	어	ご	go	yǔ
孙	5	손			sūn
曦	5	희	ぎ	gi	xī
瑄	5	선			xuān
射	5	사	しゃ	sha	shè
緑	5	녹	みどり	midori	lǜ
諌	5	동	かん	kan	dǒng
紋	5	문	もん	mon	wén
團	5	단	だん	dan	tuán
卯	5	묘	う	u	mǎo
網	5	망	あみ	ami	wǎng
呈	5	정	てい	tei	chéng
邳	5	비			pī
焕	5	환			huàn
珂	5	가	か	ka	kē
宙	5	주	ちゅう	chuu	zhòu
燁	5	엽			yè
頹	5	퇴			tuí
像	5	상	ぞう	zou	xiàng
肖	5	초	しょう	shou	xiào
肸	5	힐			xī
馴	5	순	じゅん	jun	xún
巳	5	사	し	shi	sì
瀧	5	농 롱	たき	taki	lóng
鈺	5	옥			yù
寳	5	보	たから	takara	bǎo
愈	5	유	ゆ	yu	yù
馥	5	복	ふく	fuku	fù
屠	5	도	と	to	tú
衎	5	간			kàn
離	5	이 리	り	ri	lí
稔	5	임	みのる	minoru	rěn
戴	5	대	たい	tai	dài
駟	5	사	し	shi	sì
鎔	5	용	よう	you	róng
甄	5	견	けん	ken	zhēn
錯	5	착	さく	saku	cuò
悊	5	철			zhé
捷	5	첩	しょう	shou	jié
阜	5	부	ふ	fu	fù
廞	5	흠			xīn
滔	5	도	とう	tou	tāo
惔	5	담			tán
珮	5	패	はい	hai	pèi
棄	5	기	き	ki	qì
齋	5	재	さい	sai	zhāi
烱	5	경	きょう	kyou	jiǒng
橫	5	횡	よこ	yoko	héng
炤	5	소 조			zhào
貺	5	황			kuàng
鏗	5	갱	こう	kou	kēng
麒	5	기	き	ki	qí
屏	5	병	びょう	byou	píng
倜	5	척			tì
榕	5	용	よう	you	róng
錡	5	기			qí
塤	5	훈			xūn
讜	5	당			dǎng
羡	5	이			xiàn
已	5	이	い	i	yǐ
俠	5	협	きょう	kyou	xiá
瓦	5	와	かわら	kawara	wǎ
郑	5	정			zhèng
閣	5	각	かく	kaku	gé
閩	5	민			mǐn
預	5	예	よ	yo	yù
稅	5	세			shuì
鍠	5	굉	こう	kou	huáng
侑	5	유	ゆう	yuu	yòu
藹	5	애	あい	ai	ǎi
曙	5	서	あけぼの	akebono	shǔ
甯	5	영			níng
轩	5	헌			xuān
圣	5	골			shèng
組	5	조	くみ	kumi	zǔ
沐	5	목	もく	moku	mù
棐	5	비			fěi
旉	5	부			fū
導	5	도	どう	dou	dǎo
練	5	연 련	れん	ren	liàn
芷	5	지			zhǐ
再	5	재	さい	sai	zài
辜	5	고	こ	ko	gū
廖	5	요 료	りょう	ryou	liào
追	5	추	つい	tsui	zhuī
崖	5	애	がけ	gake	yá
洋	5	양	ひろし	hiroshi	yáng
逌	5	유			yōu
勁	5	경	けい	kei	jìn
過	5	과	か	ka	guò
軾	5	식	しょく	shoku	shì
憕	5	징			chéng
亳	5	박	はく	haku	bó
澥	5	해			xiè
戢	5	집			jí
维	5	유			wéi
尤	5	우	ゆう	yuu	yóu
朴	5	박	ぼく	boku	pǔ
揔	5	총			zǒng
继	5	계			jì
價	5	가	あたい	atai	jià
誘	5	유	ゆう	yuu	yòu
液	5	액	えき	eki	yè
頲	5	정			tǐng
淨	5	정	じょう	jou	jìng
竦	5	송	しょう	shou	sǒng
覃	5	담	えん	en	tán
璹	5	숙			shú
珌	5	필			bì
爰	5	원	えん	en	yuán
逾	5	유	ゆ	yu	yú
穜	5	동			tóng
曅	5	엽			yè
膠	5	교	にかわ	nikawa	jiāo
兖	5	연			yǎn
鄯	5	선			shàn
玘	5	기			qǐ
測	5	측	そく	soku	cè
挹	5	읍			yì
涗	5	세			shuì
懲	5	징	ちょう	chou	chéng
儹	5	찬			zǎn
囗	5	국	い	i	wéi
泚	5	자			cǐ
惑	5	혹	わく	waku	huò
逊	5	손			xùn
韫	5	온			yùn
菩	5	보	ぼ	bo	pú
駱	5	낙 락	らく	raku	luò
而	5	이	じ	ji	ér
边	5	변			biān
韞	4	온			yùn
颺	4	양			yáng
嵸	4	종			zōng
逐	4	축	ちく	chiku	zhú
复	4	복			fù
署	4	서	しょ	sho	shǔ
渊	4	연	ふち	fuchi	yuān
旴	4	우			xū
晋	4	진	すすむ	susumu	jìn
埃	4	애	ほこり	hokori	āi
付	4	부	つき	tsuki	fù
歓	4	환	かん	kan	huān
弐	4	이	に	ni	èr
滴	4	적	しずく	shizuku	dī
閇	4	폐	へい	hei	bì
鴨	4	압	かも	kamo	yā
磨	4	마	ま	ma	mó
使	4	사	し	shi	shǐ
漏	4	누 루	ろう	rou	lòu
腰	4	요	こし	koshi	yāo
境	4	경	さかい	sakai	jìng
荑	4	이			tí
樟	4	장	くす	kusu	zhāng
兎	4	토	うさぎ	usagi	tù
除	4	제	じょ	jo	chú
婆	4	파	ばあ	baa	pó
蚊	4	문	か	ka	wén
掾	4	연	えん	en	yuàn
杢	4	목	もく	moku	jié
弾	4	탄	だん	dan	dàn
猿	4	원	さる	saru	yuán
領	4	영 령	りょう	ryou	lǐng
伽	4	가	きゃ	kya	jiā
俟	4	사	し	shi	qí
奚	4	해	けい	kei	xī
閎	4	굉			hóng
閼	4	알	あん	an	è
眷	4	권	けん	ken	juàn
掌	4	장	てのひら	tenohira	zhǎng
藪	4	수	やぶ	yabu	sǒu
或	4	혹	ある	aru	huò
番	4	번	ばん	ban	fān
透	4	투	とうる	touru	tòu
故	4	고	ゆえ	yue	gù
現	4	현	げん	gen	xiàn
戒	4	계	かい	kai	jiè
箴	4	잠	しん	shin	zhēn
梗	4	경	きょう	kyou	gěng
墨	4	묵	すみ	sumi	mò
負	4	부	ふ	fu	fù
並	4	병	なみ	nami	bìng
揮	4	휘	き	ki	huī
破	4	파	は	ha	pò
稠	4	조	ちゅう	chuu	chóu
掃	4	소	そう	sou	sǎo
窩	4	와	か	ka	wō
匠	4	장	たくみ	takumi	jiàng
往	4	왕	おう	ou	wǎng
貨	4	화	か	ka	huò
寚	4	보			bǎo
椙	4	창	すぎ	sugi	chāng
蒨	4	천			qiàn
杏	4	행	あんず	anzu	xìng
囿	4	유	ゆう	yuu	yòu
値	4	치	あたい	atai	zhí
厲	4	여 려			lì
夙	4	숙	しゅく	shuku	sù
且	4	차	かつ	katsu	qiě
頓	4	돈	とん	ton	dùn
猶	4	유	ゆう	yuu	yóu
戡	4	감	かん	kan	kān
吟	4	음	ぎん	gin	yín
宕	4	탕	ご	go	dàng
槎	4	차	さ	sa	chá
匣	4	갑	こう	kou	xiá
帥	4	수 솔	すい	sui	shuài
颖	4	영			yǐng
珊	4	산	さん	san	shān
报	4	보			bào
外	4	외	そと	soto	wài
昺	4	병			bǐng
郢	4	영	えい	ei	yǐng
需	4	수 유	じゅ	ju	xū
墀	4	지			chí
榛	4	진	しん	shin	zhēn
艶	4	염	つや	tsuya	yàn
闡	4	천	せん	sen	chǎn
算	4	산	さん	san	suàn
鵠	4	곡	くぐい	kugui	hú
抵	4	저	てい	tei	dǐ
暾	4	돈	とん	ton	tūn
頴	4	영	えい	ei	yǐng
呼	4	호	こ	ko	hū
徴	4	징	ちょう	chou	zhēng
鋒	4	봉	ほう	hou	fēng
憙	4	희	き	ki	xǐ
他	4	타	ほか	hoka	tā
吐	4	토	と	to	tǔ
泓	4	홍	おう	ou	hóng
霍	4	곽	かく	kaku	huò
伉	4	항	こう	kou	kàng
罷	4	파	ひ	hi	bà
卬	4	앙			áng
佗	4	타	た	ta	tuó
洩	4	설	えい	ei	xiè
戲	4	희	ぎ	gi	xì
俱	4	구	とも	tomo	jù
荃	4	전			quán
龢	4	화			hé
圍	4	위	い	i	wéi
繡	4	수	ぬい	nui	xiù
郜	4	고			gào
郇	4	순			huán
疇	4	주	うね	une	chóu
羣	4	군	ぐん	gun	qún
蓀	4	손			sūn
轍	4	철	わだち	wadachi	zhé
燿	4	요	よう	you	yào
肩	4	견	かた	kata	jiān
匪	4	비	ひ	hi	fěi
筆	4	필	ふで	fude	bǐ
淐	4	창			chāng
糹	4	멱			sī
衷	4	충	ちゅう	chuu	zhōng
渢	4	풍 범			fán
榆	4	유			yú
苞	4	포	ほう	hou	bāo
榘	4	구			jǔ
梦	4	몽	ゆめ	yume	mèng
龔	4	공	きょう	kyou	gōng
紆	4	우	う	u	yū
宸	4	신	しん	shin	chén
禪	4	선	ぜん	zen	chán
瑁	4	모	ぼう	bou	mào
泛	4	범	はん	han	fàn
暈	4	훈 운	うん	un	yūn
樊	4	번	はん	han	fán
皮	4	피	かわ	kawa	pí
惡	4	악 오	あく	aku	è
檄	4	격	げき	geki	xí
巒	4	만	らん	ran	luán
倓	4	담			tán
釴	4	익			yì
趣	4	취	おもむき	omomuki	qù
齌	4	제			jì
槃	4	반	はん	han	pán
賾	4	색			zé
柬	4	간	かん	kan	jiǎn
逈	4	형			jiǒng
專	4	전	せん	sen	zhuān
舟	4	주	ふね	fune	zhōu
权	4	권			quán
养	4	양			yǎng
祕	4	비	ひ	hi	mì
棱	4	능			léng
僮	4	동	どう	dou	tóng
淯	4	육			yù
媚	4	미	び	bi	mèi
倪	4	예	げい	gei	ní
頠	4	위			wěi
节	4	절			jié
黔	4	검	けん	ken	qián
蟠	4	반	はん	han	pán
賽	4	새	さい	sai	sài
激	4	격	げき	geki	jī
阳	4	양			yáng
榖	4	곡			gǔ
鍇	4	개			kǎi
慮	4	여 려	りょ	ryo	lǜ
諝	4	서			xū
補	4	보	ほ	ho	bǔ
詹	4	첨	せん	sen	zhān
慥	4	조	ぞう	zou	zào
郾	4	언			yǎn
侔	4	모			móu
萍	4	평			píng
偲	4	시	し	shi	cāi
她	4	저			tā
緬	4	면	めん	men	miǎn
湊	4	주	みなと	minato	còu
璠	4	번			fán
鄳	4	맹			méng
兗	4	연			yǎn
降	4	강 항	こう	kou	jiàng
褚	4	저	ちょ	cho	chǔ
汲	4	급	きゅう	kyuu	jí
邠	4	빈			bīn
玭	4	빈			pín
