qid,geni_id,name,date,note
Q5959177,6000000012047631837,,2026-09-14,Special:Contributions/Marcus.linneberg; P2600 already on an item he edited
Q330252,6000000012158871537,,2026-09-14,Special:Contributions/Marcus.linneberg; P2600 already on an item he edited
Q5784592,6000000074687899978,,2026-09-14,Special:Contributions/Marcus.linneberg; P2600 already on an item he edited
Q108836495,6000000008650175115,,2026-09-14,Special:Contributions/Marcus.linneberg; P2600 already on an item he edited
Q61109624,6000000011469951037,,2026-09-14,Special:Contributions/Marcus.linneberg; P2600 already on an item he edited
Q109296500,6000000009437474869,,2026-09-14,Special:Contributions/Marcus.linneberg; P2600 already on an item he edited
Q110303120,6000000008650363594,,2026-09-14,Special:Contributions/Marcus.linneberg; P2600 already on an item he edited
Q19750490,6000000013224934575,,2026-09-14,Special:Contributions/Marcus.linneberg; P2600 already on an item he edited
Q60467584,6000000020224220848,,2026-09-14,Special:Contributions/Marcus.linneberg; P2600 already on an item he edited
Q6184858,6000000006127346477,,2026-09-14,Special:Contributions/Marcus.linneberg; P2600 already on an item he edited
Q5624121,6000000008806093343,,2026-09-14,Special:Contributions/Marcus.linneberg; P2600 already on an item he edited
Q5541257,6000000014698314132,,2026-09-14,Special:Contributions/Marcus.linneberg; P2600 already on an item he edited
Q3054681,6000000006126968257,,2026-09-14,Special:Contributions/Marcus.linneberg; P2600 already on an item he edited
Q5547641,6000000018319458023,,2026-09-14,Special:Contributions/Marcus.linneberg; P2600 already on an item he edited
Q343674,6000000007484173264,,2026-09-14,Special:Contributions/Marcus.linneberg; P2600 already on an item he edited
Q6054405,6000000008941280324,,2026-09-14,Special:Contributions/Marcus.linneberg; P2600 already on an item he edited
Q5930843,6000000033760105870,,2026-09-14,Special:Contributions/Marcus.linneberg; P2600 already on an item he edited
Q6093933,6000000015781780072,,2026-09-14,Special:Contributions/Marcus.linneberg; P2600 already on an item he edited
Q5869087,6000000013327454845,,2026-09-14,Special:Contributions/Marcus.linneberg; P2600 already on an item he edited
Q77915,6000000007483243624,,2026-09-14,Special:Contributions/Marcus.linneberg; P2600 already on an item he edited
Q136412585,6000000013332909180,,2026-09-14,Special:Contributions/Marcus.linneberg; P2600 already on an item he edited
Q131726352,6000000013289190946,,2026-09-14,Special:Contributions/Marcus.linneberg; P2600 already on an item he edited
Q131726338,6000000013401960220,,2026-09-14,Special:Contributions/Marcus.linneberg; P2600 already on an item he edited
Q58837048,6000000019248355403,,2026-09-14,Special:Contributions/Marcus.linneberg; P2600 already on an item he edited
Q6050337,6000000000716048376,,2026-09-14,Special:Contributions/Marcus.linneberg; P2600 already on an item he edited
Q11860784,6000000000151806912,,2026-09-14,Special:Contributions/Marcus.linneberg; P2600 already on an item he edited
Q11854983,6000000007049333361,,2026-09-14,Special:Contributions/Marcus.linneberg; P2600 already on an item he edited
Q17380093,6000000012821381729,,2026-09-14,Special:Contributions/Marcus.linneberg; P2600 already on an item he edited
Q64867094,6000000013082348176,,2026-09-14,Special:Contributions/Marcus.linneberg; P2600 already on an item he edited
Q73763212,6000000009467585048,,2026-09-14,Special:Contributions/Marcus.linneberg; P2600 already on an item he edited
Q99471772,6000000006127355545,,2026-09-14,Special:Contributions/Marcus.linneberg; P2600 already on an item he edited
Q133309309,6000000018930892371,,2026-09-14,Special:Contributions/Marcus.linneberg; P2600 already on an item he edited
Q105702593,6000000051949297839,,2026-09-14,Special:Contributions/Marcus.linneberg; P2600 already on an item he edited
Q105481894,6000000014921901951,,2026-09-14,Special:Contributions/Marcus.linneberg; P2600 already on an item he edited
Q6085283,6000000005250802265,,2026-09-14,Special:Contributions/Marcus.linneberg; P2600 already on an item he edited
Q106084932,6000000018922194662,,2026-09-14,Special:Contributions/Marcus.linneberg; P2600 already on an item he edited
Q4302144,6000000026522778851,GŌNGSŪN Shǎo Diǎn 少典 1世,2026-09-15,"queue: Chinese gedcom entry points; LOCAL ONLY, never emitted to Wikidata"
Q313336,6000000130192002822,Shén Nóng 神农 Yán Dì 炎帝 Yú Quān 榆圈 一任帝 2世,2026-09-15,"queue: Chinese gedcom entry points; LOCAL ONLY, never emitted to Wikidata"
Q29201,6000000001381274001,Yellow Emperor,2026-09-15,"queue: Chinese gedcom entry points; LOCAL ONLY, never emitted to Wikidata"
Q6377648,6000000001381063554,Chāng Yì 昌意 2,2026-09-15,"queue: Chinese gedcom entry points; LOCAL ONLY, never emitted to Wikidata"
Q1441379,6000000002048439278,Léi Zǔ 嫘祖,2026-09-15,"queue: Chinese gedcom entry points; LOCAL ONLY, never emitted to Wikidata"
Q10514592,6000000007213183226,Jiáo Jí 蟜極 3,2026-09-15,"queue: Chinese gedcom entry points; LOCAL ONLY, never emitted to Wikidata"
Q1147250,6000000002481254239,Xuán Xiāo 玄囂 Shǎo Hào 少昊 2,2026-09-15,"queue: Chinese gedcom entry points; LOCAL ONLY, never emitted to Wikidata"
Q28409803,6000000002848066261,Tóng Yú Shì Wife 3 彤魚氏,2026-09-15,"queue: Chinese gedcom entry points; LOCAL ONLY, never emitted to Wikidata"
Q8262857,6000000023167303575,Mó Mǔ Wife 4 嫫母,2026-09-15,"queue: Chinese gedcom entry points; LOCAL ONLY, never emitted to Wikidata"
Q198180,6000000001381123265,Zhuān Xū 顓頊 3世 DO NOT MERGE PARENTS,2026-09-15,"queue: Chinese gedcom entry points; LOCAL ONLY, never emitted to Wikidata"
Q10752092,6000000001381046535,Qióng Chán 穷蝉 4,2026-09-15,"queue: Chinese gedcom entry points; LOCAL ONLY, never emitted to Wikidata"
Q10299225,6000000001381114215,Jing Kang 敬康 5,2026-09-15,"queue: Chinese gedcom entry points; LOCAL ONLY, never emitted to Wikidata"
Q9569181,6000000001380828716,Ju Mang 句芒 6,2026-09-15,"queue: Chinese gedcom entry points; LOCAL ONLY, never emitted to Wikidata"
Q7664534,6000000001380983518,Jiao Niu 蟜牛 7,2026-09-15,"queue: Chinese gedcom entry points; LOCAL ONLY, never emitted to Wikidata"
Q10438384,6000000001272831610,Yu Gu Sou 瞽叟 8,2026-09-15,"queue: Chinese gedcom entry points; LOCAL ONLY, never emitted to Wikidata"
Q4499078,6000000001272854603,Gui Xiang 媯象 9,2026-09-15,"queue: Chinese gedcom entry points; LOCAL ONLY, never emitted to Wikidata"
Q313342,6000000195149451825,Emperor Shùn 帝舜 9 1G,2026-09-15,"queue: Chinese gedcom entry points; LOCAL ONLY, never emitted to Wikidata"
Q7878975,6000000001272026560,Wò Dēng 握登,2026-09-15,"queue: Chinese gedcom entry points; LOCAL ONLY, never emitted to Wikidata"
Q7480137,6000000189960169823,Nǚ Yīng 女英,2026-09-15,"queue: Chinese gedcom entry points; LOCAL ONLY, never emitted to Wikidata"
Q7991612,6000000189960074826,É Huáng 娥皇,2026-09-15,"queue: Chinese gedcom entry points; LOCAL ONLY, never emitted to Wikidata"
Q819556,6000000003485847175,Emperor Yáo 帝堯 5,2026-09-15,"queue: Chinese gedcom entry points; LOCAL ONLY, never emitted to Wikidata"
Q10933357,6000000008004418918,Dà Yè 大业 5,2026-09-15,"queue: Chinese gedcom entry points; LOCAL ONLY, never emitted to Wikidata"
Q4243879,6000000008004518685,Bó Yì 字 伯益 8,2026-09-15,"queue: Chinese gedcom entry points; LOCAL ONLY, never emitted to Wikidata"
