geni_id	qid	cjk_names	label_en	culture	state
6000000002839662620		訓儒麻呂 藤原	Fujiwara no Kosemaro		already has an English label
6000000002840610304		永継 百済	Kudara no Nagatsugu		already has an English label
6000000002841318150		奈止麻呂 飛鳥部	Asukabe no Natomaro		already has an English label
6000000002843203972	Q3137722	苅田麻呂 坂上 | 坂上苅田麻呂	Karitamaro Sakanoue		already has an English label
6000000002843476494		田村麻呂 坂上 | 坂上田村麻呂	Tamuramaro Sakanoue		already has an English label
6000000002848713696		業平 在原	Narihira Ariwara		already has an English label
6000000002848862026		伊都 内親王 | 伊都 | 伊都内親王	Izu		already has an English label
6000000002920046398		連卓 曾	Jack Lan Hong		already has an English label
6000000002920088413		啟賢 曾	Kenneth Jeffrey Hong		already has an English label
6000000002920132327		仲仙 陳	Rose Sen Hong		already has an English label
6000000002923034483		學厚 曾 139, 127, 74, 70, 17世	Hock How Hong		already has an English label
6000000002923094042		翠娟 趙	Tui Goon Hong		already has an English label
6000000002929279507		曾 稠毓 138, 126, 73, 69, 16世	Chew Yook Hong		already has an English label
6000000002929769734		陳 氏	née Chén		already has an English label
6000000002935176782		賀備能 藤原	Minamoto no Sukeakira		already has an English label
6000000002935214997		菅根 藤原	Fujiwara no Motokata		already has an English label
6000000002935421554		義久 藤原	Fujiwara no Yoshihisa		already has an English label
6000000002935462614		致忠 藤原	Fujiwara no Munetada		already has an English label
6000000003128016689		能子 藤原	Fujiwara no Yoshiko		already has an English label
6000000003212740009		吳興	Qián 錢		already has an English label
6000000003213141999		敬言 河東解縣	2. Lady Liu of Hedong 敬言 柳		already has an English label
6000000003225199627		谟 陈 124, 83, 36, 1世	Mó Chén 124, 83, 36, 1G		already has an English label
6000000003268231062		天村雲	Ame no Murakumo		already has an English label
6000000003459454912		頭曼 攣鞮	Tóu màn Luán dī (Teoman-Karahan, Tou Man, Tovman, To-Ban, Tumen Tengriqut)		already has an English label
6000000003459553147		稽侯狦	Huhanye Han Yeh Chanyu of Xiongnu		already has an English label
6000000003492710472	Q157130	歐仁尼皇后	María Eugenia Ignacia Augustina Ignacia Augustina de Montijo		already has an English label
6000000003492745606	Q7721	拿破崙三世	Louis-Napoleon Louis Napolean Bonaparte President of France & Napoleon III Emperor of France		already has an English label
6000000003648090078		文龙 广东清山县后衙 125, 84, 37, 2, 1世 | 文龍 廣東清山縣后衙 125, 84, 37, 2, 1世	Wénlóng Chén 125, 84, 37, 2, 1		already has an English label
6000000003648148475		秀祥 陈 140, 99, 52, 17世 | 秀祥 陳 140, 99, 52, 17世	Xiùxiáng Chén 140, 99, 52, 17G		already has an English label
6000000003659328974		敬曾 陈 142, 101, 54, 19世 | 敬曾 陳 142, 101, 54, 19世	Jìngzēng Chén 142, 101, 54, 19G		already has an English label
6000000003660228090		发醑 陈 143, 102, 55, 20世 | 發醑 陳 143, 102, 55, 20世	Fāxǔ Chén 143, 102, 55, 20G		already has an English label
6000000003801395078		宗純 陳	Zōngchún Chén		already has an English label
6000000003827542402	Q175138	拔都 | 拔都孛兒只斤	Batu Khan		already has an English label
6000000003846763448		文亮 陳	Wénliàng Chén		already has an English label
6000000003846793255		文煥 陳	Wénhuàn Chén		already has an English label
6000000003846817056		文順 陳	Wénshùn Chén		already has an English label
6000000003903869945		國隆 陳	Guólóng Chén		already has an English label
6000000003903931956		國恩 陳	Guó'ēn Chén		already has an English label
6000000003903970786		祥顯 陳	Xiángxiǎn Chén		already has an English label
6000000003904075142		國旺 陳	Guówàng Chén		already has an English label
6000000003904130065		國成 陳	Guóchéng Chén		already has an English label
6000000003904130358		祥鳳 陳	Xiángfèng Chén		already has an English label
6000000003935874670		宗揚 陳	Zōngyáng Chén		already has an English label
6000000003935880414		宗保 陳	Zōngbǎo Chén		already has an English label
6000000003935947696		德洪 陳	Déhóng Chén		already has an English label
6000000003935950271		國瑚 陳	Guóhú Chén		already has an English label
6000000003935952303		錦祥 陳	Jǐnxiáng Chén		already has an English label
6000000003935982065		宗拱 陳	Zōnggǒng Chén		already has an English label
6000000003936015307		德洽 陳	Déqià Chén		already has an English label
6000000003936035160		浩祥 陳	Hàoxiáng Chén		already has an English label
6000000003936097068		德沾 陳	Dézhān Chén		already has an English label
6000000003936366357		祥興 陳	Xiángxīng Chén		already has an English label
6000000003936436461		德昌 陳	Déchāng Chén		already has an English label
6000000003936523236		德利 陳	Délì Chén		already has an English label
6000000003936552016		祥喜 陳	Xiángxǐ Chén		already has an English label
6000000003936611108		德湛 陳	Dézhàn Chén		already has an English label
6000000003936620013		德本 陳	Déběn Chén		already has an English label
6000000003936728764		祥曜 陳	Xiángyào Chén		already has an English label
6000000003936935097		德教 陳	Déjiāo Chén		already has an English label
6000000003937102147		文質 陳	Wénzhí Chén		already has an English label
6000000003937142136		百昌 陳	Bóchāng Chén		already has an English label
6000000003937147880		祥臨 陳	Xiánglín Chén		already has an English label
6000000003954667537		祥茂 陳	Xiángmào Chén		already has an English label
6000000003954739437		德萬 (出繼) 陳	Déwàn Chén		already has an English label
6000000003954810498		德鍂 陳	Dépiǎn Chén		already has an English label
6000000003954869036		祥應 陳	Xiángyīng Chén		already has an English label
