path,files,bytes,workflow_refs,pipeline_code_refs,test_refs,doc_refs,example_refs
paths_for_wikidata_isolates/Geni - Aira Tellervo Kemiläinen (1919-2006)- Vesanto_files/,51,4104508,0,0,0,0,
paths_for_wikidata_isolates/Geni - Akateemikko Erkki Aukusti Laurila (1913-1998)- Porvoo_files/,52,4106125,0,0,0,0,
paths_for_wikidata_isolates/Geni - Akateemikko Olli Erkki Lehto (1925-2020)_files/,58,4129578,0,0,0,0,
paths_for_wikidata_isolates/Geni - Akeo Watanabe (1919-1990)- Tokyo_files/,65,4222073,0,0,0,0,
paths_for_wikidata_isolates/Geni - Alan C. Ashton_files/,54,4138413,0,0,0,0,
paths_for_wikidata_isolates/Geni - Alessandro Farnese (1468-1549)- Rome_files/,63,4128737,0,0,0,0,
"paths_for_wikidata_isolates/Geni - Alessandro Ottaviano de' Medici, Pope Leo XI (1535-1605)_files/",62,4230313,0,0,0,0,
paths_for_wikidata_isolates/Geni - Alet (Alette) Nilsdtr. Stangeland (1859-1917)_files/,53,4115330,0,0,0,0,
paths_for_wikidata_isolates/Geni - Alexander (-356--323)_files/,61,4197772,0,0,0,0,
paths_for_wikidata_isolates/Geni - Alexandra Lindh (Gjestvang) (1882-1939)_files/,50,4108222,0,0,0,0,
paths_for_wikidata_isolates/Geni - Alf Gowart-Olsen (1912-1972)_files/,55,4190513,0,0,0,0,
paths_for_wikidata_isolates/Geni - Alfred Elis Törnebohm (1838-d.)_files/,50,4102299,0,0,0,0,
paths_for_wikidata_isolates/Geni - Alfred Gessow (1922-2002)_files/,65,4159167,0,0,0,0,
paths_for_wikidata_isolates/Geni - Alfred Hartmann Bjørnson (1889-1974)- Stavanger_files/,51,4103408,0,0,0,0,
paths_for_wikidata_isolates/Geni - Alfred Heilbronn (1885-1961)- Münster_files/,56,4193320,0,0,0,0,
paths_for_wikidata_isolates/Geni - Alfred Heinrich Bucherer (1863-1927)- Bonn_files/,62,4227193,0,0,0,0,
paths_for_wikidata_isolates/Geni - Alfred Horn (1918-2001)- Pacific Palisades_files/,51,4186556,0,0,0,0,
paths_for_wikidata_isolates/Geni - Allert Marius Middelthon (1846-1916)_files/,51,4182484,0,0,0,0,
paths_for_wikidata_isolates/Geni - Amalia Maartje Elisabeth Draak (1907-1995)- Amsterdam_files/,52,4191217,0,0,0,0,
paths_for_wikidata_isolates/Geni - Anders Forssenius (1706-1788)- Skara_files/,62,4152925,0,0,0,0,
paths_for_wikidata_isolates/Geni - Anders Wilhelm Ingman (1819-1877)- Helsinki_files/,68,4221757,0,0,0,0,
paths_for_wikidata_isolates/Geni - Andreas Bauer (1590-1638)- Leipzig_files/,55,4109422,0,0,0,0,
"paths_for_wikidata_isolates/Geni - Andreas Emil Erichsen (1841-1913)- St. Petri sogn, Stavanger_files/",59,4197478,0,0,0,0,
"paths_for_wikidata_isolates/Geni - Angelo Correr, Gregorius XII (c.1335-1417)_files/",58,4242165,0,0,0,0,
paths_for_wikidata_isolates/Geni - Anitra Linnéa Christina Karsten (1902-1988)_files/,56,4197645,0,0,0,0,
paths_for_wikidata_isolates/Geni - Anna Ida Birgit Åkesson (1908-2001)_files/,57,4199855,0,0,0,0,
paths_for_wikidata_isolates/Geni - Annik (Anna Constance) Saxegaard (1905-1990)- Kiel_files/,53,4109885,0,0,0,0,
paths_for_wikidata_isolates/Geni - Anton Johnson Fridrichsen (1888-1953)- Uppsala_files/,54,4106613,0,0,0,0,
paths_for_wikidata_isolates/Geni - Antonio Michele Ghislieri (1504-1572)- Rome_files/,54,4116687,0,0,0,0,
paths_for_wikidata_isolates/Geni - Antonio Tabucchi (1943-2012)_files/,49,4109994,0,0,0,0,
paths_for_wikidata_isolates/Geni - Antônio Diogo da Silva Parreiras (1860-1937)- Niterói_files/,52,4107494,0,0,0,0,
paths_for_wikidata_isolates/Geni - Archiatre Nils Christian Edgar Oker-Blom (1919-1995)- Helsinki_files/,65,4134883,0,0,0,0,
paths_for_wikidata_isolates/Geni - Arie Noordtzij (1871-1944)- Lutry_files/,59,4194508,0,0,0,0,
paths_for_wikidata_isolates/Geni - Armas Emanuel Launis (Lindberg) (1884-1959)- Nice_files/,59,4204278,0,0,0,0,
paths_for_wikidata_isolates/Geni - Arnaldo Deodato da Fonseca Rozeira (1912-1984)- Lordelo do Ouro_files/,50,4105363,0,0,0,0,
paths_for_wikidata_isolates/Geni - Arne Carl-August Beurling (1905-1986)- Princeton_files/,54,4106965,0,0,0,0,
paths_for_wikidata_isolates/Geni - Arne Oddvar Dørumsgaard (1921-2006)- Marzio_files/,66,4186473,0,0,0,0,
paths_for_wikidata_isolates/Geni - Arne Rettedal (1926-2001)- Stavanger_files/,59,4122561,0,0,0,0,
paths_for_wikidata_isolates/Geni - Arnold Friedrich Victor Jacobi (1870-d.)_files/,53,4120879,0,0,0,0,
paths_for_wikidata_isolates/Geni - Arnt Rasmussen Møglestue (1770-1823)- Stavanger_files/,53,4200513,0,0,0,0,
paths_for_wikidata_isolates/Geni - Arthur Isak Edvard Långfors (1881-1959)- Helsinki_files/,59,4289127,0,0,0,0,
paths_for_wikidata_isolates/Geni - Arvi Antti Ilmari Sovijärvi (1912-1995)- Helsinki_files/,52,4190696,0,0,0,0,
paths_for_wikidata_isolates/Geni - Arvid Edvard Blomqvist (1869-1932)_files/,69,4227725,0,0,0,0,
paths_for_wikidata_isolates/Geni - Arvo Kunto Viljanti (Wiklund) (1900-1974)- Turku_files/,51,4103956,0,0,0,0,
paths_for_wikidata_isolates/Geni - August Allebé (1838-1927)- Amsterdam_files/,55,4111329,0,0,0,0,
