geni_id	label	why
6000000008542267056	Tillie Betsy Amundson	P3373 sibling Q141189109 held: over the 60-a-day cap
6000000008542390878	Paul Oscar Amundson	P3373 sibling Q141514919 held: over the 60-a-day cap
6000000008561774121	Ole Olsen Foss	P3373 sibling Q141493142 held: over the 60-a-day cap
6000000008561774121	Ole Olsen Foss	P3373 sibling Q141526586 held: over the 60-a-day cap
6000000008561774121	Ole Olsen Foss	P3373 sibling Q141283505 held: over the 60-a-day cap
6000000008561774121	Ole Olsen Foss	P3373 sibling Q141442982 held: over the 60-a-day cap
6000000008589462082	Guttorm Haldorsson Rolstad	P3373 sibling Q141499751 held: over the 60-a-day cap
6000000008590056644	Bothild Alfsdatter	P3373 sibling Q141498965 held: over the 60-a-day cap
6000000008605117809	Mikael von Törne	P3373 sibling Q141522233 held: over the 60-a-day cap
6000000008605117809	Mikael von Törne	P3373 sibling Q141224841 held: over the 60-a-day cap
6000000008605117809	Mikael von Törne	P3373 sibling Q141522073 held: over the 60-a-day cap
6000000008605117809	Mikael von Törne	P3448 stepparent Q116761407 held: over the 40-a-day cap
6000000008627562036	Karen Johannesdatter Hodne	P3373 sibling Q141422293 held: over the 60-a-day cap
6000000008627562036	Karen Johannesdatter Hodne	P3373 sibling Q141448512 held: over the 60-a-day cap
6000000008627562036	Karen Johannesdatter Hodne	P3448 stepparent Q141520422 held: over the 40-a-day cap
6000000008634800417	Johannes Olsen Øystre Bore	P3448 stepparent Q141516652 held: over the 40-a-day cap
6000000008640492844	Ugo duca e marchese di Toscana	P3373 sibling Q14917577 held: over the 60-a-day cap
6000000008640680934	James Graham	P3373 sibling Q76113251 held: over the 60-a-day cap
6000000008646995931	Bellest Ingemundsen Espedal	P3448 stepparent Q141198435 held: over the 40-a-day cap
6000000008649576625	Carl Bengtsson Ribbing af Koberg RSO	P3373 sibling Q6070068 held: over the 60-a-day cap
6000000008649822236	Magnus Fredrik Brahe	P3448 stepparent Q135091394 held: over the 40-a-day cap
6000000008650680292	Fredrik Georg Strömfelt	P3373 sibling Q141510713 held: over the 60-a-day cap
6000000008659181816	Carl Benzelstierna	P3373 sibling Q5570931 held: over the 60-a-day cap
6000000008659181816	Carl Benzelstierna	P3448 stepparent Q141521078 held: over the 40-a-day cap
6000000008671450891	Christina Graan	P3373 sibling Q141382096 held: over the 60-a-day cap
6000000008681870697	Muhsin Al-Hashemi	P3373 sibling Q1111208 held: over the 60-a-day cap
6000000008686086151	Peder Eriksen Koll	P3373 sibling Q141422226 held: over the 60-a-day cap
6000000008686086151	Peder Eriksen Koll	P3373 sibling Q141492692 held: over the 60-a-day cap
6000000008686109792	Ragnhild Eyvindsdotter Byre	P3373 sibling Q141352258 held: over the 60-a-day cap
6000000008686109792	Ragnhild Eyvindsdotter Byre	P3373 sibling Q141442306 held: over the 60-a-day cap
6000000008686123329	Roald Belestson Bokn	P3373 sibling Q141522947 held: over the 60-a-day cap
6000000008686123329	Roald Belestson Bokn	P3373 sibling Q141487996 held: over the 60-a-day cap
6000000008686123357	Rasmus Bellestson Byre	P3373 sibling Q141525996 held: over the 60-a-day cap
6000000008686123357	Rasmus Bellestson Byre	P3373 sibling Q141487996 held: over the 60-a-day cap
6000000008686123361	Peder Bellestsen Byre	P3373 sibling Q141525996 held: over the 60-a-day cap
6000000008686123361	Peder Bellestsen Byre	P3373 sibling Q141522947 held: over the 60-a-day cap
6000000008686123375	Malena Henriksdatter Lauvsnes	P3373 sibling Q141456363 held: over the 60-a-day cap
6000000008686123385	Peder Belestson Degn	P3373 sibling Q141457319 held: over the 60-a-day cap
6000000008686123385	Peder Belestson Degn	P3373 sibling Q141403524 held: over the 60-a-day cap
6000000008686123385	Peder Belestson Degn	P3373 sibling Q141198371 held: over the 60-a-day cap
6000000008686123441	Simon Ellingson Steinnes	P3373 sibling Q141443292 held: over the 60-a-day cap
6000000008686123441	Simon Ellingson Steinnes	P3373 sibling Q141447146 held: over the 60-a-day cap
6000000008686141238	Helga Ommundsdotter Vågen	P3373 sibling Q141494505 held: over the 60-a-day cap
6000000008686142082	Gunhild Bjørnsdatter Mele	P3373 sibling Q141515628 held: over the 60-a-day cap
6000000008686142082	Gunhild Bjørnsdatter Mele	P3373 sibling Q141198507 held: over the 60-a-day cap
6000000008686142082	Gunhild Bjørnsdatter Mele	P3373 sibling Q141526350 held: over the 60-a-day cap
6000000008686142082	Gunhild Bjørnsdatter Mele	P3448 stepparent Q141520305 held: over the 40-a-day cap
6000000008725409154	Helge Ånundsen Opstad	P3373 sibling Q141520176 held: over the 60-a-day cap
6000000008725505034	Astrid Helgesdatter Opstad	P3373 sibling Q141216456 held: over the 60-a-day cap
6000000008725505034	Astrid Helgesdatter Opstad	P3448 stepparent Q141436699 held: over the 40-a-day cap
6000000008725770698	Siri Einarsdatter Opstad	P3373 sibling Q141510726 held: over the 60-a-day cap
6000000008742716741	Elen Johannesdatter Opstad	P3448 stepparent Q141223740 held: over the 40-a-day cap
6000000008744642873	Ingeborg Tjærandsdatter Kleppe	P3373 sibling Q141442279 held: over the 60-a-day cap
6000000008744642873	Ingeborg Tjærandsdatter Kleppe	P3448 stepparent Q141526266 held: over the 40-a-day cap
6000000008778922864	Hedvig Eleonora von Fersen	P3373 sibling Q469962 held: over the 60-a-day cap
6000000008778922864	Hedvig Eleonora von Fersen	P3373 sibling Q455071 held: over the 60-a-day cap
6000000008778922864	Hedvig Eleonora von Fersen	P3373 sibling Q19312912 held: over the 60-a-day cap
6000000008778928032	Fabian Reinhold von Fersen	P3373 sibling Q469962 held: over the 60-a-day cap
6000000008778928032	Fabian Reinhold von Fersen	P3373 sibling Q455071 held: over the 60-a-day cap
6000000008778928032	Fabian Reinhold von Fersen	P3373 sibling Q3129338 held: over the 60-a-day cap
6000000008787350165	Ellen Marie Wang	P3373 sibling Q141440496 held: over the 60-a-day cap
6000000008787350165	Ellen Marie Wang	P3373 sibling Q141318593 held: over the 60-a-day cap
6000000008787382070		P3373 sibling Q141382101 held: over the 60-a-day cap
6000000008787382070		P3373 sibling Q141318593 held: over the 60-a-day cap
6000000008787555324	Harriet Edlund Haug	P3373 sibling Q141382101 held: over the 60-a-day cap
6000000008787555324	Harriet Edlund Haug	P3373 sibling Q141440496 held: over the 60-a-day cap
6000000008787909846	Beata Rosina Rosina Rosenstråle	P3448 stepparent Q141353709 held: over the 40-a-day cap
6000000008788618801	Beata Elisabet Siöblad	P3373 sibling Q136376387 held: over the 60-a-day cap
6000000008798323789	Johannes Jacobi Jacobi Bureus	P3373 sibling Q5590194 held: over the 60-a-day cap
6000000008798323789	Johannes Jacobi Jacobi Bureus	P3373 sibling Q110322747 held: over the 60-a-day cap
6000000008798323789	Johannes Jacobi Jacobi Bureus	P3373 sibling Q5590212 held: over the 60-a-day cap
6000000008826613541	Anna Catharina Christiernin	P3448 stepparent Q141523492 held: over the 40-a-day cap
6000000008831013351	Gustaf Harmens	P3373 sibling Q141382043 held: over the 60-a-day cap
6000000008840834179	Maria Elisabet Lagerfelt	P3373 sibling Q5931081 held: over the 60-a-day cap
6000000008840834179	Maria Elisabet Lagerfelt	P3373 sibling Q141244211 held: over the 60-a-day cap
6000000008841047515	Fredrik Johan Gyllencreutz	P3448 stepparent Q141249618 held: over the 40-a-day cap
6000000008854449193	Beata Sofia Spens	P3373 sibling Q141312990 held: over the 60-a-day cap
6000000008854449193	Beata Sofia Spens	P3373 sibling Q141499770 held: over the 60-a-day cap
6000000008860325575	Truls Larsen Meling	P3373 sibling Q141520848 held: over the 60-a-day cap
6000000008860596253	Karen Halvardsdatter Helland	P3448 stepparent Q141498811 held: over the 40-a-day cap
