qid	lang	label
Q105554455	mul	Esther Griner|Crider
Q105554455	nl	Esther Griner|Crider
Q105767160	en	Eden|Idonea Hunt
Q105767160	mul	Eden|Idonea Hunt
Q105767160	nl	Eden|Idonea Hunt
Q105768306	en	Jane|Elizabeth|Joan Beaumont
Q105768306	mul	Jane|Elizabeth|Joan Beaumont
Q105768306	nl	Jane|Elizabeth|Joan Beaumont
Q105768384	en	Agnes|Alice de Grey
Q105768384	mul	Agnes|Alice de Grey
Q105768384	nl	Agnes|Alice de Grey
Q105768731	en	Hawise|Helwise de Lancaster, Baroness Kendal
Q105768731	mul	Hawise|Helwise de Lancaster, Baroness Kendal
Q105768731	nl	Hawise|Helwise de Lancaster, Baroness Kendal
Q105768735	en	Hawise|Helwise de Stuteville
Q105768735	fr	Helewise de Stuteville
Q105768735	nl	Hawise|Helwise de Stuteville
Q105768735	ru	Элвиза де Статвиль
Q105770364	en	Joan|Jane Cheney (or Cheyne)
Q105770364	nl	Joan|Jane Cheney
Q105770439	en	Joan Penniles (Pennells|Pennalls)
Q105770439	nl	Joan Penniles
Q105770454	en	Joan|Margaret Cloford (Clawford)
Q105770454	nl	Joan|Margaret Cloford
Q105770456	en	John|Richard Floyer
Q105770456	mul	John|Richard Floyer
Q105770456	nl	John|Richard Floyer
Q105770518	en	Ellen|Ele Mallett (Malet)
Q105770518	nl	Ellen|Ele Mallett
Q105770525	en	Joane|Joan de la More (Delamere)
Q105770525	nl	Joane|Joan de la More
Q105771252	en	Anne|Agnes Plumpton (or Plompton)
