qid,current_en,geni_id,sex,via_relation,via_qid,proposed_en
Q116172114,NN,,F,spouse,Q3405177,wife of Henry FitzRoy
Q110383325,NN,,F,child,Q4725860,mother of Alice FitzRoy
Q110315134,NN,,F,child,Q57610871,mother of Constance FitzRoy
Q110315255,NN,,F,spouse,Q55348864,wife of Geoffrey de Vendôme
Q110520474,NN,,F,child,Q61750996,mother of Bernard de Saint Valery
Q112974573,NN,,M,child,Q112974572,father of NN Varensbeke
Q103782783,NN,,M,child,Q110386240,father of Mattias Laurensån 'Kafle'
Q104550343,NN,,F,child,Q104550340,"mother of Anders Gudmundsson (Röd, Ekeblad), Lord of Hedåker and of Torp"
Q106503696,NN,,F,child,Q106503667,mother of Thomas Killigrew
Q104471756,NN,,F,child,Q75339127,mother of Anne Cavendish
Q105873095,NN,,F,child,Q105873093,"mother of David Graham, of Duntrune"
Q105877969,NN,,F,child,Q105877964,mother of Samuel Baker
Q110370089,NN,,F,child,Q110370086,mother of Margaretha von Mordax
Q106072273,NN,,F,child,Q106072267,mother of Johann (Hans) Deutz
Q106704201,NN,,F,child,Q106704198,"mother of John Garraway, of London"
Q96074297,Unknown,,F,spouse,Q59531630,wife of Wolfgang Heisenberg
Q113558613,NN,,F,child,Q113558612,mother of Yolande bâtarde de Bourgogne
Q136222158,NN,,F,child,Q4596889,"mother of Isabella of Portugal, Lady of Viseu"
Q110601809,NN,,F,child,Q110601806,mother of Pierre Blosset
Q110355956,NN,,F,child,Q3695142,mother of Cosimo di Giulio de' Medici
Q108923954,NN,,F,child,Q108923949,mother of Reinhard von Neipperg
Q110386435,NN,,F,child,Q110386433,mother of Giovanni Paolo Dell'Anguillara
Q102542986,NN,,F,spouse,Q102542835,wife of Gunther von Arnstein
Q109533561,NN,,F,child,Q109533559,mother of Péter Forgács de Kozmál et Gimes (Ghymes)
Q110152487,NN,,F,child,Q110152485,mother of Anna von Lühe
Q110302502,NN,,F,spouse,Q110302499,wife of Fernan Alvarez de Tovar
Q110426541,NN,,F,spouse,Q1497864,"wife of Ludolf, Graf von Dassel"
Q110362794,NN,,F,child,Q110362730,mother of Miklós Kornis de Homoród-Szent-Pál
Q110362707,NN,,F,child,Q110362123,mother of László Bánffy de Mogyoró
Q110363204,NN,,F,child,Q110362036,mother of Gergely Bethlen de Bethlen
Q110364873,NN,,F,spouse,Q110364861,wife of Piotr Bukowiecki
Q110380856,NN,,F,child,Q26270975,mother of Louis de Savoie-Raconis
Q110505532,NN,,F,child,Q110505529,mother of Jeanne de Trez
Q110851010,NN,,F,child,Q110851009,"mother of Haakana Frille, District judge of Halikko"
Q130334557,NN,,F,child,Q130334556,"mother of Duke Erik Knudsen, knight, hertig til Sønder Halland, High Seneschal of Denmark"
Q130334559,NN,,M,child,Q130334558,father of Elisabeth
Q110704748,NN,,F,child,Q21535084,mother of Richard Jean de Nerée
Q116150113,NN,,F,spouse,Q689152,"wife of Mieszko I, Duke of Cieszyn"
Q98699156,NN,,F,child,Q98699148,"mother of Otto Tuve, Lord of Püssi and Maidla"
Q112647925,NN,,F,child,Q112647918,mother of Baron Antal Hunyady de Kéthely
Q136385100,NN,,F,child,Q136385098,"mother of Jyrgi Urangele, lord of Joesse & Pöderisi"
Q105905302,NN,,F,child,Q105905298,mother of Pieter Willemsz. Hooft
Q113928558,NN,,F,child,Q113928541,mother of Margaret Fell
Q110578326,NN,,F,father,Q24260521,daughter of Thibaud of Montlhéry
Q116033695,NN,,F,child,Q116033693,"mother of Huart von Elter, Herr von Hollenfels"
Q116040141,NN,,F,child,Q116040057,"mother of Devorgilla de Abernethy, Derbforgaill inghen Padraic a Obarneithic"
Q116087871,NN,,F,child,Q116087804,"mother of Girard bâtard de Neuchâtel, Seigneur de Verrière, Seigneur de Vautravers"
Q116172108,NN,,F,child,Q110361917,mother of László Matskási de Tinkova
Q116173324,NN,,F,child,Q116173321,mother of Christian Stewart
Q116480300,NN,,F,child,Q116480294,"mother of Henry Home, of Argaty"
Q116469332,NN,,F,child,Q116469329,mother of Doña Adriana del Mila
Q116090694,NN,,F,child,Q75492436,mother of Margaret Clifford
Q122358108,NN,,F,child,Q122358106,mother of Geertruyde Snels
Q110423485,NN,,F,child,Q110423484,mother of Lena Strozzi
Q111442600,NN,,F,child,Q56260299,mother of Ivan Naryshkin
Q111442606,NN,,F,child,Q56260308,mother of Ivan Rayevsky
Q110578219,NN,,F,spouse,Q110578218,wife of Josselin I de Parthenay
Q96075253,Unknown,,F,spouse,Q96074995,wife of Herbert Arthur Lewes
Q96087987,Unknown,,M,spouse,Q445005,husband of Grace Elliott
Q111464858,NN,,F,child,Q75492418,mother of Joan Poynings
Q100439648,NN,,F,child,Q100439641,mother of Margaret of Swabia
Q110102167,NN,,F,child,Q110102161,mother of Pierre Pasques de Chavonnes
Q109335092,NN,,F,child,Q96088125,mother of Susannah Stokes
Q116119459,NN,,M,spouse,Q116119460,husband of NN von Salm
Q135617441,NN,,M,father,Q135617442,son of Colonel Jaakkima
Q130334064,NN,,F,child,Q130334062,mother of Thecla Maria Magdalena Schmitz
Q98699243,NN,,F,child,Q98698499,mother of Elizabete de Ungaria
Q116004686,NN,,F,child,Q27186762,mother of Saura of Majorca
Q130359560,NN,,F,child,Q21723130,mother of Illarion Gavrilovich Vorontstov
Q96081786,Unknown,,F,spouse,Q5077854,wife of Charles Frederick Hutchinson
Q121745801,NN,,F,child,Q121745793,mother of Semon Romanovich Volkonsky
Q116168632,NN,,F,child,Q76012376,mother of Giofu d'Avranches
Q116474215,NN,,F,child,Q116474213,mother of Alexandra Janovsky
Q112971407,NN,,F,father,Q114947147,daughter of Vasiliy Pavlovich Baratansky
Q110616723,NN,,F,child,Q5952722,mother of John of Castile
Q101402709,NN,,F,child,Q101402708,"mother of Doña Maria de Castilla, Señora de Olmeda"
Q110616695,NN,,F,child,Q110616678,"mother of Pedro Enriquez de Castilla, 1.Señor de Camporredondo"
Q97102343,NN,,F,child,Q97102319,mother of Mary Anne Sheffield
Q110363354,NN,,F,child,Q1464470,mother of Miklós Wesselényi
