record,line_number,tag,as_stored,reconstructed,evidence
@F6000000001505042735@,10468160,PLAC,Malm°,Malmø,degree-not-ordinal
@F6000000001505060390@,10468331,PLAC,"K°benhavn, Danmark","København, Danmark",degree-not-ordinal
@F6000000001505060533@,10468394,PLAC,K°benhavns slot,Københavns slot,degree-not-ordinal
@F6000000001505060974@,10468524,PLAC,"K°benhavn, Danmark","København, Danmark",degree-not-ordinal
@F6000000001505075515@,10469016,PLAC,"K°benhavn, Danmark","København, Danmark",degree-not-ordinal
@F6000000001505081831@,10469356,PLAC,"K°benhavn, Danmark","København, Danmark",degree-not-ordinal
@F6000000001505081857@,10469364,PLAC,Malm°,Malmø,degree-not-ordinal
@F6000000001505084955@,10469424,PLAC,"Malm°, Malm°hus Len, Sverige","Malmø, Malmøhus Len, Sverige",degree-not-ordinal
@F6000000001505084959@,10469432,PLAC,"K°benhavn, Danmark","København, Danmark",degree-not-ordinal
@F6000000001505085037@,10469451,PLAC,"K°benhavn, Danmark","København, Danmark",degree-not-ordinal
@F6000000001505085740@,10469499,PLAC,Nµsbyholm,Næsbyholm,unambiguous
@F6000000001505085744@,10469506,PLAC,K°ge,Køge,degree-not-ordinal
@F6000000001505087173@,10469565,PLAC,K°benhavns slot,Københavns slot,degree-not-ordinal
@F6000000001505087351@,10469693,PLAC,K°benhavns slot,Københavns slot,degree-not-ordinal
@F6000000001505098464@,10469716,PLAC,"Ringk°bing, Danmark","Ringkøbing, Danmark",degree-not-ordinal
@F6000000001835554176@,10481164,PLAC,"Malm÷, Malm÷hus, Sverige","Malmö, Malmöhus, Sverige",unambiguous
@F6000000002750714386@,10517193,PLAC,"N°rre Vosborg, Ulvborg, Ringk°bing, Danmark","Nørre Vosborg, Ulvborg, Ringkøbing, Danmark",degree-not-ordinal
@F6000000002812689181@,10518852,PLAC,Tirsbµk,Tirsbæk,unambiguous
@F6000000002819126128@,10519198,PLAC,Aals°,Aalsø,degree-not-ordinal
@F6000000003164661209@,10536082,PLAC,"Malm÷, Malm÷hus, Sverige","Malmö, Malmöhus, Sverige",unambiguous
@F6000000003310002629@,10542092,PLAC,"K°benhavn, Danmark","København, Danmark",degree-not-ordinal
@F6000000004318537250@,10577420,PLAC,H°neborg,Høneborg,degree-not-ordinal
@F6000000004364325008@,10578256,PLAC,K°benhavns slot,Københavns slot,degree-not-ordinal
@F6000000004380073686@,10578434,PLAC,Malm°,Malmø,degree-not-ordinal
@F6000000004380417023@,10578444,PLAC,"K°benhavn, Danmark","København, Danmark",degree-not-ordinal
@F6000000006266535478@,10610154,PLAC,"Ringk°bing, Danmark","Ringkøbing, Danmark",degree-not-ordinal
@F6000000007170078818@,10634116,PLAC,"Ravnstrup, Herlufmagle,Prµst°,Danmark","Ravnstrup, Herlufmagle,Præstø,Danmark",unambiguous
@F6000000008959745020@,10676700,PLAC,K°benhavns slot,Københavns slot,degree-not-ordinal
@F6000000009624881634@,10690446,PLAC,╪lgod,Ølgod,unambiguous
@F6000000011287988032@,10715669,PLAC,"K°benhavn, Danmark","København, Danmark",degree-not-ordinal
@F6000000012121229793@,10727103,PLAC,"K°benhavn, Danmark","København, Danmark",degree-not-ordinal
