geni_id	qids	in_our_tree
318412396020001671	Q5298292	yes
318601737850005899	Q111967666	yes
318655785210003693	Q5936205	yes
318656376160003657	Q943158	yes
318711070310002468	Q21619568	yes
318716870060003633	Q5240252	yes
318717519770005174	Q75766075	yes
318765715310006657	Q1055001	yes
318777109910001410	Q10357075	yes
318829332330005182	Q104652327	yes
318868204980001411	Q2293135	yes
318993461260003726	Q37797	yes
3190995	Q4990251	yes
3191024	Q14763365	yes
3191056	Q29246727	yes
3191106	Q434685	yes
3191121	Q1682241	yes
3192178	Q2863223	yes
319223180790006726	Q113304492	yes
319430653710004103	Q7026073	yes
319432302160004154	Q931824	yes
319433220830003030	Q3806537	yes
319433236400006081	Q4018268	yes
319527856950002983	Q111737017	yes
319531479350005609	Q427649	yes
319572804350004177	Q21401800	yes
3196573	Q20057485	yes
319667969530002238	Q7020219	yes
319765386280005932	Q16930279	yes
319809943800002233	Q55680532	yes
3199660	Q77146	yes
319993187680002230	Q15432425	yes
320142818620004689	Q4865868	yes
320243970930005984	Q6771249	yes
320362380840002261	Q2831233	yes
320389428450004739	Q1345302	yes
3204031	Q16018343	yes
320406992050001497	Q117846612	yes
320417575650003460	Q5676965	yes
320427448810002279	Q1233706	yes
320431781420006354	Q1165946	yes
320479569550002277	Q1336853	yes
320607645750006367	Q4737653	yes
320636341070007953	Q47495102	yes
320699852630004676	Q3045172	yes
3207640	Q4493360	yes
320783923280006354	Q148732	yes
320895731020007961	Q30053247	yes
3210612	Q5889941	yes
321064659560006343	Q106871829	yes
3212082	Q355420	yes
3212163	Q16214092	yes
321301193860006364	Q28842917	yes
321712063480004890	Q139718575	yes
3217984	Q2472632	yes
3218620	Q105596034	yes
3218644	Q105596019	yes
3218818	Q104411575	yes
321994214770001817	Q11864530	yes
322045439670007396	Q1523106	yes
322121839500001843	Q108476179	yes
322160548410002359	Q450437	yes
322316581550007416	Q5368663	yes
322360559370006360	Q7498790	yes
322361499030007410	Q6267192	yes
322473901540005173	Q2896707	yes
322538688680005144	Q106090727	yes
322538858820007475	Q3174112	yes
3225663	Q50398160	yes
322585745700006376	Q104448606	yes
322586355040007423	Q104448602	yes
322587065400002363	Q104448627	yes
3226619	Q228789	yes
322743	Q3102550	yes
322783922380004236	Q111962063	yes
322784138170005284	Q106474978	yes
322785674750007630	Q95149613	yes
322818527630005234	Q134884575	yes
322852785790004274	Q6977252	yes
322966858250006397	Q111799	yes
322975210440007614	Q1290675	yes
322986988290002542	Q104422862	yes
323025972940001113	Q1827917	yes
323033638920005251	Q570006	yes
323055770750006402	Q23844165	yes
323074733960005276	Q712489	yes
323160693110007626	Q16066421	yes
323238442620004252	Q6752602	yes
323318351060002552	Q605719	yes
323411546170006445	Q283902	yes
323509137520006432	Q6837474	yes
323509876830001126	Q2909083	yes
323510072970004286	Q94735625	yes
323511023230006387	Q7043884	yes
323511649590004295	Q26265494	yes
323551002850001235	Q3188787	yes
323616944770005430	Q214454	yes
323637837010004393	Q105388891	yes
323644990590007777	Q1395725	yes
323685888490004442	Q16014367	yes
323727214470007817	Q98704434	yes
323744364600007795	Q5238561	yes
323769816320005393	Q98637439	yes
323770308500002743	Q731621	yes
323774370710005421	Q3372055	yes
323805332770007768	Q51973587	yes
323833133310004380	Q1991026	yes
323862676250006430	Q7017968	yes
323871011900004423	Q3560289	yes
323910305940006400	Q1357579	yes
323964854840004458	Q552424	yes
323965543300006395	Q5749980	yes
323976509540002753	Q6112998	yes
324181819050007815	Q110188151	yes
324182055790006385	Q6607726	yes
324182509110006402	Q7278420	yes
324183408440006371	Q55284446	yes
324185015570006374	Q2468086	yes
324186501290006427	Q6742524	yes
3242507	Q516008	yes
3242946	Q5623170	yes
3242989	Q42455	yes
3242997	Q55767397	yes
3243827	Q189797	yes
3243905	Q70225844	yes
324465869230001608	Q95396453	yes
324682004060007918	Q61198984	yes
324682119530005511	Q54949603	yes
324684511890002860	Q15997764	yes
324690902830001644	Q4982926	yes
3246985	Q321275	yes
324710701620004570	Q5105304	yes
324726936230005521	Q54950407	yes
324793666860005474	Q55676783	yes
324962506120001601	Q888567	yes
324965765750002853	Q109593822	yes
3251324	Q389678	yes
325183190800006379	Q218823	yes
325232124900005467	Q168724	yes
325232175610006379	Q467362	yes
325232449390001638	Q55294	yes
325232531290006417	Q432357	yes
325232927240001638	Q1351697	yes
325272309880001665	Q1401847	yes
325273502770007015	Q1401898	yes
325297165330007135	Q1401906	yes
325347175320005626	Q16131395	yes
325348026500007122	Q4803133	yes
3254571	Q1071782	yes
325551771910002054	Q20435703	yes
325596146610002049	Q6780378	yes
325616160710002063	Q6255309	yes
325668324410002217	Q115470790	yes
325709603440005745	Q5101590	yes
325774989990004832	Q21519411	yes
325779376540005705	Q2645696	yes
325779814220004813	Q1601867	yes
325784980810002176	Q449426	yes
325807366270006518	Q4802680	yes
325888825490004859	Q3340585	yes
325894914100005714	Q1095666	yes
326082531640001061	Q105466421	yes
326147168270006517	Q1159128	yes
326174797560005833	Q16930159	yes
326196261500004942	Q10289234	yes
326197958600007343	Q7349283	yes
326231213090002393	Q565802	yes
326345572140006481	Q104674543	yes
326350460580007333	Q116780549	yes
326370786760002383	Q974678	yes
326375434670005827	Q57260890	yes
326375698070004010	Q2561928	yes
326424737490007338	Q2428060	yes
326498872310004957	Q1493163	yes
326499559420005799	Q36654410	yes
326508903810002399	Q77833968	yes
326516443060007349	Q54805487	yes
326541533250007387	Q113601849	yes
326650633550005180	Q4112023	yes
3267640	Q4733523	yes
326791360050006012	Q2624233	yes
326821499970005219	Q6760022	yes
3268440	Q109318713	yes
326856309810006006	Q12786157	yes
326900965320007806	Q16746956	yes
326984607550007805	Q12368406	yes
327105927120002864	Q110183585	yes
327188156900004538	Q3051255	yes
327192833800001972	Q1360495	yes
327315847010007921	Q5667729	yes
3273210	Q105363017	yes
327340487250004538	Q16058432	yes
327410808350001912	Q5965375	yes
327450801920006953	Q434365	yes
327471091640007928	Q134961762	yes
327472716540006022	Q5722040	yes
327473226260001951	Q134961763	yes
327473857540004484	Q134961751	yes
327474676990005320	Q214085	yes
327483345970002848	Q1582222	yes
3277239	Q1635127	yes
327742668020002843	Q104411603	yes
327793475010007901	Q2975627	yes
3278363	Q4908034	yes
327872	Q11892444	yes
327877457260007000	Q793615	yes
327905656320005474	Q106590642	yes
327922872130007074	Q105527595	yes
3280379	Q20962418	yes
3280404	Q19665319	yes
3280931	Q88693142	yes
328659920600002077	Q2741172	yes
328735577460005609	Q12889381	yes
328763939650004911	Q6668282	yes
328766924470004935	Q5496547	yes
328803851210001352	Q20746769	yes
328818187170005673	Q91789669	yes
328837354080002249	Q11865560	yes
328940217720006048	Q95070422	yes
328989422950002313	Q105466049	yes
328996897600002321	Q5476568	yes
329000039710004964	Q11900463	yes
329033412250004967	Q100780163	yes
329131676240005743	Q6128053	yes
329173307430007448	Q131582493	yes
329312631660007410	Q59885	yes
329364476460007445	Q10285051	yes
329526614800006140	Q6386825	yes
329669186110007531	Q27044049	yes
3296728	Q91662945	yes
3298032	Q3613545	yes
329814817500004149	Q2849011	yes
329839119120006184	Q13077259	yes
3298783	Q41884954	yes
329896113710004159	Q5297658	yes
329936046790004148	Q118917046	yes
3299538	Q786052	yes
330009986930007579	Q4357099	yes
330023360830007576	Q107686457	yes
330119090380005849	Q107690045	yes
330163238830004113	Q16578169	yes
330180945810004156	Q5489730	yes
330182219800007574	Q138359408	yes
330271830790002487	Q2588404	yes
330366646880007603	Q12765612	yes
330734844600001888	Q13189017	yes
330762873170007755	Q63560	yes
330806669710001907	Q2591457	yes
331036813150007845	Q106810091	yes
331169566340010087	Q260510	yes
331211172480014066	Q104703950	yes
331260023590011027	Q12351079	yes
331287196970002700	Q2674098	yes
331308613520013145	Q1663420	yes
3313107	Q6166925	yes
331404143300011380	Q6142501	yes
331420431280002117	Q22004058	yes
331514873640011337	Q2045127	yes
331536862800010421	Q114115074	yes
331555692510010443	Q3438783	yes
331568956300001669	Q4829394	yes
331623743980013375	Q5217570	yes
331631272630002197	Q15996993	yes
331673932720010454	Q108325033	yes
3316785	Q6256552	yes
331691861360011369	Q1459716	yes
332036262160010687	Q6198844	yes
332329261850014975	Q50820471	yes
