geni_id	qids	sources
6000000074768449078	Q10514395;Q45403124	structural;wikidata-p2600
6000000074788489973	Q45422574;Q45422578	structural;wikidata-p2600
6000000074788652833	Q45499807;Q8070754	structural;wikidata-p2600
6000000074825133860	Q115574147;Q55849619	wikidata-p2600
6000000075060318079	Q22813496;Q45424433	structural;wikidata-p2600
6000000075328100121	Q15906143;Q45418855	structural;wikidata-p2600
6000000075338049891	Q45419218;Q45419220	structural;wikidata-p2600
6000000075344619836	Q45420608;Q45420611	structural;wikidata-p2600
6000000075344672919	Q45554691;Q45554753	structural;wikidata-p2600
6000000075346422846	Q45420107;Q45420123	structural;wikidata-p2600
6000000075368264852	Q11534053;Q45420293	structural;wikidata-p2600
6000000075375326821	Q45422204;Q45422715	structural;wikidata-p2600
6000000075402644915	Q45422391;Q45422393	structural;wikidata-p2600
6000000075706881850	Q101402688;Q134986469	structural;wikidata-p2600
6000000080795286877	Q2502260;Q4097582	structural;wikidata-p2600
6000000080795374822	Q13478492;Q2625725	structural;wikidata-p2600
6000000080799128829	Q13031603;Q73612935	structural;wikidata-p2600
6000000080877835024	Q13028650;Q2632610	structural;wikidata-p2600
6000000082435353967	Q110386433;Q139587303	structural;wikidata-p2600
6000000086468284005	Q111906830;Q66777976	wikidata-p2600
6000000105178186821	Q134986474;Q141791	structural;wikidata-p2600
6000000105706792946	Q110410743;Q128070478	wikidata-p2600
6000000114769597853	Q128605645;Q129995291	structural;wikidata-p2600
6000000122737965912	Q23988466;Q6170702	wikidata-p2600
6000000128935864261	Q134986452;Q778550	structural;wikidata-p2600
6000000128936608973	Q134986092;Q2869609	structural;wikidata-p2600
6000000130737087039	Q120759118;Q131480109	wikidata-p2600
6000000177524980865	Q76068622;Q77251	structural;wikidata-p2600
6000000178715103822	Q105454550;Q105512921	wikidata-p2600
6000000178795370821	Q135489963;Q135489965	structural;wikidata-p2600
6000000179964487850	Q104704111;Q104811700	wikidata-p2600
6000000181286447901	Q15914619;Q709067	wikidata-p2600
6000000186712720840	Q135657856;Q140502546	wikidata-p2600
6000000190348432821	Q3510235;Q55856631	wikidata-p2600
6000000201641958861	Q128197913;Q138297797	wikidata-p2600
6000000219324635826	Q135107221;Q135107244;Q135107247;Q135107434;Q135107514	wikidata-p2600
6000000222203355825	Q2150277;Q2424758	wikidata-p2600
