qid,mul_value,duplicate_langs,live_en,live_mul
Q101247737,(squire) Antrei,en,(squire) Antrei|Anders,(squire) Antrei|Anders
Q101247780,Hamfrid Jonsdotter i Stola,en nl,Hamfrid|Holmfrid Jonsdotter i Stola,Hamfrid|Holmfrid Jonsdotter i Stola
Q101247851,Johan Knutsson [Tre Rosor],en nl,Johan|Jons Knutsson [Tre Rosor],Johan|Jons Knutsson [Tre Rosor]
Q101247939,"Katrine Jonsdottir av Sudreim, heiress of Manvik & Soerum",en nl,"Katrine|Katharina Jonsdottir av Sudreim, heiress of Manvik & Soerum","Katrine|Katharina Jonsdottir av Sudreim, heiress of Manvik & Soerum"
Q101248441,Emil Kettilbjörnsson [Gren på Ål],en nl,Emil|Erengisle Kettilbjörnsson [Gren på Ål],
Q101248660,Karin Algotsdotter de Westrogothia,en nl,Karin|Catharina Algotsdotter de Westrogothia,Karin|Catharina Algotsdotter de Westrogothia
Q101248672,Jon Hemmingsson [Lejonansikte],en nl,Jon|Johan Hemmingsson [Lejonansikte],Jon|Johan Hemmingsson [Lejonansikte]
Q101248686,"Maunu Olafsson [Kase], Castellan of Häme",en nl,"Maunu|Magnus Olafsson [Kase], Castellan of Häme","Maunu|Magnus Olafsson [Kase], Castellan of Häme"
Q101249015,Catuna,en nl,Catuna|Criejna?,Catuna|Criejna?
Q101249093,Agnes 'Anne Cater,en nl,Agnes 'Anne|Annis' Cater,Agnes 'Anne|Annis' Cater
Q101348684,Guta von Rheinberg,en nl,Guta|Gutchen von Rheinberg,Guta|Gutchen von Rheinberg
Q101349585,Maria Hase von Dievelich,en nl,Maria|Margarethe Hase von Dievelich,Maria|Margarethe Hase von Dievelich
Q101353962,Anna von Saarbrücken,en nl,Anna|Adelheid von Saarbrücken,Anna|Adelheid von Saarbrücken
Q101354054,Elise de Moncler,en nl,Elise|Elisabeth de Moncler,Elise|Elisabeth de Moncler
Q101354074,Jakob de Moncler,en nl,Jakob|Jacques de Moncler,Jakob|Jacques de Moncler
Q101354234,"Lisa Bayer von Boppard, Heiress of Bayon",en nl,"Lisa|Liza Bayer von Boppard, Heiress of Bayon",
Q101402724,"Isabella de Guzmán, Señora de Gibraleon",en nl,"Isabella|Elvira de Guzmán, Señora de Gibraleon","Isabella|Elvira de Guzmán, Señora de Gibraleon"
Q101403711,Condesa Aldonza Gonzalez,en nl,Condesa Aldonza|Ildonca Gonzalez,Condesa Aldonza|Ildonca Gonzalez
Q101404581,Catherine Cumberworth,en nl,Catherine|Katherine Cumberworth,Catherine|Katherine Cumberworth
Q101404588,Joan Pickering,en nl,Joan|Jane Pickering,Joan|Jane Pickering
Q101404601,Ellen de Montagu,en nl,Ellen|Alianore de Montagu,Ellen|Alianore de Montagu
Q101404846,Maud de Bokill (Bokell),en,Maud|Matilda de Bokill (Bokell),
Q101404851,Jane Leyston,en nl,Jane|Joan Leyston,Jane|Joan Leyston
Q101518816,Mecella z Rožmberka,en,Mecella|Metze z Rožmberka,
Q101518967,Elisabeth von Runkel,en,Elisabeth|Elsa von Runkel,
Q101523517,Anne Apulderfield,en nl,Anne|Mary Apulderfield,Anne|Mary Apulderfield
Q101523537,Jane Elryngton,en nl,Jane|Elizabeth Elryngton,Jane|Elizabeth Elryngton
Q102147120,Margaret Fleming,en nl,Margaret|Marion Fleming,Margaret|Marion Fleming
Q102151346,Maud Quatermain (Quatremain),en,Maud|Matilda Quatermain (Quatremain),Maud|Matilda Quatermain (Quatremain)
Q102151350,Thomas Quatremain,en,Thomas Quatremain (Quatermain|Quartermayne/Quartermain),Thomas Quatremain (Quatermain|Quartermayne/Quartermain)
Q102151382,Alice Pembrugge (Pembridge),en,Alice|Amice Pembrugge (Pembridge),
Q102151391,"John Grendon, of Gayton",en,"John Grendon, of Gayton|Grendon","John Grendon, of Gayton|Grendon"
Q102158483,Maud Oldcastle,en nl,Maud|Matilda Oldcastle,Maud|Matilda Oldcastle
Q102352274,"John Busard, of Ditchingham",en nl,"John|Roger Busard, of Ditchingham","John|Roger Busard, of Ditchingham"
Q102516306,Albrecht Volland,en nl,Albrecht|Auberlin Volland,Albrecht|Auberlin Volland
Q102516540,"Utz Schwelcher von Tachenhausen, Edelknecht",en nl,"Utz|Ulrich Schwelcher von Tachenhausen, Edelknecht","Utz|Ulrich Schwelcher von Tachenhausen, Edelknecht"
Q102819638,"Catherine Haye-Jousselin, dame de Fougeray",en nl,"Catherine|Louise Haye-Jousselin, dame de Fougeray","Catherine|Louise Haye-Jousselin, dame de Fougeray"
Q102824060,"Tegaine de Greguen, Heiress de Foretic",en nl,"Tegaine|Tiephaine de Greguen, Heiress de Foretic","Tegaine|Tiephaine de Greguen, Heiress de Foretic"
Q102826839,Jeanne Péane,en,Jeanne Péane (Peau|Payen),
Q102832024,Olive de L'Isle-Jourdain,en nl,Olive|Olbric de L'Isle-Jourdain,
Q102836339,"Grimoard Bouchard, Seigneur d'Aubeterre",en nl,"Grimoard|Guy Bouchard, Seigneur d'Aubeterre","Grimoard|Guy Bouchard, Seigneur d'Aubeterre"
Q102836376,Jeanne Chenin,en nl,Jeanne|Urbaine Chenin,Jeanne|Urbaine Chenin
Q102836588,"Payen III de Maillé, Seigneur de Brézé",en nl,"Payen|Paen III de Maillé, Seigneur de Brézé",
Q102837376,Pleso de Launay,en nl,Pleso|Jeanne de Launay,Pleso|Jeanne de Launay
Q102837454,"Perrinelle d'Amboise, Dame de Fontenay et Rochecorban",en nl,"Perrinelle|Petronelle d'Amboise, Dame de Fontenay et Rochecorban",
Q102837820,Geoffroy de Mareuil,en nl,Geoffroy|Geoffrey de Mareuil,Geoffroy|Geoffrey de Mareuil
Q102838056,Anne de Bauffremont,en nl,Anne|Agnès de Bauffremont,Anne|Agnès de Bauffremont
Q102838072,"Edmé de Baudoncourt, seigneur de beire",en nl,"Edmé|Aimé de Baudoncourt, seigneur de beire","Edmé|Aimé de Baudoncourt, seigneur de beire"
Q102857028,"Murza Vaqqas beg, Khan of Nogai horde",en nl,"Murza Vaqqas|Aqaz beg, Khan of Nogai horde","Murza Vaqqas|Aqaz beg, Khan of Nogai horde"
Q102859022,"Dmitry Jurijevitch (Georgijevitch), Prince of Cholm",en nl,"Dmitry Jurijevitch| (Georgijevitch), Prince of Cholm",
Q103220335,Jane Empson,en nl,Jane|Joan Empson,Jane|Joan Empson
Q103220432,"Sybil Fettiplace, of Stokenchurch",en nl,"Sybil|Anne Fettiplace, of Stokenchurch","Sybil|Anne Fettiplace, of Stokenchurch"
Q103220505,Agnes Lovingcott (Lovingott),en,Agnes|Anne Lovingcott (Lovingott),
Q103774892,Winrich von Fahrensbach,en nl,Winrich|Henrik von Fahrensbach,Winrich|Henrik von Fahrensbach
Q103782013,"Joachim Hermansen Flemming, lord of Knudstrup",en nl,"ridder Joachim|Jakob Hermansen Flemming, lord of Knudstrup","ridder Joachim|Jakob Hermansen Flemming, lord of Knudstrup"
