geni_id,label,description,pair_count,is_collision
6000000004121661806,NN,"died Munster, Ireland",6,yes
6000000004122067349,Madeleine Theriault,"born 1727 Cobequid, Acadia",2,yes
6000000004122067356,Madeleine Theriault,"born 1727 Cobequid, Acadia",2,yes
6000000004122067402,Marguerite Theriault,"born 1732 Cobequid, Acadia",2,yes
6000000004122067450,Marguerite Theriault,"born 1732 Cobequid, Acadia",2,yes
6000000004273024094,Astrid Liv Lunde,born 28 Jun 1939,2,yes
6000000004289995031,Elizabeth Trembath,born 1820,2,yes
6000000004394427003,Abraham Houser,8 Feb 1813 - 8 Mar 1898,2,yes
6000000004533544517,NN,"(Macedonia), Greece - (Macedonia), Greece",2,yes
6000000004533699752,Wojsława von Rügen,"circa 1130 Pomerania, Poland - 1172 Mecklenburg, Germany",2,yes
6000000004558385752,Samuel Cornell,1702 - 1768,2,yes
6000000004594270610,Clement Carrington Read,1805 - 25 Jun 1872,2,yes
6000000004868812277,NN,Egypt - Egypt,4,yes
6000000004957959914,John Doss,1749 - 4 Dec 1833,2,yes
6000000004995458367,Isabel de Castro,born circa 1480,2,yes
6000000005049052310,NN,born circa 900,3,yes
6000000005061088479,Gwrgeneu Fychan ap Gwrgeneu,born circa 1155,2,yes
6000000005234788374,Albert Baugh,"12 May 1878 Lincoln County, Kentucky - 15 Jun 1878 Lincoln County, Kentucky",2,yes
6000000005234788383,Minney J. Baugh,born circa 1874 Kentucky,2,yes
6000000005234788391,Sultana M. Baugh,born circa 1871 Kentucky,2,yes
6000000005234788399,Anna B. Baugh,born circa 1869 Kentucky,2,yes
6000000005234788423,Albert Baugh,"12 May 1878 Lincoln County, Kentucky - 15 Jun 1878 Lincoln County, Kentucky",2,yes
6000000005234788432,Minney J. Baugh,born circa 1874 Kentucky,2,yes
6000000005234788440,Sultana M. Baugh,born circa 1871 Kentucky,2,yes
6000000005234788447,Anna B. Baugh,born circa 1869 Kentucky,2,yes
6000000005392032313,Domingo Rebollo,born circa 1600,2,yes
6000000005410625716,NN,born circa 1440,3,yes
6000000005438193790,NN,"born Vik i Sogn, Nwy",2,yes
6000000005618914836,Karolina Jakobsdotter,born 11 May 1841 Bjurholm (AC),2,yes
6000000005619054635,Sara Sofia Lovisa Jakobsdotter,born 10 Jan 1840 Bjurholm (AC),2,yes
6000000005642002724,Maria da Silva,born circa 1505,2,yes
6000000005646637060,Maria da Silva,born circa 1570,2,yes
6000000005652423007,Joana da Silva,born circa 1500,3,yes
6000000005745083280,Torstein Monsen Lunde,born 1790,2,yes
6000000005747728052,NN,born circa 400,2,yes
6000000005747740902,NN Meliteus,born Greece,3,yes
6000000005747740908,NN Meliteus,born Greece,3,yes
6000000005747740934,NN Meliteus,born Greece,3,yes
6000000006127899036,Kristina Persdotter,"1632 Husby, Dalarnas län, Sverige - 1659 Stora Skedvi, Dalarnas län, Sverige",2,yes
6000000006127899047,Kristina Persdotter,"1632 Husby, Dalarnas län, Sverige - 1659 Stora Skedvi, Dalarnas län, Sverige",2,yes
6000000006143785001,Maria de Menezes,born circa 1520,2,yes
6000000006159520026,NN,born circa 1220,3,yes
6000000006232934492,Leonor de Noronha,born circa 1480,2,yes
6000000006245630001,Isabel de Castro,born circa 1470,3,yes
6000000006338375511,Sigewulf,died 905,2,yes
6000000006346873700,Per Nilsson,born circa 1510,2,yes
6000000006347010610,Magdalena Margareta Persdotter,"14 Mar 1784 Ljusvattnet, Burträsk sn (AC) - 8 Feb 1856 Ljusvattnet, Burträsk sn (AC)",2,yes
6000000006427578875,Maria de Sousa,born circa 1460,2,yes
6000000006590150777,Börje Andersson,born 15 Sep 1739,2,yes
6000000006595682023,Börje Andersson,born 15 Sep 1739,2,yes
6000000006744570039,Neferhetepes,born Egypt,2,yes
6000000006971295513,NN,Europe - Europe,6,yes
6000000007151018395,NN,born circa 1165,3,yes
6000000007151504512,Mary Tresise,born 1704,2,yes
6000000007151573296,Walter Olifard,died 1242,2,yes
6000000007151927551,Alice Fitzwarin,"1285 Upton Magna, Shropshire, , England - 15 May 1333",2,yes
