qid	geni_id
Q6001924	6000000006843663098
Q6003542	6000000005393641057
Q6011791	5162596157650107309
Q6015299	6000000012734285538
Q6015541	6000000015641235004
Q6030927	6000000178610318884
Q6048491	6000000006101366655
Q6050337	6000000000716048376
Q6054405	6000000008941280324
Q6054443	6000000006838693094
Q6062259	6000000006127928348
Q6066017	6000000012536650979
Q6066136	6000000026429030905
Q6069858	6000000029247327107
Q6069928	6000000003493151393
Q6078121	6000000003210259143
Q6082642	6000000004548321013
Q6085283	6000000005250802265
Q6085615	6000000097056267656
Q6093933	6000000015781780072
Q6137930	6000000016751267519
Q6141740	6000000008521840258
Q6177449	6000000007564120594
Q6180419	6000000003645683608
Q6183620	6000000034688810591
Q6184858	6000000006127346477
Q6188549	6000000001951142201
Q6188560	6000000005684618001
Q6195633	6000000082325703236
Q6215610	6000000006128193232
Q6215643	6000000006127576868
Q6219947	6000000003752246792
Q6228008	6000000009801963679
Q6230226	6000000003908208411
Q6231116	6000000013539409733
Q6233583	6000000025652866891
Q6235504	6000000069751770335
Q6240991	6000000008803328924
Q6240996	4561480
Q6246789	6000000011319002067
Q6247235	6000000017596662293
Q6255102	6000000015642979756
Q6259734	6000000005598373985
Q6264414	6000000011263231760
Q6265035	347979870700012691
Q6371586	6000000000075498067
Q6377648	6000000001381063554
Q6658418	6000000049954916883
Q6968858	6000000061292941979
Q7031435	6000000007301639475
Q7183080	6000000006727845806
Q7214248	6000000028786845951
Q7237531	6000000003645870907
Q7288325	6000000020170789302
Q7290716	6000000028732876345
Q7307192	6000000001744828835
Q7359191	6000000005565150882
Q7458642	6000000012762279576
Q7480137	6000000189960169823
Q7527081	6000000010321357074
Q7530303	6000000018211648643
Q7607263	6000000004287302028
Q7613001	6000000006444334155
Q7664534	6000000001380983518
Q7788471	6000000007121623593
Q7810305	6000000009144912137
Q7851444	6000000190257196853
Q7878975	6000000001272026560
Q7961411	6000000019270360342
Q7991612	6000000189960074826
Q8007948	6000000022659156785
Q8199849	6000000000114360346
Q8262857	6000000023167303575
Q8963478	6000000003493287388
Q9157762	6000000008207725329
Q9161062	6000000002838116082
Q9250027	6000000007554051290
Q9255755	6000000002188002834
Q9288219	6000000015202393010
Q9391904	6000000006727858370
Q9511624	6000000195149174838
Q9569181	6000000001380828716
Q10281618	6000000001864350849
Q10283044	6000000001412904706
Q10288304	6000000008197040743
Q10299225	6000000001381114215
Q10308667	6000000002187718423
Q10308667	6000000041145533904
Q10319978	6000000016333468176
Q10343615	6000000014463639153
Q10374817	6000000010987743930
Q10438384	6000000001272831610
Q10511229	6000000017561774914
Q10514592	6000000007213183226
Q10657615	6000000031983788172
Q10752092	6000000001381046535
Q10933357	6000000008004418918
Q11111428	6000000006602237048
Q11368515	6000000002933557025
Q11492951	6000000002934660014
Q11623003	6000000002419004197
Q11854983	6000000007049333361
Q11855100	6000000008273518551
Q11860784	6000000000151806912
Q11916130	6000000016619978779
Q11924105	6000000006277467487
Q11933695	6000000012657572933
Q11944654	6000000003827711407
Q11977822	6000000010483955180
Q12201493	6000000227128669834
Q12276042	6000000041264568832
