sha,category,bytes,copies,example_path
7d7c8fc31e979bbcd4d15d90367dec3b27e02e37,Facebook like-button frame,30800,1,paths_for_wikidata_isolates/Geni - Giovanni Crescenzi (b. - 972)- Roma_files/like.html
56f060f26df4cfa7464ce0625e3e546da1270991,Facebook like-button frame,30799,1,paths_for_wikidata_isolates/Geni - Holger Antero Markelin (1931-2005)_files/like.html
e9539e6b1c3cafe7108f761c47f7c2d7e6a59eac,Facebook like-button frame,30799,1,paths_for_wikidata_isolates/Geni - Paul Lawrence Modrich_files/like.html
e07a8645020f9ed393901a62576f04745ff7233a,Facebook like-button frame,30797,1,paths_for_wikidata_isolates/Geni - Richard Royce Schrock (1945-d.)_files/like.html
df0a5ce35c76202502e4a7a0c6c1d5085cf433ae,Facebook like-button frame,30796,1,paths_for_wikidata_isolates/Geni - Ignaz Paul Vital Troxler (1780-1866)- Aarau_files/like.html
7cda3f49df3801fbaa160613d31915f1e1b58300,Facebook like-button frame,30794,1,paths_for_wikidata_isolates/Geni - Harriet Randolph (1856-1926)_files/like.html
3cb29f55d0c021b29accd79658fe32be987eea52,Facebook like-button frame,30793,1,paths_for_wikidata_isolates/Geni - Emperor Jimmu no Mikoto (-711--585)- Kashihara_files/like.html
305980687588c344e429496a0d83ae9c6695ce93,Facebook like-button frame,30792,1,paths_for_wikidata_isolates/Geni - Gottfried Feder (1883-1941)- Murnau am Staffelsee_files/like.html
b13d2dd8c073c45fbd935e11facc1a679f0440d6,Facebook like-button frame,30790,1,paths_for_wikidata_isolates/Geni - Hanns Hopp (1890-1981)_files/like.html
5c23fb987d31e89be40b01e54fdfbd90a4f693b1,Facebook like-button frame,30789,1,paths_for_wikidata_isolates/Geni - Rudolph Sophus Bergh (1859-1924)- Davos_files/like.html
c546c0aaf9356b435e1fce7797425d916e7399c8,Facebook like-button frame,30789,1,paths_for_wikidata_isolates/Geni - Jaakko Wilhelm Suolahti (1918-1987)- Helsinki_files/like.html
d3d7c8308ae14aebcd1a1914612c012b3e95a8c1,Facebook like-button frame,30787,1,paths_for_wikidata_isolates/Geni - Kalle Putkisto (1919-1997)- Helsinki_files/like.html
710aa7cd2736abdf33669b568d756a3c57416b5a,Facebook like-button frame,30777,1,paths_for_wikidata_isolates/Geni - Peter Moltesen (1914-2009)- Birkerød_files/like.html
91bc1ad263a3783e9c324ffc969f6c4885e1d345,Facebook like-button frame,30776,1,paths_for_wikidata_isolates/Geni - Verner Panton (1926-1998)_files/like.html
0d19f68b2b87a3ee3d3195682a40f45effabf602,Facebook like-button frame,30767,1,"paths_for_wikidata_isolates/Geni - Tage Kemp (1896-1964)- København, København sogn_files/like.html"
c0946c98297d12262babae94665c23bfe46eaefb,Facebook like-button frame,30766,1,paths_for_wikidata_isolates/Geni - Fredrik Amadeus Wulff (1845-1930)- Lund_files/like.html
b533c03725eea88bdc49084ec52e4908be384613,Facebook like-button frame,30571,1,paths_for_wikidata_isolates/Geni - Виктор Николаевич Бернадский (1890-1959)_files/like.html
9cc8a59342a09315633136de75454b02f4c69fa0,Facebook like-button frame,30374,1,paths_for_wikidata_isolates/Geni - 【(嬴姓)】 ___ _政 (-259--210)_files/like.html
b20e301e55a559f64258529d52d4833cf5baf80b,Facebook like-button frame,30343,1,"paths_for_wikidata_isolates/Geni - Borgmester og Statsråd i Oslo (Kristiania) Christian Frederik Zetlitz, Le Normand De Bretteville (1800-1871)_files/like.html"
e43803465acda53b7e8c5817299ac305afabd552,Facebook like-button frame,30285,1,"paths_for_wikidata_isolates/Geni - Möngkä~Tämur, Khan of the Golden Horde (c.1245-1283)_files/like.html"
84e044d28357ac0761dd327b8069689c34e26021,Facebook like-button frame,30252,1,"paths_for_wikidata_isolates/Geni - James VI_I Stewart, King of Scots, King of England & Ireland, (1566-1625)- Chestnut_files/like.html"
87b848b2337a595d0967740d367f26c19544de28,Facebook like-button frame,30248,1,paths_for_wikidata_isolates/Geni - Ssu-nien Fu (1896-1950)_files/like.html
523332db8300c2679a92b5fcd57516c404d0f3b6,Facebook like-button frame,30244,1,"paths_for_wikidata_isolates/Geni - Erik Nissen _Ericus Nissenius_ Viborg, døbenavn Ericus Nissenius Viborg (1759-1822)_files/like.html"
061bef7786ef545b2f53a2c5a89d1597c7fb530c,Facebook like-button frame,30241,1,paths_for_wikidata_isolates/Geni - Viola_ Marie Sibylle Gräfin von Bethusy-Huc (1927-d.)_files/like.html
43c47f11b70ca0bc875744e0f326ffddd961a314,Facebook like-button frame,30237,1,paths_for_wikidata_isolates/Geni - Åke Anders Edvard Wallenquist (1904-1994)_files/like.html
6e6d7e4f8fa9ab1cbbca7c4f0792358f0018cb20,Facebook like-button frame,30231,1,paths_for_wikidata_isolates/Geni - William Coucheron-Aamot (1868-1948)_files/like.html
24f29255583dfcd6c258af4b9a47a38436d643bd,Facebook like-button frame,30227,1,paths_for_wikidata_isolates/Geni - Cornelius Middelthon (1869-1934)- Stavanger_files/like.html
a95612c01522e0da198b0116b5e0d0b91ff08995,Facebook like-button frame,30227,1,paths_for_wikidata_isolates/Geni - Per Asbjørn Pedersen Tjøstland (1918-2004)- Stavanger_files/like.html
287dc3a8ef693a956c47bae6bc2951709a85cfdd,Facebook like-button frame,30226,1,paths_for_wikidata_isolates/Geni - 【(山東濟寧)】 孫承諤 (1911-1991)_files/like.html
8ae3e969dde216cfd71438d1eb7e9f0d16f915bc,Facebook like-button frame,30225,1,"paths_for_wikidata_isolates/Geni - Philip Heinrich Kriebel, tegnelærer (1771-1846)- Stavanger_files/like.html"
81a5dfa17e48eae4867620f145a175a1de751cc5,Facebook like-button frame,30219,1,paths_for_wikidata_isolates/Geni - Àrni Magnússon (1663-1730)- København_files/like.html
d4105c4195f2fcdc0518189894fcaf08e4934a0a,Facebook like-button frame,30219,1,paths_for_wikidata_isolates/Geni - Univ.-Prof. Dr. phil. et med. Walther Poppelreuter (1886-1939)- Bonn_files/like.html
f0df5143ee4dae8c0f15b69c7ac15d90769983d1,Facebook like-button frame,30211,1,paths_for_wikidata_isolates/Geni - August Allebé (1838-1927)- Amsterdam_files/like.html
7b043d646033d615565e5f42c07042b1f8dca288,Facebook like-button frame,30210,1,paths_for_wikidata_isolates/Geni - Ignacio Braulio Anzoátegui Sáenz (1905-1978)- Buenos Aires_files/like.html
c0698fbb225d69623ffdbbfcd077be0932666613,Facebook like-button frame,30210,1,"paths_for_wikidata_isolates/Geni - Roderic Llançol i de Borja (Borja), pope Alexander VI (1431-1503)- Rome_files/like.html"
dc67889c39e8aa56871aaeed6a954a2ff7e83075,Facebook like-button frame,30210,1,paths_for_wikidata_isolates/Geni - Bahá'u'lláh Mírzá Ḥusayn-`Alí Nuri (1817-1892)- Acre_files/like.html
8109eb7934fd6e6ce5a2d8033f27533df67c3118,Facebook like-button frame,30209,1,paths_for_wikidata_isolates/Geni - Reginald Aubrey Fessenden (1866-1932)_files/like.html
4f3afece452c06877048f8e127a1f7d147b76a2a,Facebook like-button frame,30207,1,paths_for_wikidata_isolates/Geni - Friedlieb Ferdinand Runge (1795-1867)- Oranienburg_files/like.html
8d71676482cec2f01ea2944adda04c00eb56d6d2,Facebook like-button frame,30206,1,"paths_for_wikidata_isolates/Geni - Johan Ernst Gunnerus, Biskop i Trondheim (1718-1773)- Kristiansund_files/like.html"
f866cedd4fd3af5ed47bef57c24e19fdc3189f06,Facebook like-button frame,30206,1,"paths_for_wikidata_isolates/Geni - Duke Amadeus VIII _the Peaceful_ of Savoy, antipope Felix V (1383-1451)_files/like.html"
a4f2200db5ccea413dc99ee321f4cfe6d3f4aaef,Facebook like-button frame,30205,1,paths_for_wikidata_isolates/Geni - Arne Oddvar Dørumsgaard (1921-2006)- Marzio_files/like.html
e3c63598bf91b239e0d8c819d73c8408b157b498,Facebook like-button frame,30205,1,paths_for_wikidata_isolates/Geni - Thomas Jönsson Thorén Thorild (1759-1808)_files/like.html
b9ce7e586724adceca8e44fd0044fc2f34577533,Facebook like-button frame,30204,1,paths_for_wikidata_isolates/Geni - Jöns Ivan Hjalmar Frisk (1900-1984)_files/like.html
322110fa171f5cdd576f752221730d51dc90cece,Facebook like-button frame,30203,1,paths_for_wikidata_isolates/Geni - Graf Philipp Christian Friedrich von Normann-Ehrenfels (1756-1817)- Tübingen_files/like.html
9f70c2de5d6f1ebe62e098db929fe8abc3bce0e0,Facebook like-button frame,30202,1,paths_for_wikidata_isolates/Geni - Freiherr Karl Heinrich Ernst_ Stromer von Reichenbach (1871-1952)_files/like.html
f43fff1fe9a1c22631d534a25930e75d43f29684,Facebook like-button frame,30202,1,paths_for_wikidata_isolates/Geni - Oskar Carl Gustaf Sillén (1883-1965)- Stockholm_files/like.html
ccb5d82ce8baf08a6df9b0c4ace5dcd80ea56d00,Facebook like-button frame,30201,1,paths_for_wikidata_isolates/Geni - Inger Axelsdatter Güntersberg (1571-1613)- Voss_files/like.html
32874bd15a63dc2a80744d01083d69b12adf69f3,Facebook like-button frame,30199,1,"paths_for_wikidata_isolates/Geni - Just Henrich von Ely, Eidsvollsmann (1759-1824)- Kristiansand, Vest-Agder_files/like.html"
0e4ad4d039592a9a98ec4153cbf5801854cc7660,Facebook like-button frame,30198,1,paths_for_wikidata_isolates/Geni - Per-Ingvar Brånemark (1929-2014)_files/like.html
1e93efe8683ea804cefa91b271e41c7974f622f4,Facebook like-button frame,30196,1,paths_for_wikidata_isolates/Geni - Åke Joel Ohlmarks (Olsson) (1911-1984)_files/like.html
a3856f536666313ce917276ce6d3a9efe8f35f7f,Facebook like-button frame,30196,1,paths_for_wikidata_isolates/Geni - Peter Wilhelm Bøckman (K. Bøckman) (1927-2006)_files/like.html
e05395bb66ee0a3a5e676415f8dc3a2001374534,Facebook like-button frame,30194,1,paths_for_wikidata_isolates/Geni - Hisaakira Kanō (1886-1963)_files/like.html
0ec3c3be6b93ff212c932e1e82b0e107235877f7,Facebook like-button frame,30193,1,paths_for_wikidata_isolates/Geni - Björn Olof Roos (1937-2010)- Lund_files/like.html
7bb7d1a8ab16598d79addf5284a115e36f6fa061,Facebook like-button frame,30193,1,paths_for_wikidata_isolates/Geni - Confucius 孔 (子姓) (-551--479)- Jining_files/like.html
de702e2590d25428f0aa870f3299046207bbf7e7,Facebook like-button frame,30193,1,"paths_for_wikidata_isolates/Geni - Lothar of Segni, pope Innocent III (1160-1216)- Perugia_files/like.html"
f8b7277693e92b05867b57d431a9473e93895e82,Facebook like-button frame,30192,1,paths_for_wikidata_isolates/Geni - Bengt Sundkler (1909-1995)- Uppsala_files/like.html
208aa00050746f864c890467601cc88e9054d163,Facebook like-button frame,30191,1,paths_for_wikidata_isolates/Geni - Marinus Jan Granpré Molière (1883-1972)- Wassenaar_files/like.html
6d90fa6f5cfa1f190ca5c4e9584b55f570708cb7,Facebook like-button frame,30191,1,paths_for_wikidata_isolates/Geni - Leonard Wickstrøm (1910-1944)_files/like.html
bb249b8637a1818992fe3964cbec989545658a8f,Facebook like-button frame,30191,1,paths_for_wikidata_isolates/Geni - Gunn-Rita Dahle Flesjå_files/like.html
fa9e555ac62526379032b5d712e36e5b90e54253,Facebook like-button frame,30191,1,"paths_for_wikidata_isolates/Geni - Peder Valentin Rosenkilde, Eidsvollsmann (1772-1836)- Stavanger_files/like.html"
54f881404ca4b98647df2c37fd8e497ab628d410,Facebook like-button frame,30190,1,paths_for_wikidata_isolates/Geni - Carsten Høeg (1896-1961)_files/like.html
8d532dcc88cfe86ba288885135bdadc58d8ef737,Facebook like-button frame,30190,1,paths_for_wikidata_isolates/Geni - Fabio Chigi (1599-1667)_files/like.html
0b91a4dc8dad0683eed62e76c54ad4c8e8920e36,Facebook like-button frame,30189,1,paths_for_wikidata_isolates/Geni - Annik (Anna Constance) Saxegaard (1905-1990)- Kiel_files/like.html
2b3d980c9508aa8a4d2017f3bda979fbb6866195,Facebook like-button frame,30189,1,"paths_for_wikidata_isolates/Geni - Ottobono Fieschi, pope Adrian V (1205-1276)- Viterbo_files/like.html"
22868dce844c1b515d8da2c39cdd7bfa6c83c4b8,Facebook like-button frame,30188,1,paths_for_wikidata_isolates/Geni - Benjamin Karl Henrik Höijer (1767-1812)- Uppsala_files/like.html
3ebc75fa7bc60796882db49647ada04704919be2,Facebook like-button frame,30187,1,paths_for_wikidata_isolates/Geni - Cord Aslakssøn (Aslaksen) (1564-1624)- Copenhagen_files/like.html
587bc9a20c578623a5723407de9e88d89fd10e23,Facebook like-button frame,30187,1,paths_for_wikidata_isolates/Geni - Alfred Hartmann Bjørnson (1889-1974)- Stavanger_files/like.html
0bf5214536de444a7c3ecb9be5a9d8398875aaa8,Facebook like-button frame,30185,1,paths_for_wikidata_isolates/Geni - Anna Ida Birgit Åkesson (1908-2001)_files/like.html
11fa385268cdc9508d2286f4e53f12c0bc3292c8,Facebook like-button frame,30185,1,"paths_for_wikidata_isolates/Geni - Jens Erichstrup, Eidsvollsmann (1775-1826)_files/like.html"
17f290f83beb981b9239e9a8ebf19e3f739e4a77,Facebook like-button frame,30185,1,paths_for_wikidata_isolates/Geni - Polde Bibič (1933-2012)- Ljubljana_files/like.html
3ad105d0367ab19e5ab1bee1cf2af0461c4930ca,Facebook like-button frame,30185,1,paths_for_wikidata_isolates/Geni - Carl Franz Dørr (1879-1962)_files/like.html
cea1a6f88e0df294804f66e4f3d229bd83ac12f9,Facebook like-button frame,30185,1,paths_for_wikidata_isolates/Geni - Ståle Eskeland (1943-2015)- Oslo_files/like.html
e9bf36ecefaa93bcd3127b97986614686f63ed64,Facebook like-button frame,30184,1,paths_for_wikidata_isolates/Geni - Jacques (Jacob) Ludvig Borelius (1859-1921)- Lund_files/like.html
552e2670271eed682e3df3ccf9531350a54f7672,Facebook like-button frame,30183,1,paths_for_wikidata_isolates/Geni - Anitra Linnéa Christina Karsten (1902-1988)_files/like.html
c4f62962d75061893bab39b06cabdfc92e702b8b,Facebook like-button frame,30183,1,paths_for_wikidata_isolates/Geni - Josip Plemelj (1873-1967)- Ljubljana_files/like.html
05d072c4930c6ce85e47fc4183d267d37d05d0a5,Facebook like-button frame,30182,1,paths_for_wikidata_isolates/Geni - Arnt Rasmussen Møglestue (1770-1823)- Stavanger_files/like.html
8d435dc6cb06bcfe2d08901a3bbaa223e70534f4,Facebook like-button frame,30182,1,paths_for_wikidata_isolates/Geni - Professor Abraham Thorberg (1759-1790)_files/like.html
9f9419658bfbd7ce39f4e9d20e559cf27d47f8f0,Facebook like-button frame,30182,1,paths_for_wikidata_isolates/Geni - Botaniker Per Axel Rydberg (1860-1931)- New York City_files/like.html
ab6ad39b5758d7b92d2ff67692dc2833507ae5d2,Facebook like-button frame,30182,1,paths_for_wikidata_isolates/Geni - prof.mr. Johannes Hendrik Carpentier Alting (1864-1929)- 's-Gravenhage_files/like.html
513266d4c90f1549bd206212a249c2c38c1e03a5,Facebook like-button frame,30181,1,paths_for_wikidata_isolates/Geni - Håkon Nilsen (1913-1976)- Stavanger_files/like.html
6cfd37fd99e1b72491d38c1831b32c2a5675adea,Facebook like-button frame,30181,1,paths_for_wikidata_isolates/Geni - Tove Bærheim (Holtermann) (1917-2005)- Stavanger_files/like.html
