qid,our_token,kind,bearers,missing,n_missing,mul,en,ja,zh
Q20202833,Hermanna,given,2,ja zh,2,Hermanna,Hermanna,,
Q27115780,Ingeburg,given,2,ja zh,2,Ingeburg,Ingeburg,,
Q55960339,Kenna,given,2,ja zh,2,Kenna,Kenna,,
Q121180110,Erdmuthe,given,2,ja zh,2,Erdmuthe,Erdmuthe,,
Q116864469,Lambertine,given,2,mul ja zh,3,,Lambertine,,
Q98642791,Cyriacus,given,2,ja zh,2,Cyriacus,Cyriacus,,
Q19754865,Amable,given,2,ja zh,2,Amableunisex given name,Amable,,
Q1098842,Isaura,given,2,ja,1,Isaura,Isaura,,伊绍拉
Q55496860,Coutts,given,2,ja zh,2,Coutts,Coutts,,
Q108482293,Maerten,given,2,ja,1,Maerten,Maerten,,梅尔滕
Q12715244,Hallfrid,given,2,ja zh,2,Hallfrid,Hallfrid,,
Q3481841,Guttormur,given,2,ja zh,2,Guttormur,Guttormur,,
Q23736328,Gerta,given,2,ja zh,2,Gerta,Gerta,,
Q21146848,Gerdt,given,2,ja zh,2,Gerdt,Gerdt,,
Q60185145,Beck,given,2,zh,1,Beck,Beck,ベック,
Q113446783,Lettie,given,2,mul ja zh,3,,Lettie,,
Q21143213,Florentius,given,2,ja zh,2,Florentius,Florentius,,
Q3624196,Artemisia,given,2,zh,1,Artemisia,Artemisia,アルテミジア,
Q132736389,Amöna,given,2,ja zh,2,Amöna,Amöna,,
Q4327225,Nonna,given,2,ja,1,Нонна,Nonna,,诺娜
Q105623105,Zhan,given,2,mul,1,,Zhan,湛,湛
Q101541762,Euphémie,given,2,mul ja zh,3,,Euphémie,,
Q43686057,Saxo,given,2,mul ja zh,3,,Saxo,,
Q29551185,Herbrand,given,2,zh,1,Herbrand,Herbrand,ハーブランド,
Q113128101,Blois,given,2,ja zh,2,Blois,Blois,,
Q64362051,Lothrop,given,2,mul ja zh,3,,Lothrop,,
Q19869446,Roselle,given,2,ja zh,2,Roselle,Roselle,,
Q26236173,Carline,given,2,ja,1,Carline,Carline,,卡罗琳
Q2161045,Roderich,given,2,zh,1,Roderich,Roderich,ローデリヒ,
Q17565221,Silvius,given,2,zh,1,Silvius,Silvius,ジルヴィウス,
Q21147738,Erneste,given,2,ja zh,2,Erneste,Erneste,,
Q21471163,Joar,given,2,ja,1,Joar,Joar,,乔尔
Q605103,Amadea,given,2,zh,1,Amadea,Amadea,アマデア,
Q12778850,Vratko,given,2,ja zh,2,Vratko,Vratko,,
Q14798383,Gizella,given,2,ja zh,2,Gizella,Gizella,,
Q16277477,Josif,given,2,ja zh,2,Josif,Josif,,
Q3841003,Lykke,given,2,ja zh,2,Lykke,Lykke,,
Q115962343,Athalie,given,2,ja zh,2,Athalie,Athalie,,
Q125216294,Zhuó,given,2,mul,1,,Zhuó,琢,琢
Q116235835,Custis,given,2,mul zh,2,,Custis,カスティス,
Q125358091,Luò,given,2,mul,1,,Luò,洛,洛
Q106855795,Zhān,given,2,mul,1,,Zhān,瞻,瞻
Q11092075,Yǒu,given,2,mul,1,,Yǒu,有,有
Q117087684,Rosalio,given,2,ja zh,2,Rosalio,Rosalio,,
Q11978235,Jardar,given,2,ja zh,2,Jardar,Jardar,,
Q1408238,Kamran,given,2,ja zh,2,Kamran,Kamran,,
Q133308168,Auria,given,2,mul ja zh,3,,Auria,,
Q96455962,Liao,given,2,mul,1,,Liao,遼,遼
Q110877603,Shuang,given,2,mul,1,,Shuang,爽,爽
Q7109480,Ottiwell,given,2,zh,1,Ottiwell,Ottiwell,オッティウェル,
Q113412837,Gutta,given,2,mul ja zh,3,,Gutta,,
Q12005362,Teja,given,2,ja zh,2,Teja,Teja,,
Q19871801,Chauncy,given,2,zh,1,Chauncy,Chauncy,チョウンシー,
Q131826107,Adalaide,given,2,ja zh,2,Adalaide,Adalaide,,
Q18760855,Mandi,given,2,zh,1,Mandi,Mandi,マンディ,
Q116770057,Lott,given,2,ja zh,2,Lott,Lott,,
Q119795653,Euphrosina,given,2,ja zh,2,Euphrosina,Euphrosina,,
Q61957879,Cay,given,2,mul ja zh,3,,Cay,,
Q21141858,Anthonius,given,2,ja,1,Anthonius,Anthonius,,安东尼乌斯
Q80946227,Sumbat,given,2,zh,1,Sumbat,Sumbat,スムバト,
Q96465836,Zhuang,given,2,mul,1,,Zhuang,荘,莊
Q52287934,Bevan,given,2,ja zh,2,Bevan,Bevan,,
Q2849912,Aniceto,given,2,zh,1,Aniceto,Aniceto,アニセト,
Q16747380,Jakab,given,2,ja zh,2,Jakab,Jakab,,
Q19868586,Arn,given,2,ja zh,2,Arn,Arn,,
Q16425875,Gunnlaugur,given,2,ja zh,2,Gunnlaugur,Gunnlaugur,,
Q16426724,Hallkell,given,2,ja zh,2,Hallkell,Hallkell,,
Q139495271,Hsien,given,2,mul ja zh,3,,Hsien,,
Q64739197,Nara,given,2,ja,1,Nara,Nara,,娜拉
Q50767738,Thorfinn,given,2,mul ja zh,3,,Thorfinn,,
Q96141438,Yǐ,given,2,mul,1,,Yǐ,乙,乙
Q47472225,Merriam,given,2,mul zh,2,,Merriam,メリアム,
Q101577906,Kaethe,given,2,ja zh,2,Kaethe,Kaethe,,
Q20743259,Justinian,given,2,zh,1,Justinian,Justinian,ジャスティニアン,
Q110008168,Riya,given,2,ja zh,2,Riya,Riya,,
Q61160086,Masih,given,2,ja zh,2,Masih,Masih,,
Q1340593,Nafisa,given,2,ja zh,2,Nafisa,Nafisa,,
Q109664786,Ardeshir,given,2,mul ja,2,,Ardeshir,,阿迪希尔
Q12359883,Athanasius,given,2,zh,1,Athanasius,Athanasius,アタナシウス,
Q62400299,Kiersten,given,2,mul ja zh,3,,Kiersten,,
Q19523320,Kristín,given,2,ja,1,Kristín,Kristín,,克丽斯廷
Q340348,Achim,given,2,mul,1,,Achim,アヒム,阿基姆
Q123191356,Alais,given,2,ja zh,2,Alais,Alais,,
Q19968354,SHANI,given,2,mul,1,,Shani,シャニ,莎妮
Q57642730,Galeotto,given,2,mul zh,2,,Galeotto,ガレオット,
Q838800,Gizur,given,2,ja zh,2,Gizur,Gizur,,
Q111031677,Urgel,given,2,mul ja zh,3,,Urgel,,
Q17321367,Egino,given,2,ja zh,2,Egino,Egino,,
Q108178335,Zaccheus,given,2,zh,1,Zaccheus,Zaccheus,ザッケウス,
Q482159,Adala,given,2,ja zh,2,Adala,Adala,,
Q20203667,Hedley,given,2,zh,1,Hedley,Hedley,ヘドリー,
Q42316690,Granger,given,2,ja zh,2,Granger,Granger,,
Q12803329,Stana,given,2,ja,1,Stana,Stana,,斯塔娜
Q16430223,Ketilbjörn,given,2,ja zh,2,Ketilbjörn,Ketilbjörn,,
Q18339808,Otilia,given,2,ja zh,2,Otilia,Otilia,,
Q714588,Domitilla,given,2,ja,1,Domitilla,Domitilla,,多米蒂拉
Q19593754,Naemi,given,2,ja zh,2,Naemi,Naemi,,
Q19997436,Maggy,given,2,ja,1,Maggy,Maggy,,玛吉
Q124248696,Georgetta,given,2,ja zh,2,Georgetta,Georgetta,,
Q679499,Gisbert,given,2,ja,1,Gisbert,Gisbert,,吉斯伯特
Q20024951,Macha,given,2,ja,1,Macha,Macha,,玛查
Q20000429,Kaleb,given,2,ja,1,Kaleb,Kaleb,,卡莱布
Q2730107,Ieva,given,2,ja,1,Ieva,Ieva,,伊娃
Q61415197,Dayton,given,2,zh,1,Dayton,Dayton,デイトン,
Q114729653,Masuma,given,2,mul ja zh,3,,Masuma,,
Q106957881,Sakina,given,2,ja zh,2,Sakina,Sakina,,
Q26816832,Shakir,given,2,zh,1,Shakir,Shakir,シャキール,
Q21146796,Engelbregt,given,2,ja zh,2,Engelbregt,Engelbregt,,
Q43278543,Gravning,given,2,ja zh,2,Gravning,Gravning,,
Q72711201,Nathalia,given,2,zh,1,Nathalia,Nathalia,ナタリア,
Q96675741,Ratan,given,2,mul ja zh,3,,Ratan,,
Q27766418,Armande,given,2,ja,1,Armande,Armande,,阿芒德
Q33101452,Arnhild,given,2,ja zh,2,Arnhild,Arnhild,,
Q21401504,Eliodoro,given,2,ja zh,2,Eliodoro,Eliodoro,,
Q21161805,Cain,given,2,ja zh,2,Cain,Cain,,
Q54967974,Tonkin,given,2,mul ja zh,3,,Tonkin,,
Q41445788,Przybysław,given,2,ja zh,2,Przybysław,Przybysław,,
Q30669967,Lo,given,2,ja,1,Lo,Lo,,洛
Q104269189,Coates,given,2,ja zh,2,Coates,Coates,,
Q3605113,Addis,given,2,ja,1,Addis,Addis,,阿迪斯
Q5304974,Dragiša,given,2,ja,1,Dragiša,Dragiša,,德拉吉沙
Q96374485,Zhuàng,given,2,mul,1,,Zhuàng,壯,壯
Q106868719,Shào,given,2,mul,1,,Shào,紹,紹
Q96079668,Hǎi,given,2,mul,1,,Hǎi,海,海
Q1120182,Braulio,given,2,ja,1,Braulio,Braulio,,布劳里奥
Q5717122,Balbino,given,2,zh,1,Balbino,Balbino,バルビーノ,
Q102186814,Malissa,given,2,ja,1,Malissa,Malissa,,玛莉莎
Q117474818,Πλειστοάναξ,given,2,mul ja zh,3,,Πλειστοάναξ,,
Q56316731,Zenaide,given,2,ja,1,Zenaide,Zenaide,,泽奈德
Q68665943,Kornelie,given,2,ja zh,2,Kornelie,Kornelie,,
Q27642812,Maudie,given,2,zh,1,Maudie,Maudie,モーディー,
Q98543488,Cheney,given,2,ja zh,2,Cheney,Cheney,,
Q18195737,Kristóf,given,2,zh,1,Kristóf,Kristóf,クリシュトーフ,
Q13503421,Sobiesław,given,2,ja zh,2,Sobiesław,Sobiesław,,
Q100151665,Pelaya,given,2,mul zh,2,,Pelaya,ペラヤ,
Q134984380,Dollie,given,2,mul ja zh,3,,Dollie,,
Q21400625,Raban,given,2,ja zh,2,Raban,Raban,,
Q42396282,Dunn,given,2,ja zh,2,Dunn,Dunn,,
Q19962295,Adhemar,given,2,ja,1,Adhemar,Adhemar,,阿德马尔
Q5199959,Cynog,given,2,ja zh,2,Cynog,Cynog,,
Q9169736,Beuno,given,2,ja,1,Beuno,Beuno,,布埃诺
Q64172214,Ferne,given,2,mul zh,2,,Ferne,フェルネ,
Q21400634,Cathrin,given,2,ja,1,Cathrin,Cathrin,,卡特兰
Q108802022,Sion,given,2,ja zh,2,Sion,Sion,,
Q3734169,Eudora,given,2,ja,1,Eudora,Eudora,,尤朵拉
Q19572265,Dagrun,given,2,ja zh,2,Dagrun,Dagrun,,
Q29550127,Milicent,given,2,zh,1,Milicent,Milicent,ミリセント,
Q66458491,Ettie,given,2,ja zh,2,Ettie,Ettie,,
Q16426526,Hafliði,given,2,ja zh,2,Hafliði,Hafliði,,
Q892113,Bonaventura,given,2,zh,1,Bonaventura,Bonaventura,ボナヴェントゥーラ,
Q1870257,Loreta,given,2,ja zh,2,Loreta,Loreta,,
Q106648097,Vestal,given,2,ja zh,2,Vestal,Vestal,,
Q125961551,Sykes,given,2,mul ja zh,3,,Sykes,,
Q21285913,Gervásio,given,2,ja zh,2,Gervásio,Gervásio,,
Q97119319,Woodson,given,2,mul zh,2,,Woodson,ウッドソン,
Q124054041,Tadayasu,given,2,mul zh,2,,Tadayasu,ただやす,
Q6837934,Michitaka,given,2,mul zh,2,,Michitaka,みちたか,
Q118598768,Kuniyoshi,given,2,mul zh,2,,Kuniyoshi,くによし,
Q61745602,Matz,given,2,zh,1,Matz,Matz,マッツ,
Q20653672,Agrypina,given,2,mul ja zh,3,,Agrypina,,
Q106145774,Phillipine,given,2,ja zh,2,Phillipine,Phillipine,,
Q105835809,Sofyan,given,2,ja zh,2,Sofyan,Sofyan,,
Q11919730,Esclarmonda,given,2,ja zh,2,Esclarmonda,Esclarmonda,,
Q66264021,Elkana,given,2,ja zh,2,Elkana,Elkana,,
Q7499483,Shizuko,given,2,mul zh,2,,Shizuko,しずこ,
Q26898134,Crisanto,given,2,ja zh,2,Crisanto,Crisanto,,
Q73045286,Theodoro,given,2,mul ja zh,3,,Theodoro,,
Q102227506,Stoddert,given,2,zh,1,Stoddert,Stoddert,ストッダート,
Q90102540,Lucious,given,2,mul ja zh,3,,Lucious,,
Q16276492,Hayward,given,2,zh,1,Hayward,Hayward,ヘイワード,
Q16276045,Grady,given,2,zh,1,Grady,Grady,グレイディ,
Q114026147,Othilia,given,2,ja zh,2,Othilia,Othilia,,
Q28042640,Cornélie,given,2,ja zh,2,Cornélie,Cornélie,,
Q48978666,Muneyoshi,given,2,mul zh,2,,Muneyoshi,むねよし,
Q8056328,Yoshiyasu,given,2,mul zh,2,,Yoshiyasu,よしやす,
Q125375192,Yasuie,given,2,mul zh,2,,Yasuie,やすいえ,
Q139677814,Yoriyasu,given,2,mul zh,2,,Yoriyasu,よりやす,
Q16291796,Yoriyuki,given,2,mul zh,2,,Yoriyuki,よりゆき,
Q48980461,Masanari,given,2,mul zh,2,,Masanari,まさなり,
Q6864170,Mineko,given,2,zh,1,みねこ,Mineko,みねこ,
Q110174432,Mitsunaru,given,2,zh,1,みつなる,Mitsunaru,みつなる,
Q139494565,Mitsukuni,given,2,mul zh,2,,Mitsukuni,みつくに,
Q42753855,Yorisada,given,2,mul zh,2,,Yorisada,頼貞,
Q104622106,Geralda,given,2,ja zh,2,Geralda,Geralda,,
Q134513920,Gaudentius,given,2,mul ja zh,3,,Gaudentius,,
Q3955783,Serapio,given,2,ja,1,Serapio,Serapio,,塞拉皮奥
Q26884770,Merrick,given,2,zh,1,Merrick,Merrick,メリック,
Q124633156,Mi,given,2,mul,1,,Mi,祕,祕
Q18190949,Gwijde,given,2,ja zh,2,Gwijde,Gwijde,,
Q27902425,Guglielmina,given,2,mul ja,2,,Guglielmina,,古葛利尔米娜
Q632389,Oliva,given,2,zh,1,Oliva,Oliva,オリバ,
Q96251268,Jiao,given,2,mul,1,,Jiao,教,教
Q19967529,Leonardus,given,2,ja zh,2,Leonardus,Leonardus,,
Q1258662,Alister,given,2,zh,1,Alister,Alister,アリスター,
Q18809387,Njål,given,2,ja zh,2,Njål,Njål,,
Q19968411,Tobit,given,2,zh,1,Tobit,Tobit,トビット,
Q26854047,Richer,given,2,ja,1,Richer,Richer,,里切尔
Q21396414,Dunbar,given,2,ja zh,2,Dunbar,Dunbar,,
Q61974529,Perchta,given,2,mul ja zh,3,,Perchta,,
Q110990395,Sperry,given,2,mul ja zh,3,,Sperry,,
Q79606096,Juachin,given,2,mul ja zh,3,,Juachin,,
Q62088042,Newman,given,2,mul zh,2,,Newman,ニューマン,
Q41769004,Konstance,given,2,ja zh,2,Konstance,Konstance,,
Q112632577,Arnolf,given,2,mul ja zh,3,,Arnolf,,
Q33695986,Rufino,given,2,ja zh,2,Rufino,Rufino,,
Q55644142,Livingston,given,2,mul,1,,Livingston,リヴィングストン,利文斯顿
Q21142222,Duifje,given,2,ja zh,2,Duifje,Duifje,,
Q135414234,Renette,given,2,ja zh,2,Renette,Renette,,
Q21141822,Jannetje,given,2,ja zh,2,Jannetje,Jannetje,,
Q20087938,Aleksy,given,2,zh,1,Aleksy,Aleksy,アレクシー,
Q21142292,Gerbrand,given,2,ja zh,2,Gerbrand,Gerbrand,,
Q1241136,Lasar,given,2,ja zh,2,Lasar,Lasar,,
Q135426510,Rhode,given,2,ja zh,2,Rhode,Rhode,,
Q110013540,Victurnienne,given,2,mul ja zh,3,,Victurnienne,,
Q3966508,Speranza,given,2,ja zh,2,Speranza,Speranza,,
Q55761817,Woodruff,given,2,mul ja zh,3,,Woodruff,,
Q23790269,Esperance,given,2,mul ja zh,3,,Esperance,,
Q21145454,Rozette,given,2,ja zh,2,Rozette,Rozette,,
Q12713875,Botolv,given,2,ja zh,2,Botolv,Botolv,,
Q125355234,Bean,given,2,mul ja zh,3,,Bean,,
Q60589690,Sprague,given,2,ja zh,2,Sprague,Sprague,,
Q9351209,Szczęsny,given,2,ja zh,2,Szczęsny,Szczęsny,,
Q1589511,Taddeo,given,2,zh,1,Taddeo,Taddeo,タッデオ,
Q104412714,Pancrazio,given,2,ja zh,2,Pancrazio,Pancrazio,,
Q34983728,Jennings,given,2,mul zh,2,,Jennings,ジェニングス,
Q89395404,Caswell,given,2,mul zh,2,,Caswell,キャズウェル,
Q1713850,Jurga,given,2,ja,1,Jurga,Jurga,,尤加
Q116365512,Urwah,given,2,mul ja zh,3,,Urwah,,
Q20000449,Jamin,given,2,ja zh,2,Jamin,Jamin,,
Q1430115,Florimond,given,2,ja zh,2,Florimond,Florimond,,
Q29144094,Thibauld,given,2,mul zh,2,,Thibauld,ティボー,
Q11708512,Halszka,given,2,ja zh,2,Halszka,Halszka,,
Q20087963,Konstantyn,given,2,zh,1,Konstantyn,Konstantyn,コンスタンティン,
Q28457883,Adin,given,2,ja zh,2,Adin,Adin,,
Q21141969,Henrica,given,2,ja zh,2,Henrica,Henrica,,
Q15852699,Vern,given,2,ja zh,2,Vern,Vern,,
Q56324501,Nastazja,given,2,ja zh,2,Nastazja,Nastazja,,
Q110382621,Reinholdt,given,2,ja zh,2,Reinholdt,Reinholdt,,
Q19967483,Baldassare,given,2,zh,1,Baldassare,Baldassare,バルダッサーレ,
Q75916072,Julyan,given,2,ja zh,2,Julyan,Julyan,,
Q65549019,Alyse,given,2,ja,1,Alyse,Alyse,,阿丽丝
Q4892825,Bernadine,given,2,ja zh,2,Bernadine,Bernadine,,
Q104667791,Bogart,given,2,mul ja zh,3,,Bogart,,
Q21142308,Jannette,given,2,ja,1,Jannette,Jannette,,詹妮特
Q79888554,Rebeccah,given,2,mul ja zh,3,,Rebeccah,,
Q20088051,Luba,given,2,ja,1,Luba,Luba,,鲁巴
Q106515493,Arief,given,2,ja,1,Arief,Arief,,阿里夫
Q3612844,Almudena,given,2,mul,1,,Almudena,アルムデナ,阿尔穆德纳
Q98777091,Netty,given,2,ja zh,2,Netty,Netty,,
Q27139770,Stoddard,given,2,zh,1,Stoddard,Stoddard,ストッダード,
Q20643238,Maximiliaan,given,2,zh,1,Maximiliaan,Maximiliaan,マクシミリアーン,
Q88543095,Trumbull,given,2,zh,1,Trumbull,Trumbull,トランブル,
Q123121321,Clarance,given,2,mul ja zh,3,,Clarance,,
Q74691961,Jiri,given,2,ja zh,2,Jiri,Jiri,,
Q61077001,Lidmila,given,2,ja zh,2,Lidmila,Lidmila,,
Q18819933,Febo,given,2,ja zh,2,Febo,Febo,,
Q51955139,Hazen,given,2,zh,1,Hazen,Hazen,ヘイゼン,
Q7496340,Shigeko,given,2,mul zh,2,,Shigeko,しげこ,
Q427407,Paraskeva,given,2,ja,1,Параскева,Paraskeva,,帕拉斯凯维
Q16419696,Arnald,given,2,ja zh,2,Arnald,Arnald,,
Q65725209,Idi,given,2,ja zh,2,Idi,Idi,,
Q114031923,Jerolim,given,2,mul ja zh,3,,Jerolim,,
Q48981789,Abiathar,given,2,mul ja zh,3,,Abiathar,,
Q1618300,Hildebrand,given,2,zh,1,Hildebrand,Hildebrand,ヒルデブラント,
Q21147919,Heman,given,2,ja zh,2,Heman,Heman,,
Q17855850,Róża,given,2,zh,1,Róża,Róża,ルーザ,
Q28802063,Jeroným,given,2,ja zh,2,Jeroným,Jeroným,,
Q18755454,Denys,given,2,zh,1,Denys,Denys,デニス,
Q56650478,Dickinson,given,2,mul ja zh,3,,Dickinson,,
Q66682576,Main,given,2,mul ja zh,3,,Main,,
Q3259533,Lorette,given,2,ja zh,2,Lorette,Lorette,,
Q30135172,Borger,given,2,zh,1,Borger,Borger,ボルゲル,
Q135687560,Alram,given,2,ja zh,2,Alram,Alram,,
Q88542301,Zerah,given,2,ja zh,2,Zerah,Zerah,,
Q107298414,Stoddart,given,2,ja zh,2,Stoddart,Stoddart,,
Q21130102,Ena,given,2,ja,1,Ena,Ena,,伊娜
Q28717480,Karam,given,2,mul zh,2,,Karam,カラム,
Q1125452,Elmo,given,2,ja,1,Elmo,Elmo,,埃尔莫
Q19827640,Anil,given,2,zh,1,Anil,Anil,アニル,
Q57050775,Adelhaid,given,2,ja zh,2,Adelhaid,Adelhaid,,
Q80463545,Desha,given,2,mul zh,2,,Desha,デシャ,
Q20000487,Laris,given,2,ja zh,2,Laris,Laris,,
Q96374436,Wēi,given,2,mul,1,,Wēi,巍,巍
Q125255869,Lián,given,2,mul,1,,Lián,槤,槤
Q66197617,Hoy,given,2,mul ja zh,3,,Hoy,,
Q54881671,Andreana,given,2,mul ja zh,3,,Andreana,,
Q29019736,Tuvia,given,2,mul zh,2,,Tuvia,トゥヴィア,
Q21142068,Eliazar,given,2,ja zh,2,Eliazar,Eliazar,,
Q19688655,Jeronimus,given,2,ja zh,2,Jeronimus,Jeronimus,,
Q63931462,Ikrima,given,2,mul ja zh,3,,Ikrima,,
Q106145653,Malvine,given,2,ja zh,2,Malvine,Malvine,,
Q7677128,Takamasa,given,2,mul zh,2,,Takamasa,たかまさ,
Q8050104,Yasutaka,given,2,mul zh,2,,Yasutaka,やすたか,
Q105792518,Gillespie,given,2,ja zh,2,Gillespie,Gillespie,,
Q16069770,Hilarion,given,2,zh,1,Hilarion,Hilarion,イラリオン,
Q104858068,Aert,given,2,ja zh,2,Aert,Aert,,
Q66473983,Gjergj,given,2,mul ja zh,3,,Gjergj,,
Q3354118,Arna,given,2,ja zh,2,Arna,Arna,,
Q107331348,Ima,given,2,ja zh,2,Ima,Ima,,
Q21142159,Rijk,given,2,ja,1,Rijk,Rijk,,赖克
Q809301,Bartholemew,given,2,ja zh,2,Bartholemew,Bartholemew,,
Q114707433,Joubert,given,2,ja zh,2,Joubert,Joubert,,
Q45411307,Gaillard,given,2,ja zh,2,Gaillard,Gaillard,,
Q20477574,Eugénia,given,2,zh,1,Eugénia,Eugénia,エウゲーニア,
Q58406413,Lorens,given,2,zh,1,Lorens,Lorens,ローレンツ,
Q18193747,Marij,given,2,ja zh,2,Marij,Marij,,
Q7801825,Tijs,given,2,ja,1,Tijs,Tijs,,蒂斯
Q95720762,Nola,given,2,ja zh,2,Nola,Nola,,
Q19872681,Oley,given,2,ja zh,2,Oley,Oley,,
Q140075210,Eulália,given,2,mul ja zh,3,,Eulália,,
Q95980711,Wythe,given,2,mul ja zh,3,,Wythe,,
Q105622627,Sòng,given,2,mul,1,,Sòng,誦,誦
Q33101245,Hauk,given,2,ja zh,2,Hauk,Hauk,,
Q20155782,Bathilde,given,2,zh,1,Bathilde,Bathilde,バチルド,
Q54914123,Murry,given,2,mul ja,2,,Murry,,默里
Q26046115,Pascasio,given,2,ja zh,2,Pascasio,Pascasio,,
Q20972526,Toon,given,2,ja,1,Toon,Toon,,图恩
Q1122255,Kimi,given,2,zh,1,Kimi,Kimi,きみ,
Q96080445,Dōng,given,2,mul,1,,Dōng,東,東
Q124433917,Gào,given,2,mul,1,,Gào,誥,誥
Q124566740,Wēng,given,2,mul,1,,Wēng,翁,翁
Q25916990,Ivarr,given,2,ja zh,2,Ivarr,Ivarr,,
Q119583916,Andree,given,2,ja zh,2,Andree,Andree,,
Q7426896,SATYAJIT,given,2,ja zh,2,Satyajit,Satyajit,,
Q96714294,Seldon,given,2,mul zh,2,,Seldon,セルドン,
Q61356136,Nanetta,given,2,mul ja zh,3,,Nanetta,,
Q17496824,Aniela,given,2,ja,1,Aniela,Aniela,,Aniela
Q33123204,Siegfred,given,2,ja zh,2,Siegfred,Siegfred,,
Q20681833,Boldizsár,given,2,ja,1,Boldizsár,Boldizsár,,博尔迪扎尔
Q110872985,Zan,given,2,mul,1,,Zan,瓚,瓚
Q125968608,Aletha,given,2,ja zh,2,Aletha,Aletha,,
Q21079630,Courtenay,given,2,zh,1,Courtenay,Courtenay,コートネイ,
Q97573316,Drewry,given,2,ja zh,2,Drewry,Drewry,,
Q19688326,Carry,given,2,ja,1,Carry,Carry,,卡里
Q20001261,Shehab,given,2,ja zh,2,Shihab,Shehab,,
Q8079893,Đurađ,given,2,ja zh,2,Đurađ,Đurađ,,
Q17497895,Jožef,given,2,ja,1,Jožef,Jožef,,约瑟夫
Q91288176,Sandford,given,2,mul zh,2,,Sandford,サンドフォード,
Q42797451,Shepard,given,2,zh,1,Shepard,Shepard,シェパード,
Q27062017,Nel,given,2,ja zh,2,Nel,Nel,,
Q26736162,Sohrab,given,2,ja,1,Sohrab,Sohrab,,苏赫拉布
Q17634438,Jamshid,given,2,ja zh,2,Jamshid,Jamshid,,
Q110816880,Myrl,given,2,mul ja zh,3,,Myrl,,
Q2361377,Suat,given,2,mul ja zh,3,,Suat,,
Q105071964,Cloud,given,2,ja zh,2,Cloud,Cloud,,
Q1781181,Ingvild,given,2,ja,1,Ingvild,Ingvild,,英维尔德
Q28053354,Zubair,given,2,mul ja zh,3,,Zubair,,
Q686679,Armgard,given,2,ja zh,2,Armgard,Armgard,,
Q3629777,Aura,given,2,ja,1,Aura,Aura,,沃拉
Q4020380,Winfred,given,2,zh,1,Winfred,Winfred,ウィンフレッド,
Q3963892,Socrates,given,2,ja,1,Socrates,Socrates,,苏格拉底
Q393055,Agesipolis,given,2,ja zh,2,Αγησίπολις,Agesipolis,,
Q108278608,Torry,given,2,ja zh,2,Torry,Torry,,
Q21143028,Seraphina,given,2,ja,1,Seraphina,Seraphina,,塞拉菲娜
Q121084975,Adah,given,2,ja zh,2,Adah,Adah,,
Q111041051,Averill,given,2,ja zh,2,Averill,Averill,,
Q63725901,Gérôme,given,2,mul ja zh,3,,Gérôme,,
Q132736396,Amöne,given,2,ja zh,2,Amöne,Amöne,,
Q21069186,Pribislav,given,2,ja zh,2,Pribislav,Pribislav,,
Q114037638,Ghita,given,2,ja zh,2,Ghita,Ghita,,
Q3842057,Macedonio,given,2,ja zh,2,Macedonio,Macedonio,,
Q95452025,Tevis,given,2,mul ja zh,3,,Tevis,,
Q6409760,Kimball,given,2,mul zh,2,,Kimball,キンボール,
Q117470021,Detmar,given,2,mul ja zh,3,,Detmar,,
Q18609496,Nannie,given,2,ja zh,2,Nannie,Nannie,,
Q114590108,Clavering,given,2,mul ja zh,3,,Clavering,,
Q19968490,Célina,given,2,ja zh,2,Célina,Célina,,
Q63191324,McKinley,given,2,mul ja,2,,McKinley,,麦金利
Q126001977,Sławnik,given,2,ja zh,2,Sławnik,Sławnik,,
Q96950399,Vik,given,2,mul ja zh,3,,Vik,,
Q113128250,Cumberland,given,2,ja zh,2,Cumberland,Cumberland,,
Q111014972,Toghrul,given,2,mul ja zh,3,,Toghrul,,
Q21147147,Lubbert,given,2,ja zh,2,Lubbert,Lubbert,,
Q21400603,Arnd,given,2,zh,1,Arnd,Arnd,アーンド,
Q29583548,Torcuato,given,2,mul,1,,Torcuato,トルクアト,托尔夸托
Q69523638,Cheok,given,2,mul zh,2,,Cheok,チョク,
Q20155803,Warham,given,2,ja zh,2,Warham,Warham,,
Q18621270,Isotta,given,2,ja zh,2,Isotta,Isotta,,
Q23304008,Thorbjörn,given,2,ja zh,2,Thorbjörn,Thorbjörn,,
Q19688432,Frithjof,given,2,ja,1,Frithjof,Frithjof,,弗里斯约夫
Q23891291,Fortune,given,2,zh,1,Fortune,Fortune,フォーチュン,
Q33082494,Naja,given,2,ja zh,2,Naja,Naja,,
Q16290721,Mieko,given,2,mul zh,2,,Mieko,みえこ,
Q111836793,Branch,given,2,ja zh,2,Branch,Branch,,
Q6672899,Motoko,given,2,mul zh,2,,Motoko,もとこ,
Q7051261,Noriko,given,2,mul zh,2,,Noriko,のりこ,
Q47092523,Chiyo,given,2,mul,1,,Chiyo,千代,千代
Q120496207,Selgen,given,2,mul ja zh,3,,Selgen,,
Q8060712,Yukiko,given,2,mul zh,2,,Yukiko,ゆきこ,
Q122207023,kostandin,given,2,mul ja zh,3,,Kostandin,,
Q40436405,Ivane,given,2,mul,1,,Ivane,イヴァネ,伊万涅
Q22683923,Volney,given,2,ja zh,2,Volney,Volney,,
Q19544104,Gitte,given,2,ja,1,Gitte,Gitte,,吉特
