geni_id,qid,label_en
6000000038071058322,Q45362094,Lv Xijun
6000000038071127442,Q45365867,Lv Xijie
6000000038072286844,Q16906305,Liu Zheng
6000000038102862807,Q45361238,Han Wei
6000000038103070605,Q45363640,Wang Che
6000000038103076416,Q45363823,Wang Shi
6000000038103238377,Q15912341,Wang Dan
6000000038103360175,Q45387403,Wang Yan
6000000038103370956,Q45364118,Lv Shi
6000000038103401147,Q45359676,Wang Su
6000000038103475036,Q16075990,Han Yi
6000000038103481223,Q45356376,Han Yi
6000000038103550828,Q45387413,Wang Chong
6000000038103572025,Q10566063,Han Wei
6000000038103633821,Q45362961,Wang Hu
6000000038103653012,Q45356399,Han Zong
6000000038103670902,Q45387406,Wang Xu
6000000038103702983,Q16903326,Han Zhen
6000000038103711847,Q45387409,Wang Yi
6000000038103757899,Q15912964,Han Jiang
6000000038106321698,Q45356407,Han Zongliang
6000000038106381514,Q45356408,Han Zongshi
6000000038106489419,Q45361230,Han Zongzhi
6000000038106577817,Q15905324,Fan Tan
6000000038106822133,Q45356410,Han Zongdao
6000000038106925035,Q45356413,Han Zongyan
6000000038106945956,Q45356402,Han Zongzhi
6000000038106946677,Q45363805,Fan Shi
6000000038107134968,Q45384389,Han Mian
6000000038107135531,Q45365644,Han Yingzhou
6000000038107311161,Q45365076,Fan Lingsun
6000000038107381886,Q45384551,Fan Hao
6000000038107480080,Q45356367,Han Xiaozhou
6000000038107646972,Q45387207,Han Fuzhou
6000000038131534105,Q45361355,Xu Yuanheng
6000000038131907786,Q45366037,Zeng Xun
6000000038132026760,Q45380815,Zeng Yang
6000000038132071754,Q45364938,Zeng Deke
6000000038132118799,Q45363059,Wang Yin
6000000038132262482,Q45380812,Zeng Tong
6000000038132263227,Q45402037,Wang You
6000000038132317290,Q45366095,Wang Wujiu
6000000038132354118,Q45359461,Wang Fang
6000000038132412998,Q22098557,Zeng Shu
6000000038132443254,Q45362831,Zeng Yan
6000000038132474107,Q45362812,Zeng Xie
6000000038176803729,Q16077406,Wang Juzheng
6000000038176832513,Q45359819,Wang Yue
6000000038177181096,Q45359813,Wang Yu
6000000038177205050,Q45359725,Wang Cong
6000000038177275009,Q45359512,Wang Hui
6000000038200123605,Q45396495,Shangguan Chen
6000000038200156505,Q45362292,Shangguan Rong
6000000038200279346,Q45426866,Han Zongru
6000000038200338271,Q45381222,Shangguan Xun
6000000038200351219,Q45381223,Shangguan Long
6000000038200463934,Q45384196,Han Zongwen
6000000038200538957,Q45358490,Shangguan Bi
6000000038200641951,Q45365269,Wang Yong
6000000038200741924,Q45365253,Wang Gong
6000000038221476016,Q45484284,Zhao Shan
6000000038224047276,Q45358282,Ma Liang
6000000038224101085,Q16259839,Zhu Ang
6000000038224288122,Q45363701,Feng Shi
6000000038224369989,Q10895265,Feng Jing
6000000038224608855,Q45374242,Yan Zhide
6000000038224631849,Q6788466,Yan Jidao
6000000038224666429,Q45421843,Lu Yuanyi
6000000038224836312,Q45382987,Feng Xun
6000000038979970424,Q45362684,Cai Yi
6000000038980366493,Q45400269,Cai Xiyan
6000000038980523416,Q45359065,Cai Kang
6000000038980923906,Q45364057,Wang Shi
6000000038980963831,Q45359088,Cai Ting
6000000039000612264,Q45362274,Bi Conggu
6000000039001007986,Q13407966,Chen Yaosou
