geni_id	page	name	relationship	managed_by	immediate_family	href
6000000008127608536	3	Name: Michke Ardzrouni	Relationship: NN's 10th great granddaughter	Managed By: Rasheed Hassan Ali	Immediate Family: Daughter of Príncipe Gregory Abul-Hamza Artsruni Wife of Khatchik Gagik III II Ardzrouni, King of Vaspurakan Mother of Abushal Hamazasp III King of Vaspurakan Ardzouni, King of Vaspurakan King of Vaspurakan Artsruni, King of Vaspurakan and Derenik Ashot III, King of Vaspurakan	/people/Michke-Ardzrouni/6000000008127608536?through=6000000227822546944
6000000032998253349	3	Name: Rustam I of the Bavandids (b. - 896)	Relationship: NN's 10th great grandson	Managed By: Emily Damiano	Immediate Family: Son of Surkhab ibn Qarin and Atika Father of Sharwin II of the Bavandids	/people/Rustam-I-of-the-Bavandids/6000000032998253349?through=6000000227822546944
6000000031528190338	3	Name: Tutush I, Emir of Damascus (b. - 1095)	Relationship: NN's 11th great grandson	Managed By: Emily Damiano	Immediate Family: Son of Sultan Alp Arslan and Aka of the Karakhani Husband of Khatun Safwat al-Mulk Father of Radwan of Aleppo; Duqaq, Emir of Damascus and n n Brother of Izz ad-Din Argun Arslan; Bori-Bars Arslan; Toghrul; Ayaz and 5 others; Toghan-Shah; Arslan-Shah Arslan; Tekish Arslan; Aisha Arslan and Princess Zuleikha Arslan« less Half brother of Malik-Shah I of Great Seljuq; Fulana; Sifri Khatun Arslan; Taj al-Dawla Tutush Arslan and 4 others; Sulayman Arslan, Bey; Arslan-Shah Arslan; Toghan-Shah and Ayaz« less	/people/Tutush-I-Emir-of-Damascus/6000000031528190338?through=6000000227822546944
6000000031528178775	3	Name: Izz ad-Din Argun Arslan	Relationship: NN's 11th great grandson	Managed By: Emily Damiano	Immediate Family: Son of Sultan Alp Arslan and Aka of the Karakhani Brother of Tutush I, Emir of Damascus; Bori-Bars Arslan; Toghrul; Ayaz and 5 others; Toghan-Shah; Arslan-Shah Arslan; Tekish Arslan; Aisha Arslan and Princess Zuleikha Arslan« less Half brother of Malik-Shah I of Great Seljuq; Fulana; Sifri Khatun Arslan; Taj al-Dawla Tutush Arslan and 4 others; Sulayman Arslan, Bey; Arslan-Shah Arslan; Toghan-Shah and Ayaz« less	/people/Izz-ad-Din-Argun-Arslan/6000000031528178775?through=6000000227822546944
6000000031528236662	3	Name: Bori-Bars Arslan	Relationship: NN's 11th great grandson	Managed By: Emily Damiano	Immediate Family: Son of Sultan Alp Arslan and Aka of the Karakhani Brother of Tutush I, Emir of Damascus; Izz ad-Din Argun Arslan; Toghrul; Ayaz and 5 others; Toghan-Shah; Arslan-Shah Arslan; Tekish Arslan; Aisha Arslan and Princess Zuleikha Arslan« less Half brother of Malik-Shah I of Great Seljuq; Fulana; Sifri Khatun Arslan; Taj al-Dawla Tutush Arslan and 4 others; Sulayman Arslan, Bey; Arslan-Shah Arslan; Toghan-Shah and Ayaz« less	/people/Bori-Bars-Arslan/6000000031528236662?through=6000000227822546944
6000000031528273548	3	Name: Toghrul	Relationship: NN's 11th great grandson	Managed By: Emily Damiano	Immediate Family: Son of Sultan Alp Arslan and Aka of the Karakhani Brother of Tutush I, Emir of Damascus; Izz ad-Din Argun Arslan; Bori-Bars Arslan; Ayaz and 5 others; Toghan-Shah; Arslan-Shah Arslan; Tekish Arslan; Aisha Arslan and Princess Zuleikha Arslan« less Half brother of Malik-Shah I of Great Seljuq; Fulana; Sifri Khatun Arslan; Taj al-Dawla Tutush Arslan and 4 others; Sulayman Arslan, Bey; Arslan-Shah Arslan; Toghan-Shah and Ayaz« less	/people/Toghrul/6000000031528273548?through=6000000227822546944
6000000031528304580	3	Name: Ayaz	Relationship: NN's 11th great grandson	Managed By: Emily Damiano	Immediate Family: Son of Sultan Alp Arslan and Aka of the Karakhani Brother of Tutush I, Emir of Damascus; Izz ad-Din Argun Arslan; Bori-Bars Arslan; Toghrul and 5 others; Toghan-Shah; Arslan-Shah Arslan; Tekish Arslan; Aisha Arslan and Princess Zuleikha Arslan« less Half brother of Malik-Shah I of Great Seljuq; Fulana; Sifri Khatun Arslan; Taj al-Dawla Tutush Arslan and 3 others; Sulayman Arslan, Bey; Arslan-Shah Arslan and Toghan-Shah« less	/people/Ayaz/6000000031528304580?through=6000000227822546944
6000000031528457175	3	Name: Toghan-Shah	Relationship: NN's 11th great grandson	Managed By: Emily Damiano	Immediate Family: Son of Sultan Alp Arslan and Aka of the Karakhani Brother of Tutush I, Emir of Damascus; Izz ad-Din Argun Arslan; Bori-Bars Arslan; Toghrul and 5 others; Ayaz; Arslan-Shah Arslan; Tekish Arslan; Aisha Arslan and Princess Zuleikha Arslan« less Half brother of Malik-Shah I of Great Seljuq; Fulana; Sifri Khatun Arslan; Taj al-Dawla Tutush Arslan and 3 others; Sulayman Arslan, Bey; Arslan-Shah Arslan and Ayaz« less	/people/Toghan-Shah/6000000031528457175?through=6000000227822546944
6000000031528216639	4	Name: Arslan-Shah Arslan	Relationship: NN's 11th great grandson	Managed By: Emily Damiano	Immediate Family: Son of Sultan Alp Arslan; Aka of the Karakhani and Safariyya Khatun Brother of Tutush I, Emir of Damascus; Izz ad-Din Argun Arslan; Bori-Bars Arslan; Toghrul and 10 others; Ayaz; Toghan-Shah; Tekish Arslan; Aisha Arslan; Princess Zuleikha Arslan; Malik-Shah I of Great Seljuq; Fulana; Sifri Khatun Arslan; Taj al-Dawla Tutush Arslan and Sulayman Arslan, Bey« less Half brother of Toghan-Shah and Ayaz	/people/Arslan-Shah-Arslan/6000000031528216639?through=6000000227822546944
6000000031528548964	4	Name: Tekish Arslan	Relationship: NN's 11th great grandson	Managed By: Emily Damiano	Immediate Family: Son of Sultan Alp Arslan and Aka of the Karakhani Brother of Tutush I, Emir of Damascus; Izz ad-Din Argun Arslan; Bori-Bars Arslan; Toghrul and 5 others; Ayaz; Toghan-Shah; Arslan-Shah Arslan; Aisha Arslan and Princess Zuleikha Arslan« less Half brother of Malik-Shah I of Great Seljuq; Fulana; Sifri Khatun Arslan; Taj al-Dawla Tutush Arslan and 4 others; Sulayman Arslan, Bey; Arslan-Shah Arslan; Toghan-Shah and Ayaz« less	/people/Tekish-Arslan/6000000031528548964?through=6000000227822546944
