qid	geni_id	wikidata_label	geni_name	our_father	our_mother	their_father	their_mother	why
Q126531	6000000001921445859	Beatrice of Provence	Béatrice de Provence reine consort de Sicile	6000000000119295074	6000000005930105664	Q381837	Q254275	father: their Q381837 carries no Geni id | mother: their Q254275 carries 6000000001956369826, ours is 6000000005930105664
Q84456933	6000000002022468267	Catherine Stanley	Eleanor ‘Elizabeth’ Brereton	6000000007634261463	5341955501990047310	Q456361	Q75253659	father: their Q456361 carries 6000000000376980293, ours is 6000000007634261463 | mother: their Q75253659 carries no Geni id
Q63247319	6000000002043186946	Ela de Ponthieu	Adela (Ela) of Ponthieu de Bellême Countess of Surrey	6000000003146963469	6000000002135367903	Q1394358	Q3144886	father: their Q1394358 carries 6000000011659683693, ours is 6000000003146963469 | mother: their Q3144886 carries no Geni id
Q454000	6000000002043192840	Judith of Bavaria	Judith of Sülichen Duchess Consort of Bavaria	6000000002043204044	6000000044493704355	Q370791	Q1454470	father: their Q370791 carries 6000000009432695323, ours is 6000000002043204044 | mother: their Q1454470 carries no Geni id
Q75387799	6000000002043201116	unknown daughter mi Lulach	Cecily de Rumilly	6000000003495315312	6000000121951854503	Q117633	Q75387794	father: their Q117633 carries 6000000000307274746, ours is 6000000003495315312 | mother: their Q75387794 carries no Geni id
Q84062929	6000000002065701616	Frantz von Knorring	Johan Fredric von Knorring	6000000010341293448	6000000010542303922	Q12363670	Q135855376	father: their Q12363670 carries 6000000008845095400, ours is 6000000010341293448 | mother: their Q135855376 carries no Geni id
Q20726526	6000000002065863283	Anna Katharina Cronman I	Margareta Elisabet Fransdotter von Knorring	6000000009987200211	6000000009986837823	Q20670471	Q109316953	father: their Q20670471 carries 6000000011077247302, ours is 6000000009987200211 | mother: their Q109316953 carries 6000000011077096473, ours is 6000000009986837823
Q61154	6000000002187825642	Henry XIII or I Duke of Bavaria	Heinrich XIII I Witttelsbach Herzog zu Niederbayern	6000000003827359914	4225312789020057152	Q697412	Q4450926	father: their Q697412 carries 6000000075386006821, ours is 6000000003827359914 | mother: their Q4450926 carries no Geni id
Q76121945	6000000002188050222	Teresa d'Aviz	Gormlaith ingen Dunchad	6000000004533173761	6000000003828254266	Q1282676		father: their Q1282676 carries 6000000076911090539, ours is 6000000004533173761 | mother: none on the item
Q57326	6000000002188559260	Rupert	"Ruprecht III ""Klem"" Wittelsbach Pfalzgraf und Kurfürst der Pfalz, Römisch-Deutscher König"	6000000002188559722	310870261240004530	Q62566	Q519036	father: their Q62566 carries 6000000057706146821, ours is 6000000002188559722
