contrast	own	nbr_median	nbrs	birth	geni_id	name
6	1	7	2	1220	6000000003658809538	
6	3	9	2	1222	6000000003827674722	Ulrich I von Sannegg
6	5	11	2	1224	6000000039488855080	Boris Yaroslavich Prince of Medziboi and Bolochou
6	1	7	2	1235	6000000013320093061	N. de Soubiran
6	1	7	2	1240	6000000150171501863	
6	3	9	2	1248	6000000008053966336	
6	1	7	2	1250	6000000034997725798	Madmoiselle de la Roche Flotte
6	6	12	2	1260	6000000002187639636	Jarosław
6	4	10	2	1260	6000000011738776365	Anna van Heusden
6	3	9	2	1264	6000000001500850797	
6	1	7	2	1270	6000000191884669835	Guy de Saint Romain
6	9	15	2	1273	6000000015105964165	Friedrich Von Meissen
6	6	12	2	1283	6000000010201379576	Margrete Sverre
6	1	7	2	1285	6000000218605162880	
6	7	13	2	1290	6000000009031058586	"Johann ""Parricida"" von Habsburg"
6	2	8	2	1290	6000000015682988688	wife of Wojn
6	2	8	2	1290	6000000015682970659	wife of Margier
6	1	7	2	1290	6000000218605256860	
6	5	11	2	1292	6000000032883847408	
6	1	7	2	1298	6000000002187851701	Jeanne de Nevers Duchesse de Bretagne
6	5	11	2	1300	6000000016408970389	Heinrich lX (Vll) Von Schwarzburg
6	1	7	2	1300	6000000013886693541	Maria Rodrigues de Nomães
6	3	9	2	1305	6000000001544613200	Adam Fitzroy
6	5	11	2	1310	6000000007829176517	Peder Budde
6	2	8	2	1310	6000000009134335709	Liubartas Duke of Polock
6	4	10	2	1315	6000000179474768926	Jaime de Aragon y Entenca, Conde de Urgel
6	3	9	2	1315	6000000012290441025	Inês Afonso
6	15	21	2	1320	6000000003695843572	.... Palaiologos
6	5	11	2	1337	6000000225123546823	Leonor Brites Soares de Albergaria e Lourenço de Soalhães
6	6	12	2	1340	6000000001065832172	Marie de St. Hilaire of Hainault
6	1	7	2	1360	6000000012909965520	Constanza Téllez de Castilla Martínez de Lezcano
6	3	9	2	1387	6000000001142214946	
6	2	8	2	1392	6000000006082830643	
6	2	8	2	1433	6000000216465972830	
6	1	7	2	1442	6000000013856055183	
6	2	8	2	1480	6000000004369067275	
6	3	9	2	1495	6000000007635630839	Adeleitze (Adeluds) Krukow
6	1	7	2	1500	6000000041885493505	
6	1	7	2	1500	6000000003645959458	Olav Person Sandvin
6	4	10	2	1515	6000000193083031837	Anna Fartegnsdatter Valen
6	1	7	2	1519	6000000041885612257	
6	2	8	2	1536	6000000007220826428	
6	2	8	2	1553	6000000069511375475	Helvig Jørgensdatter +
6	1	7	2	1560	6000000014390636070	Gitle Espetveit
6	1	7	2	1570	6000000209217471828	NN Feed
6	1	7	2	1580	6000000055257999892	
6	2	8	2	1597	6000000198923983800	
