bucket	kind	name	occurrences	descriptions	qids
same romanisation	family	LANDAU	1	family name | family name (‏לנדאו)	Q1127822 | Q21286163
same romanisation	family	German	1	family name | family name (Герман)	Q24088311 | Q91079802
same romanisation	family	Yuan	1	family name (元) | Chinese family name (員/员) | family name (袁)	Q2264383 | Q65050561 | Q716212
same romanisation	family	Koga	1	Japanese family name (古賀) | Japanese family name (久我) | Japanese family name (久賀)	Q18646505 | Q18646506 | Q18647993
same romanisation	family	Shen	1	Chinese family name (慎) | family name (申) | Chinese family name (沈)	Q11074078 | Q705016 | Q911493
same romanisation	family	Bai	1	Chinese surname 柏 | Chinese family name (白)	Q11108068 | Q15711104
same romanisation	family	Teng	1	Chinese family name (滕) | family name	Q21482552 | Q4467306
same romanisation	family	Ide	1	Japanese family name (井手) | family name	Q26212880 | Q29371042
same romanisation	family	Sass	1	family name | family name	Q111605746 | Q21484988
same romanisation	family	MacDonald	1	family name | family name	Q2778569 | Q52984204
same romanisation	family	fitzGerald	1	family name | family name	Q16466739 | Q55550590
same romanisation	family	Mori	1	family name | Japanese family name (森, もり)	Q229146 | Q26000622
same romanisation	family	Mai	1	family name | Chinese family name (麥 / 麦)	Q16932005 | Q3372303
same romanisation	family	MacMillan	1	family name | family name	Q26709983 | Q77024917
same romanisation	family	Gan	1	family name (干) | Chinese family name (甘)	Q11060574 | Q4133392
same romanisation	family	Mu	1	Chinese family name (沐) | Chinese family name (木)	Q11139225 | Q21040430
same romanisation	family	fitzgerald	1	family name | family name	Q16466739 | Q55550590
same romanisation	family	PARK	1	family name | Korean family name (박)	Q20007284 | Q715935
same romanisation	family	Hong	1	family name (洪) | Korean family name (홍)	Q4502336 | Q854795
same romanisation	family	De Sousa	1	family name | family name	Q55739047 | Q99908123
same romanisation	family	Kang	1	Chinese family name (康) | Korean family name (강)	Q3594969 | Q709458
same romanisation	family	Suzuki	1	Japanese family name (鈴木) | family name	Q1533615 | Q68099573
same romanisation	family	Arima	1	family name | Japanese family name (有馬)	Q16148347 | Q26215254
same romanisation	family	Chaplin	1	family name (Чаплин) | family name	Q121316015 | Q5073230
same romanisation	family	ZHANG	1	Chinese family name (章) | family name (彰) | family name (張)	Q13391761 | Q65925376 | Q804909
same romanisation	family	YUAN	1	family name (元) | Chinese family name (員/员) | family name (袁)	Q2264383 | Q65050561 | Q716212
same romanisation	given	Kenji	1	Japanese male given name (健二) | undifferentiated Japanese kana male given name (けんじ)	Q123688394 | Q1738757
same romanisation	given	yosef	1	male given name | male given name (יוסף)	Q18608492 | Q29051199
same romanisation	given	HANNA	1	female given name | female given name (Ганна)	Q15729076 | Q19664967
same romanisation	given	REGINA	1	female given name (Регина) | female given name	Q27678214 | Q656698
same romanisation	given	Valery	1	male given name (Валерый) | male given name (Валерий)	Q19413355 | Q19689546
same romanisation	given	Georgi	1	male given name | male given name (Георги)	Q17533877 | Q53114536
same romanisation	given	Oren	1	male given name | male given name (אורן)	Q111171621 | Q28599553
same romanisation	given	Ioanna	1	female given name | female given name (Ιωάννα)	Q20000441 | Q98533743
same romanisation	given	Dézhì	1	Chinese given name (德智) | Chinese given name (德志)	Q124858925 | Q124860174
same romanisation	given	hassan	1	 | male given name	Q107178443 | Q16276444
same romanisation	given	José	1	male given name | Portuguese male given name | Spanish male given name	Q2190619 | Q29043256 | Q29043257
same romanisation	given	ROBERT	1	male given name (Роберт) | male given name	Q22569259 | Q4927937
same romanisation	given	Anatoly	1	male given name (Анатолий) | male given name	Q487568 | Q66819362
same romanisation	given	Aspasia	1	female given name | female given name (Ασπασία)	Q104542052 | Q67223879
same romanisation	given	Tomiko	1	Japanese female given name (富子) | undifferentiated Japanese kana female given name (とみこ)	Q20178499 | Q7818898
same romanisation	given	Masanori	1	Japanese male given name (正則) | undifferentiated Japanese kana male given name (まさのり)	Q137798938 | Q6782578
same romanisation	given	Gǒng	1	Chinese given name (鞏 / 巩) | Chinese given name (珙) | Chinese given name (拱)	Q124540790 | Q125131346 | Q125345479
same romanisation	given	Héng	1	Chinese given name (珩) | Chinese given name (恒)	Q125132436 | Q125313775
same romanisation	given	SImeon	1	male given name (Симеон) | male given name	Q123248038 | Q1557
same romanisation	given	leon	1	male given name | male given name (Леон) | male given name (Λέων)	Q37080 | Q42373828 | Q98467842
same romanisation	given	Maclean	1	male given name | male given name	Q29960616 | Q64349020
same romanisation	given	Stefanos	1	male given name | male given name (Στέφανος)	Q18607899 | Q97926757
same romanisation	given	ahmad	1	male given name (أحمد) | male given name	Q406294 | Q48980148
same romanisation	given	Yoan	1	male given name (Йоан) | male given name	Q116692886 | Q20001744
same romanisation	given	teodora	1	female given name | female given name (Теодора)	Q221215 | Q58214565
same romanisation	given	Nalini	1	female given name | female given name (नलिनी)	Q1964079 | Q47531374
same romanisation	given	ADRIAN	1	male given name | male given name (Адриан)	Q372250 | Q67636036
same romanisation	given	Wèn	1	Chinese given name (汶) | Chinese given name (問 / 问)	Q124262331 | Q124282442
same romanisation	given	Sù	1	Chinese given name (肅 / 肃) | Chinese given name (璛 / 𰢄)	Q106868716 | Q125018597
same romanisation	given	Xū	1	Chinese given name (胥) | Chinese given name (頊 / 顼)	Q106858061 | Q125186964
same romanisation	given	Branislav	1	male given name | male given name (Бранислав)	Q1815106 | Q19501515
same romanisation	given	er	1	Chinese given name (二) | Chinese given name (耳)	Q96177603 | Q96181790
same romanisation	given	Hao	1	Chinese given name (浩) | given name (豪)	Q104376628 | Q104377081
same romanisation	given	Kiyoshi	1	Japanese male given name (清) | Japanese male given name (潔) | undifferentiated Japanese kana male given name (きよし)	Q30218413 | Q30219108 | Q6419080
same romanisation	given	Hiroshi	1	undifferentiated Japanese kana male given name (ひろし) | Japanese male given name (弘) | Japanese male given name (裕)	Q1620274 | Q30098024 | Q30098030
same romanisation	given	Yukinori	1	undifferentiated Japanese kana male given name (ゆきのり) | Japanese male given name (幸教)	Q8060732 | Q88927256
same romanisation	given	Nagayasu	1	undifferentiated Japanese kana male given name (ながやす) | Japanese male given name (長泰)	Q125940315 | Q139823248
same romanisation	given	Setsuko	1	Japanese female given name (節子) | undifferentiated Japanese kana female given name (せつこ)	Q123686150 | Q7456844
same romanisation	given	Pì	1	Chinese given name (濞) | Chinese given name (闢 / 𰿾)	Q125065883 | Q125066417
same romanisation	given	martin	1	male given name (Мартин) | male given name	Q118322765 | Q18002399
same romanisation	given	eliza	1	female given name | female given name (Ελίζα)	Q858305 | Q98550199
same romanisation	given	Yíng	1	Chinese given name (瑩 / 莹) | Chinese given name (盈) | Chinese given name (迎)	Q116969455 | Q122739952 | Q124695140
same romanisation	given	Zhāo	1	Chinese given name (招) | Chinese given name (釗 / 钊)	Q124614499 | Q125255539
same romanisation	given	Maksym	1	male given name (Максим) | male given name	Q103698255 | Q18216059
same romanisation	given	jí	1	Chinese given name (佶) | Chinese given name (極 / 极)	Q125188805 | Q125319074
same romanisation	given	samson	1	male given name | male given name (שמשון)	Q2217694 | Q33127830
same romanisation	given	Spiros	1	male given name | male given name (Σπύρος)	Q20671630 | Q81289085
same romanisation	given	maría	1	male given name | female given name	Q109785195 | Q18088640
same romanisation	given	josé	1	male given name | Portuguese male given name | Spanish male given name	Q2190619 | Q29043256 | Q29043257
same romanisation	given	manuel	1	male given name | male given name (Μανουήλ)	Q11113719 | Q98497161
same romanisation	given	xùn	1	Chinese given name (訓 / 训) | Chinese given name (遜 / 逊)	Q106844965 | Q107097033
same romanisation	given	umar	1	male given name (عمر) | male given name	Q11955913 | Q19817027
same romanisation	given	Alina	1	female given name (Алина) | female given name	Q61788182 | Q650324
same romanisation	given	Tadashi	1	Japanese male given name (正) | undifferentiated Japanese kana male given name (ただし)	Q29534991 | Q3513691
same romanisation	given	Aris	1	unisex given name | male given name (Άρης)	Q16419678 | Q97958763
same romanisation	given	Toshimichi	1	Japanese male given name (利通) | undifferentiated Japanese kana male given name (としみち)	Q65032268 | Q7827731
same romanisation	given	HISAKO	1	undifferentiated Japanese kana female given name (ひさこ) | Japanese female given name (久子)	Q11709847 | Q123581576
same romanisation	given	Aviva	1	female given name (אביבה) | female given name	Q28966856 | Q791178
same romanisation	given	teodor	1	male given name (Теодор) | male given name	Q58215151 | Q7701015
same romanisation	given	Atsuko	1	Japanese female given name (敦子) | undifferentiated Japanese kana female given name (あつこ)	Q65269289 | Q9161797
same romanisation	given	Nesta	1	male given name | female given name	Q59490000 | Q59490070
same romanisation	given	Tsuneko	1	undifferentiated Japanese kana female given name (つねこ) | Japanese female given name (常子)	Q113675050 | Q136731686
same romanisation	given	RU	1	Chinese given name (儒) | Chinese given name (如)	Q108858810 | Q96479518
same romanisation	given	Alisa	1	female given name | female given name (Алиса)	Q19999985 | Q58047272
same romanisation	given	Vyacheslav	1	male given name | male given name (Вячеслав)	Q126007589 | Q19597898
same romanisation	given	VIktoria	1	female given name | female given name (Βικτωρία)	Q18328177 | Q98558017
same romanisation	given	ELiza	1	female given name | female given name (Ελίζα)	Q858305 | Q98550199
same romanisation	given	isabela	1	female given name | female given name (Изабела)	Q20002178 | Q98602804
same romanisation	given	ANDREA	1	male given name | female given name | unisex given name	Q18177306 | Q18177321 | Q493293
same romanisation	given	Romi	1	female given name | male given name	Q1250729 | Q12800400
same romanisation	given	VALENTIN	1	male given name (Валентин) | male given name	Q28865131 | Q852779
same romanisation	given	ANNE	1	male given name | female given name	Q47860848 | Q564684
same romanisation	given	Yǒng	1	Chinese given name (咏) | Chinese given name (詠 / 𰵞)	Q125256087 | Q125256104
same romanisation	given	Motohiro	1	Japanese male given name (基博) | undifferentiated Japanese kana male given name (もとひろ)	Q104373025 | Q6918008
same romanisation	given	christina	1	female given name | female given name (Χριστίνα)	Q1083457 | Q84472200
same romanisation	given	EDUARD	1	male given name (Эдуард) | male given name	Q17190238 | Q18031774
same romanisation	given	liang	1	Chinese given name (亮) | Chinese given name (諒 / 谅)	Q27895328 | Q96483232
same romanisation	given	SU	1	female given name | Chinese given name (素)	Q20001413 | Q94794239
same romanisation	given	Raisa	1	female given name (Раиса) | female given name	Q107350920 | Q615620
same romanisation	given	Hanan	1	female given name | given name (חנן)	Q20000218 | Q65084898
same romanisation	given	fatima	1	female given name | female given name (فاطمة)	Q221839 | Q99895693
same romanisation	given	rostislav	1	male given name (Ростислав) | male given name	Q104091997 | Q2167906
same romanisation	given	Dang	1	Chinese given name (讜 / 谠) | Chinese given name (當 / 当)	Q110907763 | Q96748278
same romanisation	given	Iwao	1	Japanese male given name (巌) | undifferentiated Japanese kana male given name (いわお)	Q124650585 | Q19810490
same romanisation	given	Saburō	1	Japanese male given name (三郎) | Japanese male given name (三良)	Q20177168 | Q20177350
same romanisation	given	Toshimasa	1	Japanese male given name (利政) | undifferentiated Japanese kana male given name (としまさ)	Q137799284 | Q7827727
same romanisation	given	Antonis	1	male given name | male given name (Αντώνης)	Q20683652 | Q48979066
same romanisation	given	esther	1	male given name | female given name	Q21401547 | Q837839
same romanisation	given	Makoto	1	Japanese male given name (誠) | Japanese male given name (洵)	Q34632497 | Q34632687
same romanisation	given	Carmel	1	female given name | male given name (כרמל)	Q18385082 | Q60439268
same romanisation	given	Nobutaka	1	Japanese male given name (信孝) | undifferentiated Japanese kana male given name (のぶたか)	Q123602172 | Q7046232
sex split	given	RAy	119	female given name | male given name	Q119007150 | Q2133832
sex split	given	Ray	26	female given name | male given name	Q119007150 | Q2133832
sex split	given	Adda	20	female given name | male given name	Q107317460 | Q20576000
sex split	given	Sali	11	female given name | male given name	Q66740990 | Q96653822
sex split	given	Pepi	8	male given name | female given name	Q23443575 | Q23444609
sex split	given	Leman	7	male given name | female given name	Q107625281 | Q12635406
sex split	given	Lili	6	female given name | male given name	Q10561637 | Q96656378
sex split	given	Maj	6	male given name | female given name	Q12795434 | Q16421734
sex split	given	Beda	4	female given name | male given name	Q106580853 | Q853925
sex split	given	Elo	3	male given name | female given name	Q11857545 | Q125643127
sex split	given	Bahar	3	Male given name | female given name	Q110323947 | Q20001573
sex split	given	Mirian	2	female given name | male given name	Q20000729 | Q48979362
sex split	given	Ele	1	male given name | female given name	Q61957876 | Q65260195
sex split	given	RAY	1	female given name | male given name	Q119007150 | Q2133832
sex split	given	Sime	1	male given name | female given name	Q96653860 | Q96655033
