geni_id	qid	property	ours	theirs	apart	their_referenced	their_rank	their_other_values
6000000000904661585	Q169547	P22	Q536899	Q694696	structural	yes	normal	0
6000000005016701444	Q170654	P569	1052	1065	13	yes	normal	0
6000000014058991722	Q17095892	P22	Q15042460	Q13033264	structural	yes	normal	0
6000000002188289069	Q171083	P569	-123	-135	12	yes	normal	0
6000000007980784177	Q17119883	P569	5 FEB 1880	1890	10	yes	normal	0
5269517524100121452	Q17130934	P569	1605	1601	4	no	normal	0
6000000004533114060	Q17131005	P569	1494	1500	6	yes	normal	0
6000000013641259055	Q17320564	P570	1684	1694	10	no	normal	0
6000000000769899932	Q1738090	P569	971	1000	29	no	normal	0
6000000003645672375	Q174598	P569	1250	1255	5	yes	normal	0
6000000041303977074	Q176090	P569	-5	-100	95	yes	normal	0
6000000002236872569	Q1779282	P569	984	973	11	no	normal	0
6000000002187845876	Q178007	P25	Q91003	Q60650591	structural	yes	normal	0
6000000003768386624	Q1782094	P25	Q354934	Q110562184	structural	yes	normal	0
6000000008147347387	Q1782403	P569	1234	1300	66	no	normal	0
6000000012724604098	Q1796659	P26	Q212052	Q2012699	structural	yes	normal	0
6000000022648284367	Q18011900	P570	NOV 1654	1650	4	yes	normal	0
6000000075326881836	Q180920	P570	260	237	23	no	normal	0
6000000005791943640	Q1815122	P569	1216	1211	5	yes	normal	0
6000000139471490941	Q18226113	P22	Q2991423	Q2080596	structural	no	normal	0
6000000052125650248	Q18236390	P26	Q133467857	Q76011027	structural	no	normal	0
6000000075345780835	Q18236406	P25	Q133467857	Q76011027	structural	no	normal	0
6000000003645671274	Q18418043	P569	1158	1150	8	no	normal	0
6000000007331733313	Q1845160	P570	767	750	17	yes	normal	0
5508684470320086533	Q1847459	P569	3 JUL 1013	1018	5	yes	normal	0
6000000020602168168	Q18909081	P26	Q133448022	Q65800032	structural	yes	normal	0
6000000003645859344	Q1897013	P569	-320	-400	80	yes	normal	0
6000000003645859344	Q1897013	P570	-275	-300	25	yes	normal	0
6000000000728689157	Q1913065	P569	952	958	6	no	normal	0
6000000003219766282	Q192920	P25	Q4129783	Q5850040	structural	yes	normal	0
4286118427370035651	Q192925	P26	Q4129783	Q2746341, Q5850040, Q1927072	structural	yes	normal	2
6000000008718004854	Q19302486	P569	1 JUL 1590	1595	5	no	normal	0
6000000196295317826	Q196031	P569	1050	1065	15	yes	normal	0
6000000196295317826	Q196031	P570	1128	1114	14	no	normal	0
6000000074788455039	Q19653965	P22	Q8070754	Q45499807	structural	yes	normal	0
6000000003645760161	Q19654347	P22	Q2530678	Q3384935	structural	no	normal	0
6000000075401366174	Q19852797	P26	Q133472473	Q76011089	structural	no	normal	0
6000000001504918152	Q1992398	P22	Q111988853	Q16064119	structural	no	normal	0
6000000001504918152	Q1992398	P570	24 DEC 1553	1535	18	yes	normal	0
6000000001500820357	Q20015206	P569	1438	1470	32	no	normal	0
6000000001500820357	Q20015206	P570	1490	1535	45	no	normal	0
6000000004381834243	Q20016510	P570	1150	1160	10	no	normal	0
6000000075344640850	Q20063233	P569	473	492	19	yes	normal	0
6000000009665500123	Q20164829	P22	Q24921025	Q20172071	structural	no	normal	0
6000000071619545883	Q2026887	P26	Q16630592	Q297194, Q86561	structural	yes	normal	1
6000000002240801354	Q2039212	P570	22 FEB 1135	1130	5	no	normal	0
6000000001501057010	Q2066259	P570	3 SEP 1241	1231	10	yes	normal	0
6000000178793768878	Q2067443	P22	Q135489965	Q135489963	structural	no	normal	0
302036169990003799	Q2068391	P570	138	101	37	yes	normal	0
6000000074739148854	Q20688547	P570	470	502	32	yes	normal	0
6000000006727823037	Q2071719	P570	1426	1430	4	no	normal	1
6000000003887939111	Q2072661	P26	Q965335	Q350002	structural	no	normal	0
6000000003827612603	Q20745882	P570	1316	1332	16	no	normal	0
4363184995560049059	Q2080596	P569	1306	1300	6	yes	normal	0
6000000007385688935	Q2081231	P569	6 DEC 1285	1290	5	yes	normal	0
6000000001397765915	Q2083692	P570	25 MAY 1448	1424	24	yes	normal	0
6000000003043802114	Q20931381	P570	13 NOV 1821	1831	10	yes	normal	0
6000000003493243753	Q21002086	P22	Q134986141	Q7326	structural	no	normal	0
6000000003493243753	Q21002086	P25	Q134986457	Q101402688	structural	no	normal	0
6000000006207789508	Q21034939	P569	1175	1182	7	yes	normal	0
6000000000112096314	Q2104024	P569	1071	1078	7	yes	normal	0
6000000000112096314	Q2104024	P570	1129	1133	4	yes	normal	1
6000000000267473087	Q21059298	P22	Q134986141	Q7326	structural	no	normal	0
6000000000267473087	Q21059298	P25	Q134986457	Q101402688	structural	no	normal	0
6000000008051032314	Q21077074	P22	Q134986141	Q2270460	structural	yes	normal	0
6000000008051032314	Q21077074	P25	Q134986457	Q110422313	structural	yes	normal	0
6000000006011320007	Q211488	P569	323	-324, -323	646	yes	normal	1
4924448917970137597	Q212052	P26	Q4822291, Q1796659	Q72556, Q51779, Q3572684	structural	yes	normal	2
6000000004869045119	Q21294643	P570	MAY 1612	1622	10	no	normal	0
6000000002979879011	Q2135066	P569	974	990	16	yes	normal	0
6000000000474064373	Q2135866	P569	1244	1240	4	no	normal	0
6000000003094359287	Q213791	P569	885	895	10	yes	normal	0
6000000011060956062	Q218679	P26	Q3298986	Q3300853, Q3569141, Q3133192	structural	yes	normal	2
6000000003742102823	Q2192525	P570	750	710	40	yes	normal	0
6000000007519655888	Q2236673	P570	-67	-1	66	yes	normal	0
6000000033201846251	Q2241510	P26	Q16630592	Q347954, Q2632610, Q357435	structural	yes	normal	2
6000000006607055274	Q2268436	P569	-80	-50	30	yes	normal	0
6000000074758467512	Q22774427	P22	Q45418903	Q45526606	structural	yes	normal	0
6000000000624307198	Q2284422	P570	1070	1066	4	yes	normal	0
6000000015110424892	Q22919567	P26	Q102861886	Q61177857	structural	yes	normal	0
6000000003828224112	Q229246	P569	170	165	5	no	preferred	6
6000000006275953110	Q229279	P569	24 JUN 1314	1310	4	yes	normal	0
6000000003714576466	Q230073	P569	1036	1025	11	yes	normal	0
6000000003714576466	Q230073	P570	5 SEP 1075	1070	5	yes	normal	0
6000000003645896976	Q230258	P569	-356	-350	6	no	normal	0
6000000004576195508	Q23060459	P570	1262	1271	9	no	normal	0
6000000004533858965	Q23115867	P569	1657	1640	17	no	normal	0
