qid	geni_id	en_label	enwiki	zhwiki	family_properties	sitelinks
Q45403956	6000000074769450952	Gao Xuan	no	no	P22,P25,P40	0
Q45403957	6000000074769625833	Han A	no	no		0
Q45403960	6000000074769450963	Han Guihui	no	no	P40	0
Q45403962	6000000074768907313	Han Qingzhi	no	no	P22,P40	0
Q45403965	6000000074769563855	Han Ying	no	no	P22,P40	0
Q45403967	6000000074769616860	Han Chong	no	no	P22	0
Q45403969	6000000074769666821	Han Zhen	no	no	P22	0
Q45403970	6000000074769289983	Han Fu	no	no	P22,P40	0
Q45403972	6000000074769342944	Han Tai	no	no	P40	0
Q45403974	6000000074769003064	Han Junfu	no	no	P22	0
Q45403975	6000000074769368995	Han Yuanfu	no	no	P22,P40	0
Q45403976	6000000074769525901	Han Kui	no	no	P22,P40	0
Q45403978	6000000074768992151	Han Bing	no	no	P22,P25	0
Q45403979	6000000074727932945	Ye Hu	no	no	P40	0
Q45403982	6000000074728019922	Ye Gongfu	no	no	P22,P40	0
Q45403985	6000000074727761058	Ye Shun	no	no	P22,P40	0
Q45403988	6000000074769541894	Ye Ruli	no	no	P40	0
Q45403991	6000000074768845175	Ye Sheng	no	no		0
Q45403992	6000000074769473964	Ye Yuan	no	no		0
Q45403993	6000000074769070205	Ye Yu	no	no		0
Q45403995	6000000074769003082	Ye Nanzhong	no	no		0
Q45403996	6000000074769179064	Ye Nanzhao	no	no		0
Q45403998	6000000074768898157	Ye Shao	no	no	P22,P40	0
Q45403999	6000000074769447940	Ye Zhengchen	no	no		0
Q45404001	6000000074769616865	Ye Guan	no	no		0
Q45404002	6000000074769582890	Ye Shimei	no	no		0
Q45404004	6000000074769687822	Ye Zhen	no	no		0
Q45404005	6000000074769437968	Ye Fa	no	no		0
Q45404006	6000000074769604854	Ye Mo	no	no		0
Q45404008	6000000074769331960	Ye Jue	no	no	P22,P40	0
Q45404010	6000000074768723298	Ye Yifeng	no	no	P22	0
Q45404012	6000000074769662834	Ye Xiangfeng	no	no	P22,P25	0
Q45404015	6000000074769683825	Ye Nan	no	no		0
Q45404016	6000000074767635694	Wang Bao	no	no	P40	0
Q45404018	6000000074769596893	Wang Jing	no	no	P22,P40	0
Q45404019	6000000074769698821	Wang Lizheng	no	no	P22,P40	0
Q45404022	6000000074769021160	Wang Chengyi	no	no	P22	0
Q45404023	6000000074769114090	Wang Fang	no	no	P22,P25	0
Q45404024	6000000074769526875	Li Xiang	no	no	P40	0
Q45404025	6000000074769703821	Li Mian	no	no	P22,P40	0
Q45404027	6000000074769697824	Li Su	no	no	P22,P40	0
Q45404031	6000000074767635699	Li Yongzhi	no	no	P22,P25	0
Q45404034	6000000074768648395	Han Shenxiu	no	no	P40	0
Q45404035	6000000074769648869	Han Yue	no	no	P22,P40	0
Q45404036	6000000074769706833	Han Ruxi	no	no	P22	0
Q45404037	6000000074769658859	Han Jiayu	no	no	P22,P40	0
Q45404039	6000000074769474875	Han Daning	no	no	P22,P25	0
Q45404040	6000000074769450999	Goulong Changfu	no	no	P40	0
Q45404041	6000000074769351970	Goulong Liangxian	no	no	P22,P40	0
Q45404043	6000000074769307087	Goulong Lang	no	no	P22,P40	0
Q45404045	6000000074768907332	Goulong Zhen	no	no	P22,P25	0
Q45404046	6000000074769067112	Goulong Pang	no	no	P22,P25	0
Q45404049	6000000074769400979	Bao Yaoqing	no	no	P40	0
Q45404051	6000000074769651859	Bao Qianren	no	no	P22,P40	0
Q45404053	6000000074769519886	Bao Hao	no	no	P22,P40	0
Q45404055	6000000074769642846	Bao Fu	no	no	P22,P25	0
Q45404056	6000000074769103089	Pang Gui	no	no	P40	0
Q45404058	6000000074769475954	Pang Gongxian	no	no	P22,P40	0
Q45404060	6000000074769673847	Pang Zongyue	no	no	P22,P40	0
Q45404062	6000000074769153123	Pang Yu	no	no	P22,P25,P40	0
Q45404064	6000000074769523896	Pang Shou	no	no	P22,P25	0
Q45404065	6000000074753758064	Bao Cai	no	no	P40	0
Q45404066	6000000074753723174	Bao Chun	no	no	P22,P40	0
Q45404068	6000000074769722830	Zhou Guo	no	no	P22,P40	0
Q45404070	6000000074769113176	Zhou Yu	no	no	P22,P40	0
Q45404074	6000000074769582924	Zhou Yi	no	no	P22,P40	0
Q45404075	6000000074769486933	Zhou Rushi	no	no	P22,P25	0
Q45404076	6000000074769693843	Zhou Runeng	no	no	P22	0
Q45404078	6000000074769722836	Zhou Zhigang	no	no	P40	0
Q45404080	6000000074769678880	Zhou Zhirui	no	no		0
Q45404081	6000000074769736858	Zhou Zhizhang	no	no		0
Q45404083	6000000074769116095	Zhou Xuanzi	no	no	P22,P40	0
Q45404085	6000000074769741833	Zhou Rongsun	no	no	P22	0
Q45404088	6000000074769732859	Li Zanchong	no	no	P40	0
Q45404091	6000000074769221089	Li Zao	no	no	P22,P40	0
Q45404093	6000000074769071151	Li He	no	no	P22,P40	0
Q45404096	6000000074769604918	Li Jinxiu	no	no	P22,P25	0
Q45404097	6000000074718990000	Shao Xin	no	no	P22,P40	0
Q45404099	6000000074719155899	Shao Cong	no	no	P22,P40	0
Q45404101	6000000074718804168	Shao Yi	no	no	P22,P40	0
Q45404104	6000000074718946879	Shao Ying	no	no	P22,P25	0
Q45404106	6000000074746733333	Li Shimin	no	no	P22,P40	0
Q45404108	6000000074746897170	Li Shiwan	no	no	P22,P40	0
Q45404110	6000000074747293838	Li Jun	no	no	P22,P40	0
Q45404112	6000000074747344821	Li Bin	no	no	P22,P40	0
Q45404115	6000000074747327833	Li Qing	no	no	P22,P25	0
Q45404116	6000000074746857150	Li Yuan	no	no	P22,P25	0
Q45404118	6000000074769653862	Mao Xun	no	no	P40	0
Q45404120	6000000074769728864	Mao Ye	no	no	P22,P40	0
Q45404121	6000000074769525969	Mao Di	no	no	P22,P40	0
Q45404123	6000000074769696883	Mao Jie	no	no	P22,P25	0
Q45404125	6000000074769789828	Liang Wenzhen	no	no	P40	0
Q45404127	6000000074769744844	Liang Boxun	no	no	P22,P40	0
Q45404128	6000000074769618931	Liang Yanrong	no	no	P22,P40	0
Q45404130	6000000074769783855	Liang Ruchang	no	no	P22,P25	0
Q45404132	6000000074735748916	Liu Zhi	no	no	P40	0
Q45404133	6000000074769582951	Zhang Conggui	no	no	P40	0
Q45404136	6000000074767548487	Zhang Yu	no	no	P22,P40	0
Q45404138	6000000074769741850	Zhang Jun	no	no	P22,P40	0
Q45404140	6000000074769433005	Zhang Chaozong	no	no	P22,P25	0
Q45404142	6000000074712579946	Lin Jie	no	no	P40	0
Q45404144	6000000074712882869	Lin Heng	no	no	P22,P40	0
