qid	latin	ja	zh
Q11566004	Ranko Sawa	澤蘭子	
Q13572007	Hidetake Konoe	近衛秀健	
Q13572056	Tadatoshi Miyagawa	水谷川忠俊	
Q118748907	Hidetoshi Konoe	近衛秀俊	
Q13572139	Naomaro Konoe	近衛直麿	近衛直麿
Q13572112	Tadamaro Miyagawa	水谷川忠麿	近衛忠麿
Q1298020	Egon III de Fribourg		埃吉诺三世
Q51883259	Alba Baptista	アルバ・バチスタ	阿尔芭·巴普蒂斯塔
Q466073	Seda Aznavour	セダ・アズナヴール	
Q281036	Polly Samson	ポリー・サムソン	
Q269961	Petronilla of Aquitaine	ペトロニーユ・ダキテーヌ	阿基坦的佩特羅妮拉
Q2034705	Ossip Zetkin	オシップ・ツェトキン	
Q1913855	Maxim Zetkin	マキシム・ツェトキン	
Q2896719	Bent Christensen	ベント・クリステンセン (映画監督)	本特·克莉史汀森
Q436940	Debra Feuer		黛博拉·福伊爾
Q4111504	Leo Wiener	レオ・ヴィーナー	
Q5491802	Franklin S. Billings Jr.		小富蘭克林·S·比林斯
Q3888486	Afonso d'Escragnolle Taunay	アフォンソ・デスクラニョレ・トーナイ	阿方索·德埃斯克拉尼奥勒·托奈
Q8020602	William Wriothesley	ウィリアム・ライズリー	
Q4965758	Brianne Theisen-Eaton	ブリアンヌ・タイゼン＝イートン	布莱恩妮·塞伊森-伊顿
Q22088567	Philip Hamilton	フィリップ・ハミルトン	菲利普·汉密尔顿
Q16066408	William S. Hamilton		威廉史蒂夫汉密尔顿
Q28124142	Philip Hamilton		菲利普·汉密尔顿
Q231068	Constance of Arles	コンスタンス・ダルル	康斯坦丝
Q60366	Matilda of Frisia	マティルド・ド・フリーズ	菲士蘭的瑪蒂爾達
Q1564001	Hedvig av Frankrike	アデライード・ド・フランス (1003年4月- 1063年)	法蘭西的海德薇希
Q232522	Bertha of Burgundy	ベルト・ド・ブルゴーニュ	勃艮第的伯莎
Q10381076	Thales Pan Chacon	ターレス・パン・シャコン	
Q3554985	Vassili Saltykov	ヴァシーリー・サルトゥイコフ	
Q1821799	William Percy	ウィリアム・パーシー	
Q97528	Wilhelm Malte I	ヴィルヘルム・マルテ1世	
Q76010325	Claudia dei Conti Matarazzo	クラウディア・デイ・コンティ・マタラッツォ	克劳迪娅·戴伊·康蒂·马塔拉佐
Q545476	Lya Luft	リア・ルフチ	
Q1797428	Regina Duarte	レジーナ・ドゥアルテ	里贾纳·杜阿尔特
Q7088038	Olivia Byington		奥利维亚·白靈頓
Q242656	Madeleine Carroll	マデリーン・キャロル	马德琳·卡罗尔
Q47009856	Marian Sulzberger Heiskell	マリアン・サルツバーガー・ハイスケル	
Q3760593	George Martin	ジョージ・マーティン	喬治·馬丁
Q6689000	Louise Weinberg		路易斯·温伯格
Q383003	Nikephoros Bryennios the Younger	ニケフォロス・ブリュエンニオス	尼基弗鲁斯·布林尼乌斯
Q80465480	Alexios Komnenos	アレクシオス・コムネノス	阿莱克修斯·科穆宁 (大都督)
Q12272034	Andronikos Komnenos		安德洛尼卡·科穆宁
Q392653	Isaac Komnenos	イサキオス・コムネノス	伊萨克·科穆宁
Q28729593	Eudokia Komnene		欧多齐娅·科穆宁娜
Q28705417	Sherwood Ball		舍伍德·鲍尔
Q706829	Lev Kopelev	レフ・コペレフ	
Q108485084	John Kluge Jr.	ジョン・クルーゲ・ジュニア	
Q6304510	Judy Loe	ジュディ・ロエ	茱蒂·洛
Q336099	Len Wiseman	レン・ワイズマン	连恩·怀斯曼
Q4597001	Mathilde von Bayern		巴伐利亞的瑪蒂爾德
Q472584	Louis of Meissen	ルートヴィヒ・フォン・マイセン	
Q64742	William I	ヴィルヘルム1世	威廉一世
Q921269	Pavel Dybenko	パヴェル・ドゥイベンコ	帕维尔·德宾科
Q23064364	Coya Asarpay	コヤ・アサラパイ	
Q2483584	Ninan Cuyochi	ニナン・クヨチ	尼南·库尤奇
Q2271800	Jørgen Randers	ヨルゲン・ランダース	
Q14811672	Chirlane McCray	チャーレーン・マクレイ	奇兰·麦克雷
Q2012699	Philip of Castile	フェリペ・デ・カスティーリャ	卡斯蒂利亞的費利佩王子
Q314577	Robert I av Parma	ロベルト1世	罗贝托一世
Q237321	Infanta Maria Antonia of Portugal	マリーア・アントーニア・デル・ポルトガッロ	瑪麗·安托瓦內特公主 (葡萄牙)
Q55713989	Princess Marie Françoise of Parma	マリー＝フランソワーズ・ド・ブルボン＝パルム	
Q704668	Prince Sixtus Enrique of Parma	シクスト・エンリケ・デ・ボルボン＝パルマ	西克斯圖斯·亨利王子
Q55998474	Princess María Teresa of Parma	マリア・テレサ・デ・ボルボン＝パルマ	玛丽亚·特蕾莎·德·波旁-帕尔马
Q75392678	Princess Cécile Marie of Parma	セシール・マリー・ド・ブルボン＝パルム	
Q2019455	Prince Gaetano of Parma	ガエターノ・ディ・ボルボーネ＝パルマ	蓋塔諾
Q2654769	Enrico di Borbone-Parma	エンリコ・ディ・ボルボーネ＝パルマ	恩里克一世
Q526028	Elia di Borbone-Parma	エリア・ディ・ボルボーネ＝パルマ	埃利亚斯一世
Q546082	Giuseppe di Borbone-Parma	ジュゼッペ・ディ・ボルボーネ＝パルマ	朱塞佩一世
Q951608	Prince Sixtus of Parma	シクストゥス・フォン・ブルボン＝パルマ	西斯托
Q28033890	Sandra Deal		桑德拉·迪爾
Q4759781	András Kornai	コルナイ・アンドラーシュ	安德拉斯·科爾奈
Q26258280	Rebecca Brando		丽贝卡·白兰度
Q7608723	Stephen Blackehart	スティーヴン・ブラックハート	斯蒂芬
Q26258272	Miko Castaneda Brando		米科·卡斯塔尼达·白兰度
Q26258277	Simon Teihotu Brando		西蒙·特霍图·白兰度
Q5176670	Count Jefferson von Pfeil und Klein-Ellguth	イェファーゾーン・フォン・プファイル・ウント・クライン＝エルグート	
Q1797936	Gustav av Sayn-Wittgenstein-Berleburg	グスタフ・ツー・ザイン＝ヴィトゲンシュタイン＝ベルレブルク	第七代塞恩-维特根斯泰因-貝勒堡親王古斯塔夫
Q265691	Princess Nathalie of Sayn-Wittgenstein-Berleburg	ナターリエ・ツー・ザイン＝ヴィトゲンシュタイン＝ベルレブルク	娜塔莉公主, 約翰斯曼夫人
Q7342494	Robert Bulkeley	ロバート・バークリー	
Q5363109	Elizabeth Lee	エリザベス・リー	
Q2114149	Richard Venture	リチャード・ベンチャー	理查德·芬奇
Q19947211	Hidesuke Satō	佐藤秀助	佐藤秀助
Q113019197	Shigeyo Satō	佐藤茂世	佐藤茂世
Q11383927	Hiroko Satō	佐藤寛子	佐藤宽子
Q5632874	Shinji Satō	佐藤信二	佐藤信二
Q4478732	Ichirō Satō	佐藤市郎	佐藤市郎
Q45635369	Yuan Ziyong		源子邕
Q76010391	Cuī Shì		崔氏
Q45501618	Cui Xuandu		崔宣度
Q45502448	Cui Xuangui		崔宣轨
Q45502513	Cui Xuanzhi		崔宣质
Q45502577	Cui Xuanjing		崔宣静
Q45502640	Cui Xuanlve		崔宣略
Q45502704	Cui Changsheng		崔长升
Q436753	Alfonso II of Naples	アルフォンソ2世	阿方索二世
Q517592	Sancha of Aragon	サンチャ・ダラゴーナ	阿拉貢的珊莎
Q708932	Ferdinand II of Naples	フェルディナンド2世	那不勒斯的斐迪南多二世
Q1153737	Alfonso of Aragon	アルフォンソ・ダラゴーナ	阿拉貢的阿方索
Q3762268	Giacomo Scarpelli	ジャーコモ・スカルペッリ	賈科莫·史卡爾佩利
Q3844750	Manlio Scarpelli	マンリオ・スカルペッリ	
Q14293202	Marco Scarpelli	マルコ・スカルペッリ	
Q264675	Princess Caroline-Mathilde of Denmark	カロリーネ＝マティルデ	卡罗琳-玛蒂尔德公主
Q2281586	Prince Gorm of Denmark	ゴーム	戈爾姆王子
Q6835577	Michael Žantovský		迈克尔·赞托夫斯基
Q5924938	Jaime Botín	ハイメ・ボティン	
Q12343261	Tony Rodian	トニー・ロディアン	
Q299842	Antonia Kidman	アントニア・キッドマン	安東妮亞
Q1379682	Linda Kash	リンダ・キャッシュ	琳达·卡辛
Q727988	Daniel Kash	ダニエル・カッシュ	丹尼爾·卡什
Q16856501	June Downey		瓊·唐尼
Q152388	Theodor W. Adorno	テオドール・アドルノ	狄奥多·阿多诺
Q2667498	Horik II	ホリック2世 (デンマーク王)	霍里克二世
Q2075721	Moira Harris	モイラ・ハリス	莫拉·哈里斯
Q3726502	Enzo de Muro Lomanto	エンツォ・デ・ムーロ・ロマント	
Q3376528	Peter Davis	ピーター・デイヴィス (社会学者)	
Q12324510	Lin Utzon	リン・ウッツォン	
Q736598	Paul Passy	ポール・パシー	保罗·帕西
Q2682681	Prince Christian of Hesse		黑森-卡塞爾的克里斯蒂安
Q1712126	Juliane of Hesse-Kassel		黑森-卡塞爾的朱麗安妮
Q108734363	Cooper Hoffman	クーパー・ホフマン	库珀·霍夫曼
Q1538140	Gordy Hoffman		戈迪·霍夫曼
Q65875038	Allegra Mostyn-Owen		阿莱格拉·莫斯廷-欧文
Q6763940	Marina Wheeler	マリナ・ウィーラー	瑪麗娜·惠勒
Q3015280	Danny Mann	ダニー・マン	丹尼·曼
Q27999424	Patricia Marshall	パトリシア・マーシャル	派翠西亞·馬歇爾
Q3880310	Rhonda Roland Shearer		朗達·羅蘭·舒利亞
Q220584	Michael Madsen	マイケル・マドセン	迈克尔·马德森
Q11109046	Cha Liang-Chao		查良钊
Q8279047	Zha Liangjian	査良鑑	查良鑑
Q47488991	Precious Moloi-Motsepe		Precious Moloi-Motsepe
Q435176	Elza Soares	エルザ・ソアレス	埃尔扎·苏亚雷斯
Q3442373	Vera Zhelikhovsky		薇拉·热利霍夫斯卡娅
Q7030254	Nicolete Gray	ニコレテ	
Q47481146	Helen Binyon	ヘレン・ビニョン	
Q3374228	Pegeen Vail Guggenheim	ペギーン・ベイル・グッゲンハイム	
Q6303714	Judith Trim		朱迪思·特里姆
Q2399595	Harry Waters	ハリー・ウォーターズ	
Q56651230	Nicolette Robinson	ニコレット・ロビンソン	尼科莱特·罗宾逊
Q6835467	Michael Wynn-Jones	マイケル・ウィン・ジョーンズ	迈克尔·韦恩·琼斯
Q455574	Helen McCloy	ヘレン・マクロイ	
Q19299123	Richard Gregson		理查德·葛瑞森
Q240467	Natasha Gregson Wagner	ナターシャ・グレグソン・ワグナー	娜塔莎·葛瑞森·華格那
Q242749	Lana Wood	ラナ・ウッド	拉娜·伍德
Q292698	Empress Dowager Bian	武宣皇后卞氏	武宣卞皇后
Q10899949	Liu Man	劉曼	刘曼
Q8252899	Cao Xian	曹憲	曹宪
Q8252909	Cao Hua	曹華	曹华
Q11561243	Princess Qinghe	清河長公主	清河公主
Q15929527	Princess Jinxiang	金郷公主	金鄉公主
Q10947311	Princess Anyang	安陽公主	安阳公主
Q10323203	Cao Zishang	曹上	曹子上
Q10323222	Cao Zicheng	曹乗	曹子乘
Q10323244	Cao Zijing	曹京	曹子京
Q10323269	Cao Ziqin	曹勤	曹子勤
Q10323292	Cao Ziji	曹棘	曹子棘
Q10323773	Cao Mao	曹茂	曹茂
Q11090991	Cao Jun	曹均	曹均
Q11091019	Cao Zizheng	曹整	曹子整
Q11091072	Cao Gan	曹幹	曹干
Q3178707	Cao Xuan	曹玹	曹玹
Q5353300	Cao Ju	曹矩	曹矩
Q5353322	Cao Ju	曹據	曹据
Q557261	Cao Ang	曹昂	曹昂
Q571756	Cao Xiong	曹熊	曹熊
Q706827	Cao Gun	曹袞	曹衮
Q706866	Cao Lin	曹林	曹林
Q706905	Cao Yu	曹宇	曹宇
Q707386	Cao Shuo	曹鑠	曹铄
Q711798	Cao Jun	曹峻	曹峻
Q735448	Cao Biao	曹彪	曹彪
Q11091100	Cao Hui	曹徽	曹徽
Q9394133	Lazarus Graf Henckel von Donnersmarck	ラツァルス2世・ヘンケル・フォン・ドナースマルク	
Q2269573	Stephen Mailer		斯蒂芬·梅勒
Q3086282	François de Noailles		弗朗索瓦·德·諾阿耶
Q151814	Sarah Brightman	サラ・ブライトマン	莎拉·布莱曼
Q13564310	Kate Garvey	ケイト・ガーヴィー	Kate Garvey
Q21476704	Christine Rohan	クリスティーン・ローハン	克里斯汀·罗汉
Q21476682	Pamela Green	パメラ・グリーン	
Q151396	Antoine V de Gramont	アントワーヌ5世・ド・グラモン	
Q7067496	Noël Olivier	ノエル・オリヴィエ	
Q6182166	Sydney Smith	シドニー・スミス	悉尼·史密斯
Q7344572	Robert Fulke Greville	ロバート・ファルク・グレヴィル	
Q234805	Börte	ボルテ	孛儿帖
Q17500458	Lu Daoyu	盧道裕	卢道裕
Q5251625	Elias Disney	イライアス・ディズニー	埃利亞斯·迪士尼
Q1607626	Paul Lacroix	ポール・ラクロワ	
Q1351934	Henri III de Luxembourg	ハインリヒ3世	亨利三世 (卢森堡)
Q65858492	Dong Shi		董氏
Q65858507	Huang Shi		黄氏
Q65879053	Meng Shi		孟氏
Q65879073	Zhu Shi		朱氏
Q3905521	Pippa Scott	ピッパ・スコット	
Q9671	Michael Schumacher	ミハエル・シューマッハ	迈克尔·舒马赫
Q95171	Corinna Schumacher	コリーナ・シューマッハ	科琳娜·贝彻
Q1803	Gordian II	ゴルディアヌス2世	戈爾迪安二世
Q443278	Maecia Faustina		安东尼亚·戈尔迪亚娜
Q2293889	Tranquillina		弗里亚·萨比尼亚·特兰奎利娜
Q549956	Alexandre Rockwell	アレクサンダー・ロックウェル	亚历山大·洛克威尔
Q158208	Count of St. Germain	サンジェルマン伯爵	圣日尔曼伯爵
Q1252525	Julianna Rákóczi	ラーコーツィ・ユリアンナ	
Q5314292	Duncan Campbell		邓肯·坎贝尔
Q134542261	Davide Bisognin	ダヴィデ・ビソニン	达维德·比索宁
Q1321988	Jon Tenney	ジョン・テニー	乔·特尼
Q632415	Archambaud VIII of Bourbon	アルシャンボー8世・ド・ブルボン	阿尔尚博八世·德·波旁
Q632411	Archambaud IX of Bourbon	アルシャンボー9世・ド・ブルボン	阿尔尚博九世
Q226738	Princess Zorka of Montenegro	ゾルカ・カラジョルジェヴィチ	蒙特內哥羅的佐卡公主
Q441042	Princess Xenia of Montenegro		蒙特內哥羅的謝妮亞
Q16083598	Princess Vjera of Montenegro		蒙特內哥羅的佛潔拉
Q21006321	Noah Lee Ritter	ノア・リー・リッター	
Q475936	Charles of Nassau-Usingen	カール (ナッサウ＝ウージンゲン侯)	卡爾
Q109241	Prince Johann Adolph of Nassau-Usingen		約翰·阿道夫
Q3142302	Hugh Oakeley Arnold-Forster	ヒュー・アーノルド＝フォスター	休·奧克利·阿諾德-福斯特
Q5544932	George Stucley	ジョージ・スタックリー	
Q6779191	Mary Catherine Ferguson	メアリー・キャサリン・ファーガソン	
Q16275172	Caroline	カロライン	卡罗琳
Q7062902	Theo	セオ	西奥
Q17524931	Elisabeth	エリザベト	伊莉莎白
Q4883721	Belle W. Baruch		貝爾·W·巴魯克
Q82704499	Anette Qviberg		安妮特·坎维贝格
Q82697528	Greta Lundgren		葛丽泰·隆格倫
Q950235	Hippolyte Carnot	イポリット・カルノー	伊波利特·卡諾
Q5344585	Edward Nares	エドワード・ナレス	
Q26207356	Péter Fischer	フィッシェル・ペーテル	
Q7148943	Paul		保罗
Q3695445	Constantina	コンスタンティナ	君士坦丁娜
Q366707	Tiberius	ティベリオス（マルキリウスの子）	提比略
Q6760972	Maria	マリア	玛丽亚
Q339658	Peter		佩特鲁斯
Q6180573	Jeramie Rain		杰雷米·雷恩
Q29452813	Ben Dreyfuss	ベン	
Q6681222	Lorin Dreyfuss	ローリン	
Q36792018	William J. Cowen	ウィリアム・J・コーエン	
Q75568036	Ann Sheran Cazalet	アン・シェラン・カザレット	
Q6039520	William Peel	ウィリアム・ピール	
Q1028974	Manfred Stern		傅利德
Q269153	Kay Kendall	ケイ・ケンドール	凯·肯戴尔
Q5039185	Carey Harrison	キャリーハリソン	嘉利·哈里森
Q3352994	Tove of the Obotrites	トーヴェ	
Q4806686	Gunhilde	グンヒルデ	冈希尔德
Q5536993	George Birkbeck Norman Hill		乔治·B·N·希尔
Q273633	Maria Dolgorukova	マリヤ・ドルゴルーコヴァ	玛利亚·多尔戈鲁科娃
Q255429	Eudoxia Streshneva	エヴドキヤ・ストレシニョヴァ	葉夫多基婭·盧基揚諾芙娜
Q4203181	Tsarevna Irina Mikhailovna of Russia	イリナ・ミハイロヴナ	伊琳娜·米哈伊洛芙娜
Q4066537	Anna Mikhailovna of Russia		安娜·米哈伊洛芙娜
Q4452681	Tatyana Mikhailovna of Russia		塔基揚娜·米哈伊洛芙娜
Q474266	Amos Kollek	アモス・コレック	阿莫斯·科莱克
Q3191061	Jérôme Seydoux	ジェローム・セドゥ	傑洛米·瑟杜
Q3310868	Michel Seydoux	ミシェル・セドゥー	米歇·瑟杜
Q4719590	Alexander Dunluce	アレクサンダー・マクドネル	
Q2846564	Elizabeth of Bavaria	エリーザベト・フォン・バイエルン	維特爾斯巴赫的伊麗莎白
Q4055625	Ida Averbakh	イーダ・アヴェルバフ	伊妲·列耶尼達夫娜·亞別拉巴甫
Q685689	Dominik von Königsegg-Rothenfels	ヨーゼフ・ロタール・フォン・ケーニヒスエッグ＝ローテンフェルス	多米尼克·馮·柯尼賽克-羅森費爾斯
Q5131952	Philip de' Medici		菲利波·德·麥地奇
Q1991420	Eleanor de' Medici	エレオノーラ・デ・メディチ	埃莱奥诺拉·德·美第奇
Q2872529	Adelaide of Holland	アレイド・ファン・ホラント	阿德莱德
Q5064594	Mary of Avesnes	マリー・ダヴェーヌ	玛丽
Q587606	John of Beaumont	エノーのサー・ジョン	博蒙特的若望
Q3322374	Montagu Sherard Dawes Butler	モンタギュー・シェラード・ドーズ・バトラー	蒙塔古·謝拉德·道斯·巴特勒
Q4678809	Adam Butler	アダム・バトラー	
Q6490254	Larry Elgart	ラリー・エルガート	拉里·埃爾加特
Q67865	Johann Wilhelm	ヨハン・ヴィルヘルム (ザクセン＝イェーナ公)	約翰·威廉
Q4731396	Allegra Huston		阿萊格拉·休斯頓
Q16560385	Giulia Boiardo	ジュリア・ボイアルド	
Q303206	Acfred	アクフレ (アキテーヌ公)	艾克弗雷德
Q2004860	Joseph Coulon de Jumonville	ジョゼフ・クーロン・ド・ジュモンヴィユ	朱蒙维拉
Q8018758	William Staveley	サー・ウィリアム・ステイヴリー	
Q3350634	Olive Tell	オリーヴ・テル	
Q596165	Anton von Cetto	アントン・フォン・ツェット	
Q55912631	Sophie Friederike of Hesse-Homburg		索菲亞·弗里德麗卡
Q72038	Ludwig Aloys	ホーエンローエ	路易·阿洛瓦
Q107243	Joseph Christian of Hohenlohe-Bartenstein		約瑟夫·克里斯蒂安
Q7383184	Ruth Rix		鲁特·里克斯
Q1134022	Jacopino della Scala	ジャコピーノデッラスカラ	
Q1346426	Mastino I della Scala	マスティーノ1世・デッラ・スカラ	
Q322158	Alberto I della Scala	アルベルト1世・デッラ・スカラ	
Q2899297	Bertha of Blois	ベルト・ド・ブロワ	布盧瓦的貝兒塔
Q1385765	Stephen II of Troyes	エティエンヌ2世 (トロワ伯)	艾蒂安二世
Q45476559	Cui Youfei		崔幼妃
Q45492755	Cui Shiyuan		崔士元
Q45498469	Cui Shishun		崔士顺
Q17498837	Cui Shi	崔賓媛	崔宾媛
Q76010412	Cuī Shì		崔氏
Q17993752	Cui Zhen	崔振	崔振
Q2723335	Benito Juárez Maza		贝尼托·华雷斯·马扎
Q432540	Sigrid Fick		西格麗德·菲克
Q119350576	Zheng Yi		郑懿
Q76011097	Thôi Thúc Lan		崔叔兰
Q17500605	Li Yu	李璵 (北魏)	李玙
Q45528680	Li Zan		李瓒
Q45576136	Li Zong		李综
Q26159584	Li Jun		李均
Q17990897	Lu Yuanming	盧元明	卢元明
Q481370	Muriel Gustavo Becker	ムリエル・ベッカー	
Q472810	Jakob Eklund		雅各布·埃克隆德
Q5771726	Adolf Ulric Grill	アドルフ・ウルリック・グリル	
Q385719	Otto I av Meissen	オットー1世	奥托一世 (迈森)
Q354949	Adelaide of Weimar-Orlamünde	アーデルハイト・フォン・ヴァイマール＝オーラミュンデ	阿德尔海德
Q458459	Trish Van Devere	トリッシュ・ヴァン・ディヴァー	翠施·范·德沃尔
Q3352161	Agneta Pleijel		阿格妮塔·普莱耶尔
Q19866146	Paul Gregory	ポール・グレゴリー	保罗·格雷戈里
Q3434195	Siri Nilsen		西里·尼尔森
Q76395	Alfred Grosser	アルフレート・グロセール	
Q2257107	Lori Black	ロリ・ブラック	
Q259993	Rachel Hunter	レイチェル・ハンター	雷切尔·亨特
Q2616544	Penny Lancaster	ペニー・ランカスター	
Q7376392	Ruby Stewart	ルビ・スチュワート	鲁比·斯图尔特
Q9169375	Bernardo Canal	ベルナルド・カナール	
Q461968	Camilla Sparv	カミラ・スパーヴ	卡米拉·斯帕弗
Q3901730	Phyllis George	フィリス・ジョージ	菲莉絲·喬治
Q6288851	Josh Evans		乔什·伊万斯
Q5077447	Charles Evans	チャールズ・エヴァンス	查爾斯·埃文斯
Q369751	James Turner	ジェイムズ・ターナー	
Q367032	Alfred Newman	アルフレッド・ニューマン	阿尔弗雷德·纽曼
Q3052234	Emil Newman	エミール・ニューマン	埃米爾·紐曼
Q547466	Viveca Lärn	ヴィヴェッカ・レルン	
Q77607746	True Whitaker	トゥルー・ウィテカー	特鲁·惠特科尔
Q6411475	Sophie of Brandenburg-Ansbach	ゾフィー・フォン・ブランデンブルク＝アンスバッハ (1614-1646)	布蘭登堡·安斯巴赫的索菲
Q64031716	Amina Hanim		阿米娜．哈寧姆
Q64031724	Ayn al-Hayat Khanum		艾因·哈亚特·卡丁
Q3497182	Tusun Pasha	トゥスン・パシャ	穆罕默德·艾哈麥德
Q366744	Sa'id of Egypt	サイード・パシャ	赛义德帕夏
Q2934240	Callista Gingrich	カリスタ・ギングリッチ	
Q457520	Arpachshad	アルパクシャド	亚法撒
Q440996	Marietta Shaginyan	マリエッタ・シャギニャン	
Q267113	Ansgarde of Burgundy	アンスガルド・ド・ブルゴーニュ	勃艮第的安斯加爾德
Q193112	Louis III of France	ルイ3世	路易三世
Q192846	Carloman II of France	カルロマン2世	卡洛曼二世
Q48735	Ermentrude of France		厄门特鲁德
Q6687272	Lao An	労安	劳安
Q6687392	Zhu Yunlai	朱雲来	朱云来
Q1766277	Beatrice av Arundel	ベアトリス・デ・ポルトゥガル (1380-1439)	
Q552022	Ferdinand the Holy Prince	フェルナンド聖王子	费尔南多
Q552417	Peter av Coimbra	ペドロ・デ・ポルトゥガル	彼德王子
Q964618	Afonso I	アフォンソ1世	第一代布拉干薩公爵阿方索
Q964858	Johan af Portugal	ジョアン・デ・ポルトゥガル	约翰，葡萄牙王室总管
Q6414181	Hassan Al Muthanna	ハサン・ムサンナー	
Q575430	Al-Qasim ibn Hasan ibn Ali	アル・カシム・イブン・ハサン	
Q5437879	Fatimah bint al-Hasan		法蒂玛·本·哈桑
Q6795398	Zayd ibn Hasan		扎伊德·伊本·阿尔-哈桑
Q6415357	Turan Amirsoleimani	トゥーラーン・アミール・ソレイマーニー	
Q5950446	Esmat Dowlatshahi		埃斯玛特·道拉特沙希
Q6413754	Hamid Reza Pahlavi		哈米德-礼萨·巴列维
Q5935668	Mahmoud Reza Pahlavi	マフムード・レザー	
Q236466	Herennia Etruscilla		赫倫尼亞·埃特魯西拉
Q273253	Herennius Etruscus	ヘレンニウス・エトルスクス	赫伦尼乌斯
Q46837	Hostilian	ホスティリアヌス	霍斯蒂利安
Q240267	Isabella av Spanien	イサベル・フランシスカ・デ・ボルボン	伊莎貝拉 (阿斯圖里亞斯女親王)
Q2018549	Infanta María del Pilar of Spain		瑪麗亞·德皮拉
Q240397	Luisa av Spanien	ルイサ・フェルナンダ・デ・ボルボーン	路易莎·费尔南达公主，蒙特庞谢公爵夫人
Q7283539	Rahmi Koç	ラフミ・コチ	納米·戈茲
Q2943680	Cecil Chesterton	セシル・チェスタトン	
Q7636760	Sultan bin Fahd	スルターン	
Q4665291	Abdulaziz bin Fahad bin Abdulaziz Al Saud	アブドゥルアズィーズ	阿卜杜勒-阿齐兹·本·法赫德
Q1951883	Mohammad Bin Fahd	モハメド	穆罕默德·本·法赫德
Q21139462	Henri Gijsbert van Kempen		Henri Gijsbert van Kempen
Q233587	Maria Luisa av Spanien	マリーア・ルイーザ・ディ・スパーニャ	玛丽亚·路易莎
Q976797	Infanta María Amalia of Spain	マリア・アマリア・デ・ボルボン	瑪麗亞·艾瑪莉亞 (西班牙)
Q27665545	Tamara Falcó Preysler		塔玛拉·法爾科
Q27665550	Ana Boyer Preysler		安娜·博伊尔·普雷斯勒
Q65848184	Chen Shi		陈氏
Q65848192	Lin Shi		林氏
Q6779589	Mary Fraser Tytler	メアリー・フレイザー＝タイトラー	玛丽·弗雷泽·泰勒
Q155388	Sofia Polgar		波尔加·索非亚
Q12823	Susan Polgar	スーザン・ポルガー	苏珊·波尔加
Q16014166	Haru M. Reischauer	松方ハル	
Q647392	Carl Gyllenborg	カール・ギレンボリ	卡尔·吉伦堡
Q1993206	Anna of Lorraine		洛林的安妮
Q45586928	Nian Xialing	年遐齢	年遐龄
Q573752	Imperial Noble Consort Dunsu	敦粛皇貴妃	敦肃皇贵妃
Q17499753	Nian Xiyao		年希尧
Q510535	Luitpold	ルイトポルド伯	巴伐利亚藩候卢伊特波尔德
Q157121	Conrad I of Germany	コンラート1世	康拉德一世
Q221328	Berthold	ベルトルト	贝特霍尔德
Q892115	Bernard Chazelle	バーナード・チャゼル	伯纳德·沙泽勒
Q58822718	Olivia Hamilton		奥莉维亚·汉密尔顿
Q64138824	Jasmine McGlade	ジャスミン・マクグレード	贾思敏·迈克格拉德
Q64138496	Anna Chazelle	アンナ・チャゼル	安娜·查泽雷
Q129179	Mercedes av Spanien	マリア・デ・ラス・メルセデス・デ・ボルボーン・イ・アブスブルゴ＝ロレナ	阿斯圖里亞斯女親王瑪麗亞·梅塞德斯
Q481555	Samuel de Lange	ザムエル・デ・ランゲ	
Q128792607	Jeannette Hui-Chun Chin		秦惠䇹
Q6580896	Stephen Lee	スティーヴン・リー	李中汉
Q8988115	James Z. Lee	ジェームズ・リー	李中清
Q37693161	Ankica Tuđman		安基察·图季曼
Q2523100	Judith Gautier	ジュディット・ゴーチエ	朱迪·戈蒂埃
Q6830884	Lord Edward Russell	エドワード・ラッセル (1642-1714)	
Q312355	Bakir Izetbegović	バキル・イゼトベゴヴィッチ	巴基爾·伊澤特貝戈維奇
Q29446295	Reed Cordish		柯第許
Q959153	Frank Stallone	フランク・スタローン	弗兰克·史泰龙
Q44747	Christoph Schönborn	クリストフ・シェーンボルン	克里斯托夫·舍恩博恩
Q4151946	Nina Gulyayeva		尼娜·古利亚耶夫
Q4315791	Vyacheslav Nevinny		维亚切斯拉夫·内温尼
Q447520	Louis III av Bourbon	ルイ3世	路易三世·德·波旁
Q2394393	Marie Anne de Bourbon	マリー＝アンヌ・ド・ブルボン (1697-1741)	
Q2394665	Louise Anne de Bourbon	ルイーズ・アンヌ・ド・ブルボン	路薏絲·安妮·德·波旁
Q3292542	Marie Gabrielle Éléonore de Bourbon	マリー＝ガブリエル＝エレオノール・ド・ブルボン	
Q444398	Charles de Bourbon	シャルル・ド・ブルボン＝コンデ	
Q537780	Louis	ルイ・ド・ブルボン＝コンデ	克萊蒙伯爵路易
Q3739822	Rüdiger von Sachsen	リューディガー・フォン・ザクセン	鲁迪格
Q1090478	Phila	フィラ (セレウコス1世の娘)	菲拉
Q5274260	Didymeia		狄迪墨婭 (塞琉古一世的姊妹)
Q24862920	Maria Anna Streim	マリア・アンナ・シュトレイム	
Q20431882	Arethia Tătărescu		艾瑞西亞·特特雷斯库
Q20993830	Daniel Hernandez	ラファエル・ロドリゲス	拉斐尔·罗德里格斯
